res_hall,remaining,total,num_picks
Caswell Hall,40,40,1
Olney House,15,15,1
Harkness House,22,22,1
Drop to 198,1,1,1
Marcy House,15,15,1
Goddard House,35,35,1
New Pembroke #3,10,10,1
Young Orchard #4,14,14,1
Drop to 305,1,1,1
Young Orchard #2,13,13,1
Hope College,12,12,1
Morriss Hall,3,4,1
New Pembroke #2,19,19,1
Champlin,7,7,1
No Show,39,41,1
Woolley,30,30,1
Grad Center C,18,18,1
Grad Center A,17,17,1
Drop to 408,1,1,1
Metcalf,45,45,1
Drop to 112,1,1,1
Plantations House,10,10,1
Grad Center B,18,18,1
Drop to 150,1,1,1
Drop to 288,1,1,1
Slater Hall,21,22,1
Drop to 588,1,1,1
Drop to 286,2,2,1
Sears House,25,25,1
Drop to 422,1,1,1
Jameson House,11,11,1
Chapin House,16,16,1
Gregorian Quad A,50,51,1
Drop to 602,1,1,1
Drop to 15,0,1,1
Gregorian Quad B,51,51,1
Barbour Hall,16,17,1
111 Brown Street,6,6,1
Minden,56,59,1
Bronson House,8,8,1
Drop to 535,1,1,1
New Pembroke #4,22,22,1
Archibald House,13,13,1
Drop to 640,1,1,1
Emery,14,15,1
Young Orchard #10,13,13,1
West Andrews,25,27,1
Poland House,18,18,1
Drop to 447,1,1,1
New Pembroke #1,17,17,1
Wayland House,14,16,1
Drop to 513,1,1,1
Drop to 372,1,1,1
Drop to 370,1,1,1
Everett House,6,6,1
Drop to 350,1,1,1
Grad Center D,19,19,1
Barbour Hall Apartments,29,29,1
Drop to 415,1,1,1
Hegeman,39,39,1
Drop to 223,1,1,1
Drop to 482,1,1,1
Diman House,28,28,1
East Andrews,31,32,1
Pass,54,54,1
Machado,10,10,1
Drop to 691,1,1,1
Mead House,8,8,1
Drop to 393,1,1,1
Drop to 354,1,1,1
Caswell Hall,40,40,2
Olney House,15,15,2
Harkness House,22,22,2
Drop to 198,1,1,2
Marcy House,15,15,2
Goddard House,35,35,2
New Pembroke #3,10,10,2
Young Orchard #4,14,14,2
Drop to 305,1,1,2
Young Orchard #2,13,13,2
Hope College,12,12,2
Morriss Hall,3,4,2
New Pembroke #2,19,19,2
Champlin,7,7,2
No Show,39,41,2
Woolley,30,30,2
Grad Center C,18,18,2
Grad Center A,17,17,2
Drop to 408,1,1,2
Metcalf,43,45,2
Drop to 112,1,1,2
Plantations House,9,10,2
Grad Center B,18,18,2
Drop to 150,1,1,2
Drop to 288,1,1,2
Slater Hall,19,22,2
Drop to 588,1,1,2
Drop to 286,2,2,2
Sears House,25,25,2
Drop to 422,1,1,2
Jameson House,11,11,2
Chapin House,16,16,2
Gregorian Quad A,48,51,2
Drop to 602,1,1,2
Drop to 15,0,1,2
Gregorian Quad B,49,51,2
Barbour Hall,15,17,2
111 Brown Street,6,6,2
Minden,50,59,2
Bronson House,8,8,2
Drop to 535,1,1,2
New Pembroke #4,22,22,2
Archibald House,13,13,2
Drop to 640,1,1,2
Emery,13,15,2
Young Orchard #10,13,13,2
West Andrews,24,27,2
Poland House,18,18,2
Drop to 447,1,1,2
New Pembroke #1,17,17,2
Wayland House,14,16,2
Drop to 513,1,1,2
Drop to 372,1,1,2
Drop to 370,1,1,2
Everett House,6,6,2
Drop to 350,1,1,2
Grad Center D,19,19,2
Barbour Hall Apartments,29,29,2
Drop to 415,1,1,2
Hegeman,39,39,2
Drop to 223,1,1,2
Drop to 482,1,1,2
Diman House,28,28,2
East Andrews,31,32,2
Pass,54,54,2
Machado,10,10,2
Drop to 691,1,1,2
Mead House,8,8,2
Drop to 393,1,1,2
Drop to 354,1,1,2
Caswell Hall,40,40,3
Olney House,15,15,3
Harkness House,22,22,3
Drop to 198,1,1,3
Marcy House,15,15,3
Goddard House,35,35,3
New Pembroke #3,10,10,3
Young Orchard #4,14,14,3
Drop to 305,1,1,3
Young Orchard #2,13,13,3
Hope College,12,12,3
Morriss Hall,3,4,3
New Pembroke #2,19,19,3
Champlin,7,7,3
No Show,39,41,3
Woolley,30,30,3
Grad Center C,18,18,3
Grad Center A,17,17,3
Drop to 408,1,1,3
Metcalf,38,45,3
Drop to 112,1,1,3
Plantations House,9,10,3
Grad Center B,18,18,3
Drop to 150,1,1,3
Drop to 288,1,1,3
Slater Hall,19,22,3
Drop to 588,1,1,3
Drop to 286,1,2,3
Sears House,25,25,3
Drop to 422,1,1,3
Jameson House,11,11,3
Chapin House,16,16,3
Gregorian Quad A,45,51,3
Drop to 602,1,1,3
Drop to 15,0,1,3
Gregorian Quad B,46,51,3
Barbour Hall,15,17,3
111 Brown Street,6,6,3
Minden,50,59,3
Bronson House,8,8,3
Drop to 535,1,1,3
New Pembroke #4,22,22,3
Archibald House,13,13,3
Drop to 640,1,1,3
Emery,12,15,3
Young Orchard #10,13,13,3
West Andrews,22,27,3
Poland House,18,18,3
Drop to 447,1,1,3
New Pembroke #1,17,17,3
Wayland House,13,16,3
Drop to 513,1,1,3
Drop to 372,1,1,3
Drop to 370,1,1,3
Everett House,6,6,3
Drop to 350,1,1,3
Grad Center D,19,19,3
Barbour Hall Apartments,29,29,3
Drop to 415,1,1,3
Hegeman,39,39,3
Drop to 223,1,1,3
Drop to 482,1,1,3
Diman House,28,28,3
East Andrews,30,32,3
Pass,54,54,3
Machado,10,10,3
Drop to 691,1,1,3
Mead House,8,8,3
Drop to 393,1,1,3
Drop to 354,1,1,3
Caswell Hall,40,40,4
Olney House,15,15,4
Harkness House,22,22,4
Drop to 198,1,1,4
Marcy House,15,15,4
Goddard House,35,35,4
New Pembroke #3,10,10,4
Young Orchard #4,14,14,4
Drop to 305,1,1,4
Young Orchard #2,13,13,4
Hope College,12,12,4
Morriss Hall,3,4,4
