res_hall,remaining,total,num_picks
Drop to 377,1,1,4
Drop to 145,1,1,4
Drop to 441,2,2,4
Barbour Hall Apartments,27,27,4
Drop to 415,3,3,4
Grad Center C,17,17,4
Drop to 394,1,1,4
Drop to 261,1,1,4
315 Thayer,7,19,4
Sears House,16,16,4
Diman House,12,12,4
Drop to 564,1,1,4
Marcy House,14,14,4
Machado,12,12,4
Drop to 587,1,1,4
Drop to 474,1,1,4
Drop to 304,1,1,4
Drop to 617,1,1,4
Caswell Hall,44,44,5
Drop to 414,1,1,5
Harkness House,9,9,5
Hegeman,24,24,5
Drop to 29,0,1,5
Goddard House,29,30,5
Morriss Hall,4,4,5
Young Orchard #4,13,13,5
Young Orchard #2,12,12,5
Hope College,39,39,5
Grad center D,1,1,5
New Pembroke #3,7,9,5
Drop to 488,1,1,5
Grad Center D,101,102,5
No Show,59,62,5
Woolley,19,27,5
Champlin,4,5,5
New Pembroke #4,17,21,5
Drop to 179,3,3,5
Drop to 365,1,1,5
Plantations House,5,9,5
Grad Center B,17,17,5
Drop to 151,1,1,5
Drop to 402,1,1,5
Slater Hall,15,21,5
Drop to 284,1,1,5
Drop to 413,1,1,5
Drop to 421,1,1,5
Chapin House,15,15,5
Gregorian Quad A,62,76,5
Young Orchard #10,10,10,5
Drop to 248,1,1,5
Grad Center A,16,16,5
Barbour Hall,13,14,5
111 Brown Street,6,6,5
Minden,47,55,5
Olney House,6,7,5
Littlefield Hall,24,24,5
Pass,76,77,5
Emery,12,19,5
Drop to 215,1,1,5
Drop to 139,1,1,5
Drop to 554,1,1,5
Grad Center d,2,2,5
New Pembroke #1,17,17,5
Drop to 398,1,1,5
Drop to 692,1,1,5
Gregorian Quad B,37,53,5
Drop to 377,1,1,5
Drop to 145,1,1,5
Drop to 441,2,2,5
Barbour Hall Apartments,26,27,5
Drop to 415,3,3,5
Grad Center C,17,17,5
Drop to 394,1,1,5
Drop to 261,1,1,5
315 Thayer,5,19,5
Sears House,16,16,5
Diman House,12,12,5
Drop to 564,1,1,5
Marcy House,14,14,5
Machado,11,12,5
Drop to 587,1,1,5
