Caswell Hall,Bronson House,Harkness House,Goddard House,Young Orchard #4,Young Orchard #2,Hope College,New Pembroke #3,New Pembroke #2,New Pembroke #1,111 Brown Street,Grad Center C,New Pembroke #4,Metcalf,Plantations House,Grad Center B,Woolley,Slater Hall,Jameson House,Chapin House,Gregorian Quad A,Diman House,Grad Center A,Mead House,Olney House,Champlin,King House,Emery,West Andrews,Poland House,Wayland House,Archibald House,Gregorian Quad B,Everett House,Grad Center D,Miller,Barbour Hall Apartments,Hegeman,Sears House,Young Orchard #10,East Andrews,Marcy House,Minden,Morris Hall
42,9,19,28,0,0,4,10,11,19,6,15,19,1,5,18,28,12,12,11,2,27,15,9,1,5,2,20,2,17,0,13,1,5,21,3,22,7,18,0,5,14,30,3
42,9,19,28,0,0,4,10,11,19,6,15,19,1,5,18,28,12,12,11,2,27,15,9,1,5,2,20,2,17,0,13,1,5,21,3,22,6,18,0,5,14,30,3
42,9,19,17,0,0,4,10,11,19,6,15,19,1,5,18,26,12,12,11,2,27,14,9,1,5,2,20,2,17,0,13,1,5,21,3,19,1,17,0,5,14,28,3
42,9,18,15,0,0,4,10,11,19,6,11,19,1,5,17,25,12,11,11,2,27,14,5,1,5,2,20,2,10,0,13,1,5,21,3,17,0,17,0,5,14,26,2
42,9,18,14,0,0,4,10,11,19,6,10,19,1,5,15,19,12,10,9,2,27,12,5,1,3,2,19,2,5,0,11,0,5,21,3,14,0,17,0,5,14,21,2
42,8,18,14,0,0,4,10,11,19,6,10,19,1,5,13,17,9,10,8,1,27,12,5,1,3,2,17,2,3,0,9,0,5,21,3,13,0,17,0,5,14,16,2
42,8,18,14,0,0,4,10,11,19,6,10,19,1,5,13,17,9,10,8,1,27,12,4,1,3,2,17,2,3,0,9,0,5,21,3,13,0,17,0,5,14,16,2
42,5,18,14,0,0,4,8,11,19,6,9,19,1,5,10,15,9,10,8,0,27,11,4,1,3,2,16,2,3,0,7,0,3,21,3,13,0,17,0,5,14,11,2
42,5,18,14,0,0,4,8,11,19,6,9,19,1,5,10,15,9,10,8,0,27,11,4,1,3,2,15,2,3,0,7,0,3,21,3,13,0,17,0,5,14,11,2
42,4,18,14,0,0,4,8,11,19,6,9,19,1,5,10,15,9,10,8,0,27,11,4,1,3,2,15,2,3,0,7,0,3,21,3,13,0,17,0,5,14,11,2
42,2,18,14,0,0,4,8,11,19,6,9,19,1,5,10,12,9,9,8,0,27,8,4,1,3,2,1,2,3,0,2,0,3,21,3,13,0,17,0,5,14,10,2
42,2,18,14,0,0,4,8,11,19,6,9,19,1,5,10,11,9,9,8,0,27,8,4,1,3,2,1,2,3,0,2,0,3,21,3,13,0,17,0,5,14,10,2
42,2,18,14,0,0,4,8,11,19,6,9,19,1,5,10,10,9,9,8,0,27,8,4,1,3,2,1,2,3,0,2,0,3,21,3,13,0,17,0,5,14,10,2
42,2,18,14,0,0,4,8,11,19,6,9,19,1,5,10,9,9,9,8,0,27,8,4,1,3,2,1,2,3,0,2,0,3,21,3,13,0,17,0,5,14,10,2
42,1,18,14,0,0,4,8,11,19,6,9,18,1,5,8,3,9,9,8,0,27,8,4,1,3,2,0,2,3,0,2,0,2,21,3,12,0,17,0,5,14,8,2
42,0,18,14,0,0,4,7,8,19,6,9,18,1,5,8,0,9,9,7,0,27,7,4,1,0,2,0,2,3,0,2,0,2,21,3,12,0,17,0,5,14,8,1
42,0,16,14,0,0,3,7,6,19,6,9,18,1,5,7,0,9,7,7,0,22,6,4,1,0,2,0,2,3,0,2,0,2,21,3,12,0,17,0,5,14,8,1
