res_hall,remaining,total,num_picks
Woolley,28,28,2
Grad Center C,19,19,2
New Pembroke #4,20,20,2
Drop to 159,1,1,2
Metcalf,45,48,2
Drop to 113,0,1,2
Drop to 368,1,1,2
Drop to 320,1,1,2
Drop to 249,1,1,2
Slater Hall,20,24,2
Drop to 588,1,1,2
Sears House,26,26,2
Jameson House,7,7,2
Chapin House,11,11,2
Gregorian Quad A,49,51,2
Drop to 430,1,1,2
Grad Center A,17,17,2
Barbour Hall,18,19,2
111 Brown Street,4,4,2
Minden,47,57,2
Bronson House,7,7,2
Young Orchard #10,13,13,2
Machado,19,19,2
Drop to 433,1,1,2
Emery,16,17,2
Grad Center B,18,18,2
Drop to 266,1,1,2
Drop to 235,1,1,2
Everett House,3,3,2
West Andrews,26,30,2
Poland House,19,19,2
New Pembroke #1,16,16,2
Wayland House,17,18,2
Drop to 399,1,1,2
Archibald House,14,14,2
Gregorian Quad B,51,53,2
Drop to 517,1,1,2
Drop to 679,1,1,2
Miller,11,11,2
Drop to 393,1,1,2
Drop to 415,1,1,2
Hegeman,38,41,2
Drop to 299,1,1,2
Drop to 453,1,1,2
Grad Center D,18,18,2
Diman House,35,35,2
East Andrews,30,30,2
Pass,47,47,2
Barbour Hall Apartments,25,25,2
Mead House,10,10,2
Drop to 379,1,1,2
Caswell Hall,39,39,3
Olney House,26,26,3
Harkness House,23,23,3
Drop to 199,1,1,3
Marcy House,20,20,3
Drop to 191,2,2,3
Goddard House,34,34,3
New Pembroke #3,8,8,3
Young Orchard #4,14,14,3
Young Orchard #2,13,13,3
Hope College,11,11,3
Drop to 545,1,1,3
Morriss Hall,4,4,3
New Pembroke #2,19,19,3
Champlin,5,5,3
No Show,49,54,3
Woolley,28,28,3
Grad Center C,18,19,3
New Pembroke #4,20,20,3
Drop to 159,1,1,3
Metcalf,41,48,3
Drop to 113,0,1,3
Drop to 368,1,1,3
Drop to 320,1,1,3
Drop to 249,1,1,3
Slater Hall,20,24,3
Drop to 588,1,1,3
Sears House,26,26,3
Jameson House,7,7,3
Chapin House,11,11,3
Gregorian Quad A,48,51,3
Drop to 430,1,1,3
Grad Center A,17,17,3
Barbour Hall,18,19,3
111 Brown Street,4,4,3
Minden,47,57,3
Bronson House,7,7,3
Young Orchard #10,13,13,3
Machado,19,19,3
Drop to 433,1,1,3
Emery,16,17,3
Grad Center B,18,18,3
Drop to 266,1,1,3
Drop to 235,1,1,3
Everett House,3,3,3
West Andrews,25,30,3
Poland House,19,19,3
New Pembroke #1,16,16,3
Wayland House,17,18,3
Drop to 399,1,1,3
Archibald House,14,14,3
Gregorian Quad B,49,53,3
Drop to 517,1,1,3
Drop to 679,1,1,3
Miller,10,11,3
Drop to 393,1,1,3
Drop to 415,1,1,3
Hegeman,37,41,3
Drop to 299,1,1,3
Drop to 453,1,1,3
Grad Center D,18,18,3
Diman House,35,35,3
East Andrews,28,30,3
Pass,47,47,3
Barbour Hall Apartments,25,25,3
Mead House,10,10,3
Drop to 379,1,1,3
Caswell Hall,39,39,4
Olney House,26,26,4
Harkness House,23,23,4
Drop to 199,1,1,4
Marcy House,20,20,4
Drop to 191,2,2,4
Goddard House,34,34,4
New Pembroke #3,8,8,4
Young Orchard #4,13,14,4
Young Orchard #2,13,13,4
Hope College,11,11,4
Drop to 545,1,1,4
Morriss Hall,4,4,4
New Pembroke #2,19,19,4
Champlin,5,5,4
No Show,47,54,4
Woolley,28,28,4
Grad Center C,18,19,4
New Pembroke #4,20,20,4
Drop to 159,1,1,4
Metcalf,41,48,4
Drop to 113,0,1,4
Drop to 368,1,1,4
Drop to 320,1,1,4
Drop to 249,1,1,4
Slater Hall,17,24,4
Drop to 588,1,1,4
Sears House,26,26,4
Jameson House,7,7,4
Chapin House,11,11,4
Gregorian Quad A,46,51,4
Drop to 430,1,1,4
Grad Center A,17,17,4
Barbour Hall,18,19,4
111 Brown Street,4,4,4
Minden,46,57,4
Bronson House,7,7,4
Young Orchard #10,13,13,4
Machado,19,19,4
Drop to 433,1,1,4
Emery,16,17,4
Grad Center B,18,18,4
Drop to 266,1,1,4
Drop to 235,1,1,4
Everett House,3,3,4
West Andrews,24,30,4
Poland House,19,19,4
New Pembroke #1,16,16,4
Wayland House,15,18,4
Drop to 399,1,1,4
Archibald House,14,14,4
Gregorian Quad B,46,53,4
Drop to 517,1,1,4
Drop to 679,1,1,4
Miller,10,11,4
Drop to 393,1,1,4
Drop to 415,1,1,4
Hegeman,37,41,4
Drop to 299,1,1,4
Drop to 453,1,1,4
Grad Center D,18,18,4
Diman House,35,35,4
East Andrews,28,30,4
Pass,47,47,4
Barbour Hall Apartments,25,25,4
Mead House,10,10,4
Drop to 379,1,1,4
Caswell Hall,39,39,5
Olney House,26,26,5
Harkness House,23,23,5
Drop to 199,1,1,5
Marcy House,20,20,5
Drop to 191,2,2,5
Goddard House,34,34,5
New Pembroke #3,8,8,5
Young Orchard #4,13,14,5
Young Orchard #2,12,13,5
Hope College,11,11,5
Drop to 545,1,1,5
Morriss Hall,4,4,5
New Pembroke #2,19,19,5
Champlin,5,5,5
No Show,47,54,5
Woolley,28,28,5
Grad Center C,18,19,5
New Pembroke #4,19,20,5
Drop to 159,1,1,5
Metcalf,39,48,5
Drop to 113,0,1,5
Drop to 368,1,1,5
Drop to 320,1,1,5
Drop to 249,1,1,5
Slater Hall,17,24,5
Drop to 588,1,1,5
Sears House,26,26,5
Jameson House,7,7,5
Chapin House,11,11,5
Gregorian Quad A,41,51,5
Drop to 430,1,1,5
Grad Center A,17,17,5
Barbour Hall,18,19,5
111 Brown Street,4,4,5
Minden,46,57,5
Bronson House,7,7,5
Young Orchard #10,13,13,5
Machado,19,19,5
Drop to 433,1,1,5
Emery,16,17,5
Grad Center B,18,18,5
Drop to 266,1,1,5
Drop to 235,1,1,5
Everett House,3,3,5
West Andrews,24,30,5
Poland House,19,19,5
New Pembroke #1,16,16,5
Wayland House,15,18,5
Drop to 399,1,1,5
Archibald House,14,14,5
Gregorian Quad B,45,53,5
Drop to 517,1,1,5
Drop to 679,1,1,5
Miller,10,11,5
Drop to 393,1,1,5
Drop to 415,1,1,5
Hegeman,37,41,5
Drop to 299,1,1,5
Drop to 453,1,1,5
Grad Center D,18,18,5
Diman House,35,35,5
East Andrews,23,30,5
Pass,47,47,5
Barbour Hall Apartments,24,25,5
Mead House,10,10,5
Drop to 379,1,1,5
Caswell Hall,39,39,6
Olney House,26,26,6
Harkness House,23,23,6
Drop to 199,1,1,6
Marcy House,20,20,6
Drop to 191,2,2,6
Goddard House,34,34,6
New Pembroke #3,8,8,6
Young Orchard #4,13,14,6
Young Orchard #2,9,13,6
Hope College,11,11,6
Drop to 545,1,1,6
Morriss Hall,4,4,6
New Pembroke #2,18,19,6
Champlin,5,5,6
No Show,46,54,6
Woolley,28,28,6
Grad Center C,18,19,6
New Pembroke #4,19,20,6
Drop to 159,1,1,6
Metcalf,38,48,6
Drop to 113,0,1,6
Drop to 368,1,1,6
Drop to 320,1,1,6
Drop to 249,1,1,6
Slater Hall,17,24,6
Drop to 588,1,1,6
Sears House,26,26,6
Jameson House,7,7,6
Chapin House,11,11,6
Gregorian Quad A,41,51,6
Drop to 430,1,1,6
Grad Center A,17,17,6
Barbour Hall,17,19,6
111 Brown Street,4,4,6
Minden,45,57,6
Bronson House,7,7,6
Young Orchard #10,11,13,6
Machado,19,19,6
Drop to 433,1,1,6
Emery,16,17,6
Grad Center B,18,18,6
Drop to 266,1,1,6
Drop to 235,1,1,6
Everett House,3,3,6
West Andrews,23,30,6
Poland House,19,19,6
New Pembroke #1,16,16,6
Wayland House,15,18,6
Drop to 399,1,1,6
Archibald House,14,14,6
Gregorian Quad B,40,53,6
Drop to 517,1,1,6
Drop to 679,1,1,6
Miller,10,11,6
Drop to 393,1,1,6
Drop to 415,1,1,6
Hegeman,35,41,6
Drop to 299,1,1,6
Drop to 453,1,1,6
Grad Center D,18,18,6
Diman House,35,35,6
East Andrews,20,30,6
Pass,47,47,6
Barbour Hall Apartments,24,25,6
Mead House,10,10,6
Drop to 379,1,1,6
Caswell Hall,39,39,7
Olney House,26,26,7
Harkness House,23,23,7
Drop to 199,1,1,7
Marcy House,20,20,7
Drop to 191,2,2,7
Goddard House,34,34,7
New Pembroke #3,8,8,7
Young Orchard #4,11,14,7
Young Orchard #2,7,13,7
Hope College,9,11,7
Drop to 545,1,1,7
Morriss Hall,4,4,7
New Pembroke #2,18,19,7
Champlin,5,5,7
No Show,44,54,7
Woolley,28,28,7
Grad Center C,18,19,7
New Pembroke #4,19,20,7
Drop to 159,1,1,7
Metcalf,36,48,7
Drop to 113,0,1,7
Drop to 368,1,1,7
Drop to 320,1,1,7
Drop to 249,1,1,7
Slater Hall,17,24,7
Drop to 588,1,1,7
Sears House,26,26,7
Jameson House,7,7,7
Chapin House,11,11,7
Gregorian Quad A,35,51,7
Drop to 430,1,1,7
Grad Center A,17,17,7
Barbour Hall,17,19,7
111 Brown Street,4,4,7
Minden,45,57,7
Bronson House,7,7,7
Young Orchard #10,11,13,7
Machado,19,19,7
Drop to 433,1,1,7
Emery,16,17,7
Grad Center B,18,18,7
Drop to 266,1,1,7
Drop to 235,1,1,7
Everett House,3,3,7
West Andrews,22,30,7
Poland House,18,19,7
New Pembroke #1,16,16,7
Wayland House,15,18,7
Drop to 399,1,1,7
Archibald House,14,14,7
Gregorian Quad B,40,53,7
Drop to 517,1,1,7
Drop to 679,1,1,7
Miller,8,11,7
Drop to 393,1,1,7
Drop to 415,1,1,7
Hegeman,35,41,7
Drop to 299,1,1,7
Drop to 453,1,1,7
Grad Center D,18,18,7
Diman House,35,35,7
East Andrews,20,30,7
Pass,47,47,7
Barbour Hall Apartments,24,25,7
Mead House,10,10,7
Drop to 379,1,1,7
Caswell Hall,39,39,8
Olney House,26,26,8
Harkness House,23,23,8
Drop to 199,1,1,8
Marcy House,20,20,8
Drop to 191,2,2,8
Goddard House,34,34,8
New Pembroke #3,8,8,8
Young Orchard #4,11,14,8
Young Orchard #2,2,13,8
Hope College,9,11,8
Drop to 545,1,1,8
Morriss Hall,4,4,8
New Pembroke #2,18,19,8
Champlin,5,5,8
No Show,44,54,8
Woolley,28,28,8
Grad Center C,18,19,8
New Pembroke #4,19,20,8
Drop to 159,0,1,8
Metcalf,33,48,8
Drop to 113,0,1,8
Drop to 368,1,1,8
Drop to 320,1,1,8
Drop to 249,1,1,8
Slater Hall,17,24,8
Drop to 588,1,1,8
Sears House,26,26,8
Jameson House,7,7,8
Chapin House,11,11,8
Gregorian Quad A,34,51,8
Drop to 430,1,1,8
Grad Center A,17,17,8
Barbour Hall,16,19,8
111 Brown Street,4,4,8
Minden,45,57,8
Bronson House,7,7,8
Young Orchard #10,10,13,8
Machado,19,19,8
Drop to 433,1,1,8
Emery,16,17,8
Grad Center B,18,18,8
Drop to 266,1,1,8
Drop to 235,1,1,8
Everett House,3,3,8
West Andrews,18,30,8
Poland House,18,19,8
New Pembroke #1,16,16,8
Wayland House,15,18,8
Drop to 399,1,1,8
Archibald House,14,14,8
Gregorian Quad B,36,53,8
Drop to 517,1,1,8
Drop to 679,1,1,8
Miller,8,11,8
Drop to 393,1,1,8
Drop to 415,1,1,8
Hegeman,35,41,8
Drop to 299,1,1,8
Drop to 453,1,1,8
Grad Center D,18,18,8
Diman House,35,35,8
East Andrews,17,30,8
Pass,47,47,8
Barbour Hall Apartments,23,25,8
Mead House,10,10,8
Drop to 379,1,1,8
Caswell Hall,39,39,8
Olney House,26,26,8
Harkness House,23,23,8
Drop to 199,1,1,8
Marcy House,20,20,8
Drop to 191,2,2,8
Goddard House,34,34,8
New Pembroke #3,8,8,8
Young Orchard #4,11,14,8
Young Orchard #2,2,13,8
Hope College,9,11,8
Drop to 545,1,1,8
Morriss Hall,4,4,8
New Pembroke #2,18,19,8
Champlin,5,5,8
No Show,44,54,8
Woolley,28,28,8
Grad Center C,18,19,8
New Pembroke #4,19,20,8
Drop to 159,0,1,8
Metcalf,33,48,8
Drop to 113,0,1,8
Drop to 368,1,1,8
Drop to 320,1,1,8
Drop to 249,1,1,8
Slater Hall,17,24,8
Drop to 588,1,1,8
Sears House,26,26,8
Jameson House,7,7,8
Chapin House,11,11,8
Gregorian Quad A,33,51,8
Drop to 430,1,1,8
Grad Center A,17,17,8
Barbour Hall,16,19,8
111 Brown Street,4,4,8
Minden,45,57,8
Bronson House,7,7,8
Young Orchard #10,10,13,8
Machado,19,19,8
Drop to 433,1,1,8
Emery,16,17,8
Grad Center B,18,18,8
Drop to 266,1,1,8
Drop to 235,1,1,8
Everett House,3,3,8
West Andrews,18,30,8
Poland House,18,19,8
New Pembroke #1,16,16,8
Wayland House,15,18,8
Drop to 399,1,1,8
Archibald House,14,14,8
Gregorian Quad B,36,53,8
Drop to 517,1,1,8
Drop to 679,1,1,8
Miller,8,11,8
Drop to 393,1,1,8
Drop to 415,1,1,8
Hegeman,35,41,8
Drop to 299,1,1,8
Drop to 453,1,1,8
Grad Center D,18,18,8
Diman House,35,35,8
East Andrews,17,30,8
Pass,47,47,8
Barbour Hall Apartments,23,25,8
Mead House,10,10,8
Drop to 379,1,1,8
Caswell Hall,39,39,9
Olney House,26,26,9
Harkness House,23,23,9
Drop to 199,1,1,9
Marcy House,20,20,9
Drop to 191,2,2,9
Goddard House,34,34,9
New Pembroke #3,8,8,9
Young Orchard #4,9,14,9
Young Orchard #2,2,13,9
Hope College,8,11,9
Drop to 545,1,1,9
Morriss Hall,4,4,9
New Pembroke #2,18,19,9
Champlin,5,5,9
No Show,44,54,9
Woolley,28,28,9
Grad Center C,18,19,9
New Pembroke #4,19,20,9
Drop to 159,0,1,9
Metcalf,29,48,9
Drop to 113,0,1,9
Drop to 368,1,1,9
Drop to 320,1,1,9
Drop to 249,1,1,9
Slater Hall,17,24,9
Drop to 588,1,1,9
Sears House,26,26,9
Jameson House,7,7,9
Chapin House,11,11,9
Gregorian Quad A,32,51,9
Drop to 430,1,1,9
Grad Center A,17,17,9
Barbour Hall,16,19,9
111 Brown Street,4,4,9
Minden,44,57,9
Bronson House,7,7,9
Young Orchard #10,10,13,9
Machado,19,19,9
Drop to 433,1,1,9
Emery,15,17,9
Grad Center B,18,18,9
Drop to 266,1,1,9
Drop to 235,1,1,9
Everett House,3,3,9
West Andrews,17,30,9
Poland House,18,19,9
New Pembroke #1,16,16,9
Wayland House,13,18,9
Drop to 399,1,1,9
Archibald House,14,14,9
Gregorian Quad B,35,53,9
Drop to 517,1,1,9
Drop to 679,1,1,9
Miller,7,11,9
Drop to 393,1,1,9
Drop to 415,1,1,9
Hegeman,35,41,9
Drop to 299,1,1,9
Drop to 453,1,1,9
Grad Center D,18,18,9
Diman House,35,35,9
East Andrews,15,30,9
Pass,47,47,9
Barbour Hall Apartments,22,25,9
Mead House,10,10,9
Drop to 379,1,1,9
Caswell Hall,39,39,10
Olney House,26,26,10
Harkness House,23,23,10
Drop to 199,0,1,10
Marcy House,20,20,10
Drop to 191,2,2,10
Goddard House,34,34,10
New Pembroke #3,8,8,10
Young Orchard #4,7,14,10
Young Orchard #2,2,13,10
Hope College,8,11,10
Drop to 545,1,1,10
Morriss Hall,4,4,10
New Pembroke #2,18,19,10
Champlin,5,5,10
No Show,42,54,10
Woolley,28,28,10
Grad Center C,18,19,10
New Pembroke #4,19,20,10
Drop to 159,0,1,10
Metcalf,28,48,10
Drop to 113,0,1,10
Drop to 368,1,1,10
Drop to 320,1,1,10
Drop to 249,1,1,10
Slater Hall,17,24,10
Drop to 588,1,1,10
Sears House,26,26,10
Jameson House,7,7,10
Chapin House,11,11,10
Gregorian Quad A,28,51,10
Drop to 430,1,1,10
Grad Center A,17,17,10
Barbour Hall,16,19,10
111 Brown Street,4,4,10
Minden,44,57,10
Bronson House,7,7,10
Young Orchard #10,10,13,10
Machado,19,19,10
Drop to 433,1,1,10
Emery,15,17,10
Grad Center B,18,18,10
Drop to 266,1,1,10
Drop to 235,1,1,10
Everett House,3,3,10
West Andrews,12,30,10
Poland House,18,19,10
New Pembroke #1,16,16,10
Wayland House,13,18,10
Drop to 399,1,1,10
Archibald House,14,14,10
Gregorian Quad B,34,53,10
Drop to 517,1,1,10
Drop to 679,1,1,10
Miller,7,11,10
Drop to 393,1,1,10
Drop to 415,1,1,10
Hegeman,35,41,10
Drop to 299,1,1,10
Drop to 453,1,1,10
Grad Center D,18,18,10
Diman House,35,35,10
East Andrews,10,30,10
Pass,47,47,10
Barbour Hall Apartments,22,25,10
Mead House,10,10,10
Drop to 379,1,1,10
Caswell Hall,39,39,11
Olney House,26,26,11
Harkness House,23,23,11
Drop to 199,0,1,11
Marcy House,20,20,11
Drop to 191,2,2,11
Goddard House,33,34,11
New Pembroke #3,8,8,11
Young Orchard #4,7,14,11
Young Orchard #2,1,13,11
Hope College,8,11,11
Drop to 545,1,1,11
Morriss Hall,4,4,11
New Pembroke #2,18,19,11
Champlin,5,5,11
No Show,39,54,11
Woolley,28,28,11
Grad Center C,18,19,11
New Pembroke #4,19,20,11
Drop to 159,0,1,11
Metcalf,28,48,11
Drop to 113,0,1,11
Drop to 368,1,1,11
Drop to 320,1,1,11
Drop to 249,1,1,11
Slater Hall,17,24,11
Drop to 588,1,1,11
Sears House,26,26,11
Jameson House,7,7,11
Chapin House,11,11,11
Gregorian Quad A,28,51,11
Drop to 430,1,1,11
Grad Center A,17,17,11
Barbour Hall,16,19,11
111 Brown Street,4,4,11
Minden,44,57,11
Bronson House,7,7,11
Young Orchard #10,6,13,11
Machado,19,19,11
Drop to 433,1,1,11
Emery,14,17,11
Grad Center B,18,18,11
Drop to 266,1,1,11
Drop to 235,1,1,11
Everett House,3,3,11
West Andrews,10,30,11
Poland House,18,19,11
New Pembroke #1,16,16,11
Wayland House,13,18,11
Drop to 399,1,1,11
Archibald House,14,14,11
Gregorian Quad B,32,53,11
Drop to 517,1,1,11
Drop to 679,1,1,11
Miller,7,11,11
Drop to 393,1,1,11
Drop to 415,1,1,11
Hegeman,34,41,11
Drop to 299,1,1,11
Drop to 453,1,1,11
Grad Center D,18,18,11
Diman House,35,35,11
East Andrews,8,30,11
Pass,47,47,11
Barbour Hall Apartments,22,25,11
Mead House,10,10,11
Drop to 379,1,1,11
Caswell Hall,39,39,12
Olney House,26,26,12
Harkness House,23,23,12
Drop to 199,0,1,12
Marcy House,20,20,12
Drop to 191,1,2,12
Goddard House,32,34,12
New Pembroke #3,8,8,12
Young Orchard #4,6,14,12
Young Orchard #2,1,13,12
Hope College,8,11,12
Drop to 545,1,1,12
Morriss Hall,4,4,12
New Pembroke #2,18,19,12
Champlin,4,5,12
No Show,38,54,12
Woolley,28,28,12
Grad Center C,18,19,12
New Pembroke #4,19,20,12
Drop to 159,0,1,12
Metcalf,28,48,12
Drop to 113,0,1,12
Drop to 368,1,1,12
Drop to 320,1,1,12
Drop to 249,1,1,12
Slater Hall,17,24,12
Drop to 588,1,1,12
Sears House,25,26,12
Jameson House,7,7,12
Chapin House,11,11,12
Gregorian Quad A,25,51,12
Drop to 430,1,1,12
Grad Center A,17,17,12
Barbour Hall,16,19,12
111 Brown Street,4,4,12
Minden,44,57,12
Bronson House,7,7,12
Young Orchard #10,6,13,12
Machado,19,19,12
Drop to 433,1,1,12
Emery,14,17,12
Grad Center B,18,18,12
Drop to 266,1,1,12
Drop to 235,1,1,12
Everett House,3,3,12
West Andrews,8,30,12
Poland House,18,19,12
New Pembroke #1,16,16,12
Wayland House,10,18,12
Drop to 399,1,1,12
Archibald House,14,14,12
Gregorian Quad B,27,53,12
Drop to 517,1,1,12
Drop to 679,1,1,12
Miller,7,11,12
Drop to 393,1,1,12
Drop to 415,1,1,12
Hegeman,34,41,12
Drop to 299,1,1,12
Drop to 453,1,1,12
Grad Center D,18,18,12
Diman House,35,35,12
East Andrews,3,30,12
Pass,47,47,12
Barbour Hall Apartments,22,25,12
Mead House,10,10,12
Drop to 379,1,1,12
Caswell Hall,39,39,13
Olney House,26,26,13
Harkness House,23,23,13
Drop to 199,0,1,13
Marcy House,20,20,13
Drop to 191,0,2,13
Goddard House,32,34,13
New Pembroke #3,8,8,13
Young Orchard #4,5,14,13
Young Orchard #2,1,13,13
Hope College,7,11,13
Drop to 545,1,1,13
Morriss Hall,4,4,13
New Pembroke #2,18,19,13
Champlin,4,5,13
No Show,37,54,13
Woolley,28,28,13
Grad Center C,18,19,13
New Pembroke #4,19,20,13
Drop to 159,0,1,13
Metcalf,26,48,13
Drop to 113,0,1,13
Drop to 368,1,1,13
Drop to 320,1,1,13
Drop to 249,1,1,13
Slater Hall,17,24,13
Drop to 588,1,1,13
Sears House,25,26,13
Jameson House,7,7,13
Chapin House,11,11,13
Gregorian Quad A,25,51,13
Drop to 430,1,1,13
Grad Center A,17,17,13
Barbour Hall,16,19,13
111 Brown Street,4,4,13
Minden,44,57,13
Bronson House,7,7,13
Young Orchard #10,6,13,13
Machado,19,19,13
Drop to 433,1,1,13
Emery,14,17,13
Grad Center B,18,18,13
Drop to 266,1,1,13
Drop to 235,1,1,13
Everett House,3,3,13
West Andrews,2,30,13
Poland House,17,19,13
New Pembroke #1,16,16,13
Wayland House,8,18,13
Drop to 399,1,1,13
Archibald House,14,14,13
Gregorian Quad B,27,53,13
Drop to 517,1,1,13
Drop to 679,1,1,13
Miller,7,11,13
Drop to 393,1,1,13
Drop to 415,1,1,13
Hegeman,34,41,13
Drop to 299,1,1,13
Drop to 453,1,1,13
Grad Center D,18,18,13
Diman House,35,35,13
East Andrews,3,30,13
Pass,47,47,13
Barbour Hall Apartments,22,25,13
Mead House,10,10,13
Drop to 379,1,1,13
Caswell Hall,39,39,14
Olney House,26,26,14
Harkness House,23,23,14
Drop to 199,0,1,14
Marcy House,20,20,14
Drop to 191,0,2,14
Goddard House,32,34,14
New Pembroke #3,8,8,14
Young Orchard #4,4,14,14
Young Orchard #2,1,13,14
Hope College,4,11,14
Drop to 545,1,1,14
Morriss Hall,4,4,14
New Pembroke #2,18,19,14
Champlin,4,5,14
No Show,37,54,14
Woolley,27,28,14
Grad Center C,18,19,14
New Pembroke #4,19,20,14
Drop to 159,0,1,14
Metcalf,18,48,14
Drop to 113,0,1,14
Drop to 368,1,1,14
Drop to 320,1,1,14
Drop to 249,1,1,14
Slater Hall,17,24,14
Drop to 588,1,1,14
Sears House,25,26,14
Jameson House,7,7,14
Chapin House,11,11,14
Gregorian Quad A,25,51,14
Drop to 430,1,1,14
Grad Center A,17,17,14
Barbour Hall,16,19,14
111 Brown Street,4,4,14
Minden,44,57,14
Bronson House,7,7,14
Young Orchard #10,6,13,14
Machado,19,19,14
Drop to 433,1,1,14
Emery,14,17,14
Grad Center B,18,18,14
Drop to 266,1,1,14
Drop to 235,1,1,14
Everett House,3,3,14
West Andrews,2,30,14
Poland House,17,19,14
New Pembroke #1,16,16,14
Wayland House,6,18,14
Drop to 399,1,1,14
Archibald House,14,14,14
Gregorian Quad B,26,53,14
Drop to 517,1,1,14
Drop to 679,1,1,14
Miller,7,11,14
Drop to 393,1,1,14
Drop to 415,1,1,14
Hegeman,34,41,14
Drop to 299,1,1,14
Drop to 453,1,1,14
Grad Center D,18,18,14
Diman House,35,35,14
East Andrews,3,30,14
Pass,47,47,14
Barbour Hall Apartments,22,25,14
Mead House,10,10,14
Drop to 379,1,1,14
Caswell Hall,39,39,15
Olney House,26,26,15
Harkness House,23,23,15
Drop to 199,0,1,15
Marcy House,20,20,15
Drop to 191,0,2,15
Goddard House,32,34,15
New Pembroke #3,8,8,15
Young Orchard #4,1,14,15
Young Orchard #2,1,13,15
Hope College,4,11,15
Drop to 545,1,1,15
Morriss Hall,4,4,15
New Pembroke #2,18,19,15
Champlin,3,5,15
No Show,36,54,15
Woolley,26,28,15
Grad Center C,18,19,15
New Pembroke #4,19,20,15
Drop to 159,0,1,15
Metcalf,12,48,15
Drop to 113,0,1,15
Drop to 368,1,1,15
Drop to 320,1,1,15
Drop to 249,0,1,15
Slater Hall,17,24,15
Drop to 588,1,1,15
Sears House,25,26,15
Jameson House,7,7,15
Chapin House,11,11,15
Gregorian Quad A,25,51,15
Drop to 430,1,1,15
Grad Center A,17,17,15
Barbour Hall,16,19,15
111 Brown Street,4,4,15
Minden,44,57,15
Bronson House,7,7,15
Young Orchard #10,6,13,15
Machado,19,19,15
Drop to 433,1,1,15
Emery,13,17,15
Grad Center B,18,18,15
Drop to 266,0,1,15
Drop to 235,1,1,15
Everett House,3,3,15
West Andrews,2,30,15
Poland House,17,19,15
New Pembroke #1,16,16,15
Wayland House,4,18,15
Drop to 399,0,1,15
Archibald House,14,14,15
Gregorian Quad B,26,53,15
Drop to 517,1,1,15
Drop to 679,1,1,15
Miller,7,11,15
Drop to 393,1,1,15
Drop to 415,1,1,15
Hegeman,34,41,15
Drop to 299,0,1,15
Drop to 453,1,1,15
Grad Center D,18,18,15
Diman House,35,35,15
East Andrews,3,30,15
Pass,47,47,15
Barbour Hall Apartments,22,25,15
Mead House,10,10,15
Drop to 379,1,1,15
Caswell Hall,39,39,16
Olney House,25,26,16
Harkness House,23,23,16
Drop to 199,0,1,16
Marcy House,20,20,16
Drop to 191,0,2,16
Goddard House,32,34,16
New Pembroke #3,8,8,16
Young Orchard #4,1,14,16
Young Orchard #2,1,13,16
Hope College,4,11,16
Drop to 545,1,1,16
Morriss Hall,3,4,16
New Pembroke #2,18,19,16
Champlin,3,5,16
No Show,34,54,16
Woolley,26,28,16
Grad Center C,18,19,16
New Pembroke #4,19,20,16
Drop to 159,0,1,16
Metcalf,9,48,16
Drop to 113,0,1,16
Drop to 368,1,1,16
Drop to 320,1,1,16
Drop to 249,0,1,16
Slater Hall,17,24,16
