res_hall,remaining,total,num_picks
Caswell Hall,39,39,1
Olney House,26,26,1
Harkness House,23,23,1
Drop to 199,1,1,1
Marcy House,20,20,1
Drop to 191,2,2,1
Goddard House,34,34,1
New Pembroke #3,8,8,1
Young Orchard #4,14,14,1
Young Orchard #2,13,13,1
Hope College,11,11,1
Drop to 545,1,1,1
Morriss Hall,4,4,1
New Pembroke #2,19,19,1
Champlin,5,5,1
No Show,53,54,1
Woolley,28,28,1
Grad Center C,19,19,1
New Pembroke #4,20,20,1
Drop to 159,1,1,1
Metcalf,48,48,1
Drop to 113,0,1,1
Drop to 368,1,1,1
Drop to 320,1,1,1
Drop to 249,1,1,1
Slater Hall,22,24,1
Drop to 588,1,1,1
Sears House,26,26,1
Jameson House,7,7,1
Chapin House,11,11,1
Gregorian Quad A,49,51,1
Drop to 430,1,1,1
Grad Center A,17,17,1
Barbour Hall,19,19,1
111 Brown Street,4,4,1
Minden,51,57,1
Bronson House,7,7,1
Young Orchard #10,13,13,1
Machado,19,19,1
Drop to 433,1,1,1
Emery,17,17,1
Grad Center B,18,18,1
Drop to 266,1,1,1
Drop to 235,1,1,1
Everett House,3,3,1
West Andrews,28,30,1
Poland House,19,19,1
New Pembroke #1,16,16,1
Wayland House,17,18,1
Drop to 399,1,1,1
Archibald House,14,14,1
Gregorian Quad B,52,53,1
Drop to 517,1,1,1
Drop to 679,1,1,1
Miller,11,11,1
Drop to 393,1,1,1
Drop to 415,1,1,1
Hegeman,38,41,1
Drop to 299,1,1,1
Drop to 453,1,1,1
Grad Center D,18,18,1
Diman House,35,35,1
East Andrews,30,30,1
Pass,47,47,1
Barbour Hall Apartments,25,25,1
Mead House,10,10,1
Drop to 379,1,1,1
Caswell Hall,39,39,2
Olney House,26,26,2
Harkness House,23,23,2
Drop to 199,1,1,2
Marcy House,20,20,2
Drop to 191,2,2,2
Goddard House,34,34,2
New Pembroke #3,8,8,2
Young Orchard #4,14,14,2
Young Orchard #2,13,13,2
Hope College,11,11,2
Drop to 545,1,1,2
Morriss Hall,4,4,2
New Pembroke #2,19,19,2
Champlin,5,5,2
No Show,51,54,2
