res_hall,remaining,total,num_picks
,2,2,1
Caswell Hall,34,34,1
Harkness House,6,6,1
Goddard House,23,23,1
Young Orchard #4,13,13,1
Young Orchard #2,12,12,1
Hope College,11,11,1
New Pembroke #3,7,7,1
New Pembroke #2,5,5,1
Drop to 340,1,1,1
No Show,31,32,1
Woolley,32,32,1
Grad Center C,14,14,1
New Pembroke #4,5,5,1
Metcalf,64,64,1
Drop to 365,1,1,1
Plantations House,4,4,1
Grad Center B,12,12,1
Drop to 383,1,1,1
Slater Hall,12,15,1
Drop to 284,1,1,1
Drop to 212,1,1,1
Jameson House,10,10,1
Chapin House,6,6,1
Gregorian Quad A,49,51,1
Young Orchard #10,14,14,1
Drop to 446,1,1,1
Mead House,12,12,1
Drop to 288,1,1,1
Bronson House,9,9,1
Drop to 389.5,1,1,1
Archibald House,15,15,1
Olney House,9,9,1
Emery,22,22,1
Drop to 445,1,1,1
Sears House,13,13,1
Drop to 490,1,1,1
Drop to 526,1,1,1
West Andrews,24,24,1
Poland House,18,18,1
New Pembroke #1,15,15,1
Wayland House,19,19,1
Grad Center A,12,12,1
Gregorian Quad B,32,32,1
Everett House,4,4,1
Drop to 255,1,1,1
Champlin,5,5,1
Miller,11,11,1
Barbour Hall Apartments,18,18,1
Hegeman,40,41,1
Drop to 413,1,1,1
Grad Center D,13,13,1
Diman House,12,12,1
East Andrews,22,25,1
Marcy House,5,5,1
Minden,49,54,1
Morris Hall,4,4,1
,2,2,2
Caswell Hall,34,34,2
Harkness House,6,6,2
Goddard House,23,23,2
Young Orchard #4,13,13,2
Young Orchard #2,12,12,2
Hope College,11,11,2
New Pembroke #3,7,7,2
New Pembroke #2,5,5,2
Drop to 340,1,1,2
No Show,29,32,2
Woolley,32,32,2
Grad Center C,14,14,2
New Pembroke #4,5,5,2
Metcalf,62,64,2
Drop to 365,1,1,2
Plantations House,4,4,2
Grad Center B,12,12,2
Drop to 383,1,1,2
Slater Hall,11,15,2
Drop to 284,1,1,2
Drop to 212,1,1,2
Jameson House,10,10,2
Chapin House,6,6,2
Gregorian Quad A,47,51,2
Young Orchard #10,14,14,2
Drop to 446,1,1,2
Mead House,12,12,2
Drop to 288,1,1,2
Bronson House,9,9,2
Drop to 389.5,1,1,2
Archibald House,15,15,2
Olney House,9,9,2
Emery,22,22,2
Drop to 445,1,1,2
Sears House,13,13,2
Drop to 490,1,1,2
Drop to 526,1,1,2
West Andrews,22,24,2
Poland House,18,18,2
New Pembroke #1,15,15,2
Wayland House,19,19,2
Grad Center A,12,12,2
Gregorian Quad B,32,32,2
Everett House,4,4,2
Drop to 255,1,1,2
Champlin,5,5,2
Miller,9,11,2
Barbour Hall Apartments,18,18,2
Hegeman,39,41,2
Drop to 413,1,1,2
Grad Center D,13,13,2
Diman House,12,12,2
East Andrews,19,25,2
Marcy House,5,5,2
Minden,49,54,2
Morris Hall,4,4,2
,2,2,2
Caswell Hall,34,34,2
Harkness House,6,6,2
Goddard House,23,23,2
Young Orchard #4,13,13,2
Young Orchard #2,12,12,2
Hope College,11,11,2
New Pembroke #3,7,7,2
New Pembroke #2,5,5,2
Drop to 340,1,1,2
No Show,29,32,2
Woolley,32,32,2
Grad Center C,14,14,2
New Pembroke #4,5,5,2
Metcalf,62,64,2
Drop to 365,1,1,2
Plantations House,4,4,2
Grad Center B,12,12,2
Drop to 383,1,1,2
Slater Hall,11,15,2
Drop to 284,1,1,2
Drop to 212,1,1,2
Jameson House,10,10,2
Chapin House,6,6,2
Gregorian Quad A,47,51,2
Young Orchard #10,14,14,2
Drop to 446,1,1,2
Mead House,12,12,2
Drop to 288,1,1,2
Bronson House,9,9,2
Drop to 389.5,1,1,2
Archibald House,15,15,2
Olney House,9,9,2
Emery,22,22,2
Drop to 445,1,1,2
Sears House,13,13,2
Drop to 490,1,1,2
Drop to 526,1,1,2
West Andrews,22,24,2
Poland House,18,18,2
New Pembroke #1,15,15,2
Wayland House,19,19,2
Grad Center A,12,12,2
Gregorian Quad B,32,32,2
Everett House,4,4,2
Drop to 255,1,1,2
Champlin,5,5,2
Miller,9,11,2
Barbour Hall Apartments,18,18,2
Hegeman,39,41,2
Drop to 413,1,1,2
Grad Center D,13,13,2
Diman House,12,12,2
East Andrews,18,25,2
Marcy House,5,5,2
Minden,49,54,2
Morris Hall,4,4,2
,2,2,2
Caswell Hall,34,34,2
Harkness House,6,6,2
Goddard House,23,23,2
Young Orchard #4,13,13,2
Young Orchard #2,12,12,2
Hope College,11,11,2
New Pembroke #3,7,7,2
New Pembroke #2,5,5,2
Drop to 340,1,1,2
No Show,29,32,2
Woolley,32,32,2
Grad Center C,14,14,2
New Pembroke #4,5,5,2
Metcalf,62,64,2
Drop to 365,1,1,2
Plantations House,4,4,2
Grad Center B,12,12,2
Drop to 383,1,1,2
Slater Hall,11,15,2
Drop to 284,1,1,2
Drop to 212,1,1,2
Jameson House,10,10,2
Chapin House,6,6,2
Gregorian Quad A,47,51,2
Young Orchard #10,14,14,2
Drop to 446,1,1,2
Mead House,12,12,2
Drop to 288,1,1,2
Bronson House,9,9,2
Drop to 389.5,1,1,2
Archibald House,15,15,2
Olney House,9,9,2
Emery,22,22,2
Drop to 445,1,1,2
Sears House,13,13,2
Drop to 490,1,1,2
Drop to 526,1,1,2
West Andrews,22,24,2
Poland House,18,18,2
New Pembroke #1,15,15,2
Wayland House,19,19,2
Grad Center A,12,12,2
Gregorian Quad B,32,32,2
Everett House,4,4,2
Drop to 255,1,1,2
Champlin,5,5,2
Miller,9,11,2
Barbour Hall Apartments,18,18,2
Hegeman,39,41,2
Drop to 413,1,1,2
Grad Center D,13,13,2
Diman House,12,12,2
East Andrews,17,25,2
Marcy House,5,5,2
Minden,49,54,2
Morris Hall,4,4,2
,2,2,3
Caswell Hall,34,34,3
Harkness House,6,6,3
Goddard House,23,23,3
Young Orchard #4,13,13,3
Young Orchard #2,11,12,3
Hope College,10,11,3
New Pembroke #3,7,7,3
New Pembroke #2,5,5,3
Drop to 340,1,1,3
No Show,29,32,3
Woolley,32,32,3
Grad Center C,14,14,3
New Pembroke #4,5,5,3
Metcalf,61,64,3
Drop to 365,1,1,3
Plantations House,4,4,3
Grad Center B,12,12,3
Drop to 383,1,1,3
Slater Hall,10,15,3
Drop to 284,1,1,3
Drop to 212,1,1,3
Jameson House,10,10,3
Chapin House,6,6,3
Gregorian Quad A,43,51,3
Young Orchard #10,14,14,3
Drop to 446,1,1,3
Mead House,12,12,3
Drop to 288,1,1,3
Bronson House,9,9,3
Drop to 389.5,1,1,3
Archibald House,15,15,3
Olney House,9,9,3
Emery,22,22,3
Drop to 445,1,1,3
Sears House,13,13,3
Drop to 490,1,1,3
Drop to 526,1,1,3
West Andrews,21,24,3
Poland House,18,18,3
New Pembroke #1,15,15,3
Wayland House,19,19,3
Grad Center A,12,12,3
Gregorian Quad B,31,32,3
Everett House,4,4,3
Drop to 255,1,1,3
Champlin,5,5,3
Miller,9,11,3
Barbour Hall Apartments,16,18,3
Hegeman,39,41,3
Drop to 413,1,1,3
Grad Center D,13,13,3
Diman House,12,12,3
East Andrews,14,25,3
Marcy House,5,5,3
Minden,49,54,3
Morris Hall,3,4,3
,2,2,4
Caswell Hall,34,34,4
Harkness House,6,6,4
Goddard House,23,23,4
Young Orchard #4,12,13,4
Young Orchard #2,8,12,4
Hope College,9,11,4
New Pembroke #3,7,7,4
New Pembroke #2,5,5,4
Drop to 340,1,1,4
No Show,29,32,4
Woolley,32,32,4
Grad Center C,14,14,4
New Pembroke #4,4,5,4
Metcalf,61,64,4
Drop to 365,1,1,4
Plantations House,4,4,4
Grad Center B,12,12,4
Drop to 383,1,1,4
Slater Hall,10,15,4
Drop to 284,1,1,4
Drop to 212,1,1,4
Jameson House,10,10,4
Chapin House,6,6,4
Gregorian Quad A,40,51,4
Young Orchard #10,12,14,4
Drop to 446,1,1,4
Mead House,12,12,4
Drop to 288,1,1,4
Bronson House,9,9,4
Drop to 389.5,1,1,4
Archibald House,15,15,4
Olney House,9,9,4
Emery,22,22,4
Drop to 445,1,1,4
Sears House,13,13,4
Drop to 490,1,1,4
Drop to 526,1,1,4
West Andrews,21,24,4
Poland House,18,18,4
New Pembroke #1,15,15,4
Wayland House,18,19,4
Grad Center A,12,12,4
Gregorian Quad B,29,32,4
Everett House,4,4,4
Drop to 255,1,1,4
Champlin,5,5,4
Miller,9,11,4
Barbour Hall Apartments,16,18,4
Hegeman,39,41,4
Drop to 413,1,1,4
Grad Center D,13,13,4
Diman House,12,12,4
East Andrews,13,25,4
Marcy House,5,5,4
Minden,49,54,4
Morris Hall,3,4,4
,2,2,5
Caswell Hall,34,34,5
Harkness House,6,6,5
Goddard House,23,23,5
Young Orchard #4,11,13,5
Young Orchard #2,6,12,5
Hope College,9,11,5
New Pembroke #3,7,7,5
New Pembroke #2,5,5,5
Drop to 340,1,1,5
No Show,28,32,5
Woolley,32,32,5
Grad Center C,14,14,5
New Pembroke #4,4,5,5
Metcalf,58,64,5
Drop to 365,1,1,5
Plantations House,4,4,5
Grad Center B,12,12,5
Drop to 383,1,1,5
Slater Hall,10,15,5
Drop to 284,1,1,5
Drop to 212,1,1,5
Jameson House,10,10,5
Chapin House,6,6,5
Gregorian Quad A,36,51,5
Young Orchard #10,11,14,5
Drop to 446,1,1,5
Mead House,12,12,5
Drop to 288,1,1,5
Bronson House,9,9,5
Drop to 389.5,1,1,5
Archibald House,15,15,5
Olney House,9,9,5
Emery,22,22,5
Drop to 445,1,1,5
Sears House,13,13,5
Drop to 490,1,1,5
Drop to 526,1,1,5
West Andrews,21,24,5
Poland House,18,18,5
New Pembroke #1,15,15,5
Wayland House,18,19,5
Grad Center A,11,12,5
Gregorian Quad B,27,32,5
Everett House,4,4,5
Drop to 255,1,1,5
Champlin,5,5,5
Miller,9,11,5
Barbour Hall Apartments,15,18,5
Hegeman,39,41,5
Drop to 413,1,1,5
Grad Center D,13,13,5
Diman House,12,12,5
East Andrews,13,25,5
Marcy House,5,5,5
Minden,48,54,5
Morris Hall,3,4,5
,2,2,6
Caswell Hall,34,34,6
Harkness House,6,6,6
Goddard House,23,23,6
Young Orchard #4,11,13,6
Young Orchard #2,4,12,6
Hope College,8,11,6
New Pembroke #3,7,7,6
New Pembroke #2,5,5,6
Drop to 340,1,1,6
No Show,28,32,6
Woolley,32,32,6
Grad Center C,14,14,6
New Pembroke #4,4,5,6
Metcalf,55,64,6
Drop to 365,1,1,6
Plantations House,4,4,6
Grad Center B,12,12,6
Drop to 383,1,1,6
Slater Hall,10,15,6
Drop to 284,1,1,6
Drop to 212,1,1,6
Jameson House,10,10,6
Chapin House,6,6,6
Gregorian Quad A,31,51,6
Young Orchard #10,11,14,6
Drop to 446,1,1,6
Mead House,12,12,6
Drop to 288,1,1,6
Bronson House,9,9,6
Drop to 389.5,1,1,6
Archibald House,15,15,6
Olney House,9,9,6
Emery,22,22,6
Drop to 445,1,1,6
Sears House,13,13,6
Drop to 490,1,1,6
Drop to 526,1,1,6
West Andrews,17,24,6
Poland House,18,18,6
New Pembroke #1,15,15,6
Wayland House,17,19,6
Grad Center A,11,12,6
Gregorian Quad B,23,32,6
Everett House,4,4,6
Drop to 255,1,1,6
Champlin,5,5,6
Miller,9,11,6
Barbour Hall Apartments,14,18,6
Hegeman,39,41,6
Drop to 413,1,1,6
Grad Center D,13,13,6
Diman House,12,12,6
East Andrews,13,25,6
Marcy House,5,5,6
Minden,47,54,6
Morris Hall,3,4,6
,2,2,6
Caswell Hall,34,34,6
Harkness House,6,6,6
Goddard House,23,23,6
Young Orchard #4,11,13,6
Young Orchard #2,3,12,6
Hope College,8,11,6
New Pembroke #3,7,7,6
New Pembroke #2,5,5,6
Drop to 340,1,1,6
No Show,28,32,6
Woolley,32,32,6
Grad Center C,14,14,6
New Pembroke #4,4,5,6
Metcalf,55,64,6
Drop to 365,1,1,6
Plantations House,4,4,6
Grad Center B,12,12,6
Drop to 383,1,1,6
Slater Hall,10,15,6
Drop to 284,1,1,6
Drop to 212,1,1,6
Jameson House,10,10,6
Chapin House,6,6,6
Gregorian Quad A,31,51,6
Young Orchard #10,11,14,6
Drop to 446,1,1,6
Mead House,12,12,6
Drop to 288,1,1,6
Bronson House,9,9,6
Drop to 389.5,1,1,6
Archibald House,15,15,6
Olney House,9,9,6
Emery,22,22,6
Drop to 445,1,1,6
Sears House,13,13,6
Drop to 490,1,1,6
Drop to 526,1,1,6
West Andrews,17,24,6
Poland House,18,18,6
New Pembroke #1,15,15,6
Wayland House,17,19,6
Grad Center A,11,12,6
Gregorian Quad B,23,32,6
Everett House,4,4,6
Drop to 255,1,1,6
Champlin,5,5,6
Miller,9,11,6
Barbour Hall Apartments,14,18,6
Hegeman,39,41,6
Drop to 413,1,1,6
Grad Center D,13,13,6
Diman House,12,12,6
East Andrews,13,25,6
Marcy House,5,5,6
Minden,47,54,6
Morris Hall,3,4,6
,2,2,6
Caswell Hall,34,34,6
Harkness House,6,6,6
Goddard House,23,23,6
Young Orchard #4,11,13,6
