Caswell Hall,Bronson House,Harkness House,Goddard House,Morriss Hall,Young Orchard #4,Young Orchard #2,Hope College,New Pembroke #3,Champlin,Woolley,Grad Center C,Grad Center A,Metcalf,Plantations House,Grad Center B,Slater Hall,Jameson House,Chapin House,Gregorian Quad A,Diman House,New Pembroke #4,Barbour Hall,111 Brown Street,Mead House,Olney House,Emery,West Andrews,Poland House,New Pembroke #1,Wayland House,Archibald House,Gregorian Quad B,Everett House,Grad Center D,Miller,Barbour Hall Apartments,Hegeman,Sears House,Young Orchard #10,East Andrews,Marcy House,Machado,Minden
42,7,19,20,3,7,3,0,6,1,1,17,15,4,6,18,11,8,20,17,33,15,12,6,12,5,1,1,15,16,2,10,11,4,18,1,19,9,18,10,0,6,3,35
42,7,19,20,3,7,3,0,6,1,1,17,15,4,6,18,11,8,20,17,33,15,12,6,11,5,1,1,15,16,2,10,11,4,18,1,19,9,18,10,0,6,3,35
42,7,19,19,2,7,3,0,6,1,1,17,15,2,5,18,9,8,20,10,33,12,12,6,11,5,0,1,15,16,1,10,11,4,18,1,19,5,18,10,0,6,3,35
42,7,19,16,2,6,3,0,5,1,1,16,15,1,5,17,7,8,19,5,33,10,12,6,11,5,0,1,15,16,1,10,9,4,18,1,19,4,18,10,0,6,2,35
42,7,19,16,2,6,3,0,5,1,1,16,15,1,5,17,7,8,19,4,33,10,12,6,11,5,0,1,15,16,1,10,9,4,18,1,19,4,18,10,0,6,2,35
42,7,19,15,2,6,3,0,5,1,1,16,15,1,5,17,7,8,19,4,33,10,12,6,11,5,0,1,15,16,1,10,9,4,18,1,19,4,18,10,0,6,2,35
42,7,19,12,2,5,3,0,2,0,1,15,15,1,5,17,5,7,19,4,33,4,12,6,11,5,0,1,15,16,1,10,5,4,18,1,18,4,18,10,0,6,2,35
42,7,19,12,2,5,3,0,2,0,1,15,15,1,5,17,5,7,18,4,33,4,12,6,11,5,0,1,15,16,1,10,5,4,18,1,18,4,18,10,0,6,2,35
42,7,19,12,2,2,3,0,0,0,1,15,15,1,5,17,5,7,18,4,33,1,12,6,9,5,0,1,9,16,1,10,3,4,18,1,17,4,18,10,0,6,2,34
42,7,19,12,2,2,3,0,0,0,1,15,15,1,5,17,5,7,18,4,33,1,12,6,9,5,0,1,8,16,1,10,3,4,18,1,17,4,18,10,0,6,2,34
42,7,19,11,2,2,3,0,0,0,1,15,15,1,5,17,5,7,18,4,33,1,12,6,9,5,0,1,8,16,1,10,3,4,18,1,17,4,18,10,0,6,2,34
42,7,19,10,2,2,3,0,0,0,1,15,15,1,5,17,5,7,18,4,33,1,12,6,9,5,0,1,8,16,1,10,3,4,18,1,17,4,18,10,0,6,2,34
42,7,19,9,2,2,3,0,0,0,1,15,15,1,5,17,5,7,18,4,33,1,12,6,9,5,0,1,8,16,1,10,3,4,18,1,17,4,18,10,0,6,2,34
42,7,19,9,2,0,2,0,0,0,1,15,14,1,5,16,5,7,16,4,33,0,12,6,6,5,0,1,8,16,1,9,3,4,18,1,16,4,18,5,0,6,2,32
42,7,19,9,2,0,2,0,0,0,1,15,13,1,5,16,4,7,16,4,33,0,12,6,6,5,0,1,6,16,1,6,3,4,18,1,15,4,18,1,0,6,2,29
42,6,19,9,2,0,2,0,0,0,1,14,12,1,5,15,4,6,16,4,33,0,12,6,5,5,0,1,4,16,1,5,3,2,18,1,15,4,18,0,0,6,2,25
42,2,19,9,2,0,1,0,0,0,0,13,12,1,4,14,4,6,15,4,33,0,12,6,4,5,0,1,2,16,1,2,3,2,18,1,15,1,18,0,0,6,2,25
42,1,19,9,2,0,0,0,0,0,0,13,12,1,4,14,3,6,15,4,33,0,12,6,3,5,0,1,1,16,1,1,3,2,18,1,15,1,18,0,0,6,2,22
42,1,18,9,2,0,0,0,0,0,0,13,12,1,4,14,3,5,15,4,33,0,12,6,1,5,0,1,0,15,1,0,2,0,18,1,15,1,18,0,0,6,2,22
42,1,14,9,2,0,0,0,0,0,0,13,12,1,4,14,3,5,15,4,31,0,12,6,0,5,0,1,0,13,1,0,2,0,18,1,14,1,18,0,0,6,2,22
42,1,14,9,2,0,0,0,0,0,0,13,12,1,4,14,3,5,15,4,31,0,12,6,0,5,0,1,0,12,1,0,2,0,18,1,14,1,18,0,0,6,2,22
