res_hall,remaining,total,num_picks
Caswell Hall,42,42,1
Olney House,11,11,1
Harkness House,19,19,1
Drop to 544,1,1,1
Grad Center A,16,16,1
Goddard House,32,32,1
Morriss Hall,3,3,1
Young Orchard #4,14,14,1
Young Orchard #2,14,14,1
Hope College,11,11,1
New Pembroke #3,10,10,1
Champlin,5,5,1
No Show,76,80,1
Grad Center B,18,18,1
Grad Center C,18,18,1
Drop to 345,2,2,1
Drop to 618,1,1,1
Metcalf,53,53,1
Plantations House,10,10,1
Woolley,29,29,1
Drop to 405,1,1,1
Miller,20,20,1
Drop to 326,1,1,1
Slater Hall,19,21,1
Sears House,24,25,1
Jameson House,8,8,1
Chapin House,22,22,1
Gregorian Quad A,48,50,1
Young Orchard #10,13,13,1
New Pembroke #4,23,23,1
Barbour Hall,13,15,1
111 Brown Street,6,6,1
Mead House,12,12,1
Minden,53,57,1
Bronson House,7,7,1
Wayland House,20,20,1
Pass,40,40,1
Emery,17,17,1
Drop to 497,1,1,1
Drop to 577,1,1,1
West Andrews,29,29,1
Poland House,17,17,1
New Pembroke #1,16,16,1
Drop to 550,1,1,1
Archibald House,11,11,1
Gregorian Quad B,50,51,1
Everett House,4,4,1
Drop to 514,1,1,1
Drop to 416,1,1,1
Drop to 699,1,1,1
Barbour Hall Apartments,26,26,1
Hegeman,31,31,1
Drop to 673,1,1,1
Drop to 632,1,1,1
Grad Center D,18,18,1
Diman House,33,33,1
East Andrews,27,27,1
Marcy House,6,6,1
Drop to 527,1,1,1
Machado,8,8,1
Drop to 587,2,2,1
Drop to 594,1,1,1
Caswell Hall,42,42,2
Olney House,11,11,2
Harkness House,19,19,2
Drop to 544,1,1,2
Grad Center A,16,16,2
Goddard House,32,32,2
Morriss Hall,3,3,2
Young Orchard #4,14,14,2
Young Orchard #2,14,14,2
Hope College,11,11,2
New Pembroke #3,10,10,2
Champlin,5,5,2
No Show,72,80,2
Grad Center B,18,18,2
Grad Center C,18,18,2
Drop to 345,2,2,2
Drop to 618,1,1,2
Metcalf,52,53,2
Plantations House,10,10,2
Woolley,29,29,2
Drop to 405,1,1,2
Miller,19,20,2
Drop to 326,1,1,2
Slater Hall,18,21,2
Sears House,24,25,2
Jameson House,8,8,2
Chapin House,22,22,2
Gregorian Quad A,47,50,2
Young Orchard #10,13,13,2
New Pembroke #4,23,23,2
