Number,Residence Hall,Room,Occupancy,Time
1,Barbour Hall,104,1,2008-04-07 06:38:28
2,No Show,,,2008-04-07 06:38:52
3,Minden,609,1,2008-04-07 06:39:12
4,West Andrews,417,1,2008-04-07 06:39:30
5,Minden,209,1,2008-04-07 06:40:00
5,West Andrews,419,1,2008-04-07 06:40:17
6,Minden,305,1,2008-04-07 06:40:57
7,Wayland House,323,1,2008-04-07 06:41:25
8,Slater Hall,305,1,2008-04-07 06:41:53
9,East Andrews,460,1,2008-04-07 06:42:13
10,Emery,120,1,2008-04-07 06:42:29
11,No Show,,,2008-04-07 06:42:41
12,Wayland House,322,1,2008-04-07 06:43:03
13,Gregorian Quad A,409A,1,2008-04-07 06:43:32
14,Drop to 15,,,2008-04-07 06:43:54
15,Morriss Hall,120,2,2008-04-07 06:44:12
16,Slater Hall,105,1,2008-04-07 06:44:28
17,Minden,205,1,2008-04-07 06:45:05
17,Minden,709,1,2008-04-07 06:45:07
18,Minden,807,1,2008-04-07 06:45:24
19,Metcalf,300,1,2008-04-07 06:45:48
19,Metcalf,304,1,2008-04-07 06:45:53
20,Gregorian Quad A,408D,1,2008-04-07 06:47:11
20,Gregorian Quad A,408F,1,2008-04-07 06:46:26
21,West Andrews,403,1,2008-04-07 06:47:41
22,Emery,201,1,2008-04-07 06:48:00
23,Gregorian Quad B,401B,1,2008-04-07 06:48:17
24,Slater Hall,205,1,2008-04-07 06:48:32
25,Minden,805,1,2008-04-07 06:48:42
26,Minden,605,1,2008-04-07 06:48:56
27,Minden,705,1,2008-04-07 06:49:11
28,Gregorian Quad B,402F,1,2008-04-07 06:49:33
29,Plantations House,304,1,2008-04-07 06:49:55
30,Barbour Hall,304,1,2008-04-07 06:50:04
31,Metcalf,310,1,2008-04-07 06:50:24
32,Gregorian Quad B,402A,1,2008-04-07 06:50:40
33,Metcalf,401,1,2008-04-07 06:50:58
34,Drop to 286,,,2008-04-07 06:51:15
35,Metcalf,301,1,2008-04-07 06:51:46
35,Metcalf,311,1,2008-04-07 06:52:03
35,Metcalf,320,1,2008-04-07 06:51:28
36,Gregorian Quad B,402C,1,2008-04-07 06:52:22
37,Emery,220,1,2008-04-07 06:52:36
38,Wayland House,327,1,2008-04-07 06:52:48
39,East Andrews,306,1,2008-04-07 06:52:59
40,West Andrews,317,1,2008-04-07 06:53:14
41,Gregorian Quad A,409E,1,2008-04-07 06:53:57
42,Gregorian Quad B,403B,1,2008-04-07 06:54:23
43,West Andrews,319,1,2008-04-07 06:54:43
44,Gregorian Quad A,409F,1,2008-04-07 06:55:04
45,Gregorian Quad A,408B,1,2008-04-07 06:55:23
46,Gregorian Quad B,403C,1,2008-04-07 06:55:36
47,No Show,,,2008-04-07 06:55:59
48,Barbour Hall Apartments,140,4,2008-04-07 06:56:10
49,Poland House,207,1,2008-04-07 06:56:29
49,Slater Hall,306,1,2008-04-07 06:56:36
50,Plantations House,206,1,2008-04-07 06:56:52
51,Gregorian Quad B,405A,1,2008-04-07 06:57:10
51,Gregorian Quad B,405B,1,2008-04-07 06:57:11
51,Gregorian Quad B,405C,1,2008-04-07 06:57:16
52,Wayland House,330,1,2008-04-07 06:57:41
52,Wayland House,332,1,2008-04-07 06:57:44
53,Gregorian Quad A,408E,1,2008-04-07 06:58:04
54,Slater Hall,206,1,2008-04-07 06:58:29
55,Gregorian Quad A,410A,1,2008-04-07 06:58:47
56,Gregorian Quad A,409D,1,2008-04-07 06:58:54
57,Metcalf,318,1,2008-04-07 06:59:32
57,Metcalf,322,1,2008-04-07 06:59:33
57,Metcalf,323,1,2008-04-07 06:59:43
57,Metcalf,324,1,2008-04-07 06:59:36
58,Gregorian Quad A,213,4,2008-04-07 07:00:16
59,Gregorian Quad B,402D,1,2008-04-07 07:00:38
59,Gregorian Quad B,402E,1,2008-04-07 07:00:41
60,Barbour Hall Apartments,340,4,2008-04-07 07:00:51
61,Hegeman,A202,1,2008-04-07 07:01:15
62,Gregorian Quad A,410D,1,2008-04-07 07:01:50
62,Gregorian Quad A,410E,1,2008-04-07 07:01:52
62,Gregorian Quad A,410F,1,2008-04-07 07:01:53
62,Gregorian Quad B,401C,1,2008-04-07 07:01:58
62,Gregorian Quad B,401F,1,2008-04-07 07:01:59
62,Gregorian Quad B,403A,1,2008-04-07 07:02:04
62,Gregorian Quad B,403F,1,2008-04-07 07:02:03
62,Gregorian Quad B,405F,1,2008-04-07 07:02:08
63,Slater Hall,106,1,2008-04-07 07:03:49
64,Wayland House,318,1,2008-04-07 07:03:58
65,Minden,301,3,2008-04-07 07:04:11
66,Woolley,429,1,2008-04-07 07:04:29
67,Young Orchard #2,210,4,2008-04-07 07:04:42
67,Young Orchard #2,220,4,2008-04-07 07:04:46
68,Gregorian Quad B,402B,1,2008-04-07 07:04:58
69,Gregorian Quad B,403E,1,2008-04-07 07:05:30
70,Hegeman,E114,1,2008-04-07 07:05:45
