Caswell Hall,Harkness House,Perkins Hall,Goddard House,Young Orchard #4,Young Orchard #2,Hope College,New Pembroke #3,New Pembroke #2,Grad Center D,Grad Center B,Machado House,New Pembroke #4,Plantations House,111 Brown Street,Slater Hall,Grad Center C,Chapin House,Gregorian Quad A,Diman House,Gregorian Quad B,Barbour Hall,Grad center A,Olney House,Littlefield Hall,New Pembroke #1,Wayland House,Barbour Hall Apartments,Hegeman,315 Thayer,Sears House,Young Orchard #10,Marcy House,Minden
43,14,67,22,0,0,23,35,0,0,0,10,46,6,6,0,0,6,0,10,0,14,0,15,16,0,12,29,0,0,14,0,18,10
32,14,67,17,0,0,20,32,0,0,0,10,46,5,6,0,0,6,0,10,0,14,0,15,16,0,11,28,0,0,13,0,18,10
26,14,67,17,0,0,14,30,0,0,0,10,46,5,0,0,0,6,0,10,0,13,0,13,14,0,10,26,0,0,12,0,14,9
10,14,67,17,0,0,14,30,0,0,0,9,46,5,0,0,0,6,0,10,0,12,0,13,7,0,10,21,0,0,12,0,14,9
4,12,67,16,0,0,13,29,0,0,0,9,44,5,0,0,0,6,0,10,0,9,0,12,3,0,10,20,0,0,12,0,13,6
0,12,67,12,0,0,0,29,0,0,0,7,43,4,0,0,0,6,0,8,0,7,0,12,0,0,9,18,0,0,12,0,13,4
0,12,67,12,0,0,0,29,0,0,0,7,43,4,0,0,0,6,0,8,0,7,0,12,0,0,8,18,0,0,12,0,13,4
0,12,67,12,0,0,0,29,0,0,0,7,43,4,0,0,0,6,0,8,0,7,0,12,0,0,7,18,0,0,12,0,13,4
0,12,67,12,0,0,0,29,0,0,0,7,43,4,0,0,0,6,0,8,0,7,0,12,0,0,6,18,0,0,12,0,13,4
0,11,66,12,0,0,0,28,0,0,0,7,40,2,0,0,0,5,0,5,0,4,0,11,0,0,0,15,0,0,8,0,13,2
0,11,66,12,0,0,0,28,0,0,0,7,40,2,0,0,0,5,0,4,0,4,0,11,0,0,0,15,0,0,8,0,13,2
0,5,65,9,0,0,0,26,0,0,0,7,35,1,0,0,0,4,0,4,0,4,0,11,0,0,0,12,0,0,8,0,10,1
0,5,65,8,0,0,0,26,0,0,0,7,35,1,0,0,0,4,0,4,0,4,0,11,0,0,0,12,0,0,8,0,10,1
0,5,65,8,0,0,0,26,0,0,0,7,35,1,0,0,0,4,0,4,0,4,0,11,0,0,0,12,0,0,8,0,9,1
0,0,65,8,0,0,0,25,0,0,0,7,22,1,0,0,0,4,0,4,0,4,0,11,0,0,0,8,0,0,4,0,6,0
0,0,65,8,0,0,0,24,0,0,0,7,22,1,0,0,0,4,0,4,0,4,0,11,0,0,0,8,0,0,4,0,6,0
0,0,65,8,0,0,0,23,0,0,0,7,22,1,0,0,0,4,0,4,0,4,0,11,0,0,0,8,0,0,4,0,6,0
0,0,64,1,0,0,0,20,0,0,0,6,19,1,0,0,0,3,0,3,0,4,0,4,0,0,0,3,0,0,0,0,6,0
