Number,Residence Hall,Room,Occupancy,Time
1,Minden,807,1,2006-03-20 06:03:19
2,East Andrews,204,1,2006-03-20 06:05:04
3,Minden,409,1,2006-03-20 06:05:17
4,East Andrews,360,1,2006-03-20 06:05:38
5,Slater Hall,205,1,2006-03-20 06:05:51
6,Minden,609,1,2006-03-20 06:06:03
7,Minden,405,1,2006-03-20 06:06:13
8,No Show,,,2006-03-20 06:06:26
9,Minden,605,1,2006-03-20 06:06:57
10,Slater Hall,206,1,2006-03-20 06:07:53
11,East Andrews,406,1,2006-03-20 06:08:09
12,Hegeman,A202,1,2006-03-20 06:08:29
13,Gregorian Quad A,409E,1,2006-03-20 06:08:52
14,Gregorian Quad A,411,3,2006-03-20 06:09:10
15,Slater Hall,305,1,2006-03-20 06:09:26
16,Slater Hall,307,1,2006-03-20 06:09:39
17,No Show,,,2006-03-20 06:09:54
18,Gregorian Quad A,409A,1,2006-03-20 06:10:11
19,Miller,114,1,2006-03-20 06:10:35
20,West Andrews,317,1,2006-03-20 06:10:54
21,West Andrews,217,1,2006-03-20 06:11:06
22,Metcalf,401,1,2006-03-20 06:11:17
23,East Andrews,306,1,2006-03-20 06:11:33
24,Hegeman,A102,1,2006-03-20 06:11:57
25,No Show,,,2006-03-20 06:12:12
26,East Andrews,220,1,2006-03-20 06:12:30
27,Metcalf,114,1,2006-03-20 06:12:41
28,Gregorian Quad A,410D,1,2006-03-20 06:13:03
29,Miller,118,1,2006-03-20 06:13:22
30,East Andrews,408,1,2006-03-20 06:13:42
30,East Andrews,458,1,2006-03-20 06:13:45
30,East Andrews,460,1,2006-03-20 06:13:49
31,Barbour Hall Apartments,230,3,2006-03-20 06:14:07
32,Gregorian Quad B,405C,1,2006-03-20 06:14:36
33,Hope College,108,1,2006-03-20 06:14:58
34,Slater Hall,106,1,2006-03-20 06:15:06
35,Gregorian Quad A,408B,1,2006-03-20 06:15:28
36,East Andrews,308,1,2006-03-20 06:15:45
37,East Andrews,420,1,2006-03-20 06:16:05
37,Morris Hall,120,2,2006-03-20 06:16:22
38,West Andrews,405,1,2006-03-20 06:17:20
39,Gregorian Quad A,410E,1,2006-03-20 06:17:48
40,Gregorian Quad A,410F,1,2006-03-20 06:17:59
41,Metcalf,324,1,2006-03-20 06:18:35
42,East Andrews,222,1,2006-03-20 06:18:49
43,Barbour Hall Apartments,340,4,2006-03-20 06:19:14
44,Young Orchard #2,440,4,2006-03-20 06:19:33
45,Gregorian Quad A,410A,1,2006-03-20 06:19:47
46,Gregorian Quad B,405A,2,2006-03-20 06:20:43
47,East Andrews,260,1,2006-03-20 06:21:11
48,Young Orchard #2,420,4,2006-03-20 06:21:49
49,Gregorian Quad B,207,5,2006-03-20 06:22:02
50,Gregorian Quad A,409D,1,2006-03-20 06:22:19
51,Young Orchard #10,240,4,2006-03-20 06:22:45
52,Young Orchard #2,230,4,2006-03-20 06:22:57
53,New Pembroke #4,403,1,2006-03-20 06:23:17
54,Young Orchard #10,220,4,2006-03-20 06:23:36
55,Wayland House,323,1,2006-03-20 06:23:57
56,Gregorian Quad A,409F,1,2006-03-20 06:24:16
57,Young Orchard #4,110,4,2006-03-20 06:24:32
58,Gregorian Quad A,408E,1,2006-03-20 06:24:49
59,Hope College,308,1,2006-03-20 06:25:08
60,Young Orchard #2,210,4,2006-03-20 06:25:27
61,Metcalf,212,1,2006-03-20 06:25:43
61,Metcalf,214,1,2006-03-20 06:25:46
62,Gregorian Quad B,405B,1,2006-03-20 06:26:46
62,Gregorian Quad B,405F,1,2006-03-20 06:26:49
63,No Show,,,2006-03-20 06:27:05
64,Young Orchard #4,230,4,2006-03-20 06:27:26
65,Young Orchard #2,240,4,2006-03-20 06:27:43
66,Metcalf,116,1,2006-03-20 06:28:02
67,Gregorian Quad A,409C,1,2006-03-20 06:28:57
68,Barbour Hall Apartments,240,4,2006-03-20 06:29:08
69,Young Orchard #10,210,4,2006-03-20 06:29:20
70,Young Orchard #2,310,4,2006-03-20 06:29:39
71,Minden,301,3,2006-03-20 06:30:14
72,Grad Center A,320,4,2006-03-20 06:30:33
73,Gregorian Quad A,306,4,2006-03-20 06:30:55
74,Gregorian Quad A,202,4,2006-03-20 06:31:08
75,Gregorian Quad A,309,4,2006-03-20 06:31:26
76,Barbour Hall Apartments,140,4,2006-03-20 06:31:39
77,West Andrews,457,1,2006-03-20 06:32:08
77,West Andrews,459,1,2006-03-20 06:32:09
77,West Andrews,403,1,2006-03-20 06:32:30
78,Metcalf,220,1,2006-03-20 06:32:53
79,Young Orchard #2,340,4,2006-03-20 06:33:11
80,Metcalf,200,1,2006-03-20 06:33:39
80,Metcalf,202,1,2006-03-20 06:33:43
81,Gregorian Quad B,104,4,2006-03-20 06:33:56
82,Hope College,206,1,2006-03-20 06:34:18
83,West Andrews,319,1,2006-03-20 06:34:35
84,Gregorian Quad B,405D,1,2006-03-20 06:35:13
84,Gregorian Quad B,405E,1,2006-03-20 06:35:16
85,Gregorian Quad B,206,4,2006-03-20 06:35:42
86,Gregorian Quad A,410B,1,2006-03-20 06:36:05
86,Gregorian Quad A,410C,1,2006-03-20 06:36:08
87,Gregorian Quad A,409B,1,2006-03-20 06:36:23
88,Minden,715,3,2006-03-20 06:36:38
89,Gregorian Quad A,307,5,2006-03-20 06:37:07
89,Gregorian Quad A,308,5,2006-03-20 06:37:09
89,Wayland House,304,1,2006-03-20 06:37:38
90,Young Orchard #2,410,4,2006-03-20 06:38:04
90,Young Orchard #2,430,4,2006-03-20 06:38:08
90,Young Orchard #2,330,4,2006-03-20 06:38:13
91,Hegeman,E214,2,2006-03-20 06:38:45
92,Wayland House,320,1,2006-03-20 06:38:59
93,No Show,,,2006-03-20 06:39:15
94,Young Orchard #2,320,4,2006-03-20 06:39:32
95,East Andrews,258,1,2006-03-20 06:42:29
96,Wayland House,326,1,2006-03-20 06:42:35
97,Gregorian Quad A,408C,1,2006-03-20 06:42:41
98,Gregorian Quad A,313,4,2006-03-20 06:42:44
99,Metcalf,121,1,2006-03-20 06:42:50
100,Young Orchard #4,240,4,2006-03-20 06:42:57
101,Metcalf,201,1,2006-03-20 06:43:41
101,Metcalf,203,1,2006-03-20 06:43:46
102,Hegeman,E116,3,2006-03-20 06:44:18
103,East Andrews,206,1,2006-03-20 06:44:30
104,Gregorian Quad A,405,3,2006-03-20 06:44:46
105,East Andrews,422,1,2006-03-20 06:45:05
106,Young Orchard #4,420,4,2006-03-20 06:45:24
107,West Andrews,307,1,2006-03-20 06:45:53
108,East Andrews,310,1,2006-03-20 06:46:09
108,East Andrews,320,1,2006-03-20 06:46:10
108,East Andrews,322,1,2006-03-20 06:46:12
109,Gregorian Quad B,306,4,2006-03-20 06:46:23
110,Grad Center B,330,4,2006-03-20 06:46:41
111,Sears House,221,1,2006-03-20 06:46:52
112,Young Orchard #4,410,4,2006-03-20 06:47:03
113,Young Orchard #4,210,4,2006-03-20 06:47:16
114,Plantations House,206,1,2006-03-20 06:47:35
115,Metcalf,204,1,2006-03-20 06:47:48
116,Gregorian Quad A,210,5,2006-03-20 06:48:01
117,Metcalf,300,1,2006-03-20 06:48:17
118,Young Orchard #4,330,4,2006-03-20 06:48:38
119,East Andrews,304,1,2006-03-20 06:48:55
120,Young Orchard #4,310,4,2006-03-20 06:49:14
121,East Andrews,358,1,2006-03-20 06:49:42
121,East Andrews,362,1,2006-03-20 06:49:45
122,Minden,814,2,2006-03-20 06:50:02
123,Metcalf,125,1,2006-03-20 06:50:33
123,Metcalf,123,1,2006-03-20 06:50:39
124,West Andrews,219,1,2006-03-20 06:50:56
