Number,Residence Hall,Room,Occupancy,Time
470,Diman House,226,1,4/19/10 6:06:22
471,Diman House,224,1,4/19/10 6:06:31
472,No Show,,,4/19/10 6:06:50
473,Drop to 536,,,4/19/10 6:07:16
474,Diman House,309,1,4/19/10 6:07:40
475,Goddard House,308,2,4/19/10 6:07:55
475,Goddard House,323,2,4/19/10 6:07:58
476,Harkness House,327,1,4/19/10 6:08:49
477,No Show,,,4/19/10 6:09:10
478,Diman House,326,1,4/19/10 6:09:42
479,Barbour Hall Apartments,150,5,4/19/10 6:10:00
480,Drop to 523,,,4/19/10 6:10:20
481,Drop to 529,,,4/19/10 6:10:42
482,Drop to 603,,,4/19/10 6:11:26
483,Diman House,311,1,4/19/10 6:11:41
484,No Show,,,4/19/10 6:12:00
485,Diman House,312,1,4/19/10 6:12:13
486,Harkness House,206A,1,4/19/10 6:12:26
487,Morriss Hall,201,6,4/19/10 6:12:47
488,Barbour Hall Apartments,280,4,4/19/10 6:13:09
488,Gregorian Quad B,401,2,4/19/10 6:13:12
489,Harkness House,400B,8,4/19/10 6:13:37
490,New Pembroke #1,205,1,4/19/10 6:13:54
491,Drop to 494,,,4/19/10 6:14:11
492,Caswell Hall,102,2,4/19/10 6:14:26
493,Caswell Hall,411,2,4/19/10 6:14:38
494,Grad Center C,620,5,4/19/10 6:14:53
495,Morriss Hall,301,6,4/19/10 6:15:16
496,Barbour Hall Apartments,190,4,4/19/10 6:15:30
497,Diman House,329B,1,4/19/10 6:15:49
497,Diman House,329A,1,4/19/10 6:15:50
497,Diman House,229A,1,4/19/10 6:15:51
497,Harkness House,326A,1,4/19/10 6:16:00
497,Harkness House,326B,1,4/19/10 6:16:00
498,Diman House,221,3,4/19/10 6:16:43
498,Diman House,227,2,4/19/10 6:16:47
499,Harkness House,206B,1,4/19/10 6:16:56
500,Plantations House,301,3,4/19/10 6:17:22
500,Plantations House,303,2,4/19/10 6:17:24
501,Minden,701,3,4/19/10 6:17:41
502,New Pembroke #1,202,1,4/19/10 6:17:59
