Number,Residence Hall,Room,Occupancy,Time
512,Grad Center D,120,4,2007-04-12 06:35:55
513,Caswell Hall,406,2,2007-04-12 06:36:09
514,Caswell Hall,412,2,2007-04-12 06:36:19
515,Chapin House,400B,5,2007-04-12 06:36:36
516,New Pembroke #1,304,1,2007-04-12 06:36:56
517,No Show,,,2007-04-12 06:37:16
518,Barbour Hall Apartments,270,4,2007-04-12 06:37:29
519,Barbour Hall,206,2,2007-04-12 06:38:21
520,Drop to 584,,,2007-04-12 06:38:29
521,Caswell Hall,206,2,2007-04-12 06:38:45
521,Caswell Hall,210,2,2007-04-12 06:38:40
522,New Pembroke #1,406,1,2007-04-12 06:38:53
523,Caswell Hall,306,2,2007-04-12 06:39:39
524,Minden,802,3,2007-04-12 06:39:52
525,Pass,,,2007-04-12 06:40:12
526,Caswell Hall,401,2,2007-04-12 06:40:26
526,Caswell Hall,404,2,2007-04-12 06:40:32
527,Barbour Hall,305,2,2007-04-12 06:40:55
528,Caswell Hall,402,2,2007-04-12 06:41:05
528,Caswell Hall,409,2,2007-04-12 06:41:10
529,Drop to 579,,,2007-04-12 06:41:18
530,No Show,,,2007-04-12 06:41:35
531,Pass,,,2007-04-12 06:41:46
532,Caswell Hall,208,2,2007-04-12 06:41:52
533,Slater Hall,102,3,2007-04-12 06:42:14
534,Bronson House,319,3,2007-04-12 06:42:26
535,Caswell Hall,301,2,2007-04-12 06:42:44
535,Caswell Hall,302,2,2007-04-12 06:42:47
536,Barbour Hall,205,2,2007-04-12 06:42:55
537,Harkness House,302,2,2007-04-12 06:43:17
537,Harkness House,304,2,2007-04-12 06:43:22
537,Harkness House,400A,7,2007-04-12 06:43:07
538,Grad Center C,430,5,2007-04-12 06:43:32
538,New Pembroke #1,415,2,2007-04-12 06:43:56
539,Grad Center C,330,5,2007-04-12 06:44:09
540,Grad Center A,430,5,2007-04-12 06:44:17
541,Sears House,214,2,2007-04-12 06:44:29
542,Caswell Hall,403,2,2007-04-12 06:44:56
542,Marcy House,221,2,2007-04-12 06:44:48
542,Marcy House,325,2,2007-04-12 06:44:44
