Number,Residence Hall,Room,Occupancy,Time
1,Slater Hall,207,1,4/6/2011 6:12
2,Minden,409,1,4/6/2011 6:13
3,Minden,807,1,4/6/2011 6:13
3,Minden,709,1,4/6/2011 6:13
4,Gregorian Quad A,411,3,4/6/2011 6:13
5,Minden,209,1,4/6/2011 6:14
6,No Show,,,4/6/2011 6:14
7,Barbour Hall,304,1,4/6/2011 6:14
8,Sears House,114A,1,4/6/2011 6:15
9,No Show,,,4/6/2011 6:15
10,Gregorian Quad B,405B,1,4/6/2011 6:16
11,Slater Hall,307,1,4/6/2011 6:16
12,Barbour Hall,204,1,4/6/2011 6:16
13,No Show,,,4/6/2011 6:16
14,No Show,,,4/6/2011 6:17
15,Gregorian Quad A,410A,1,4/6/2011 6:17
16,East Andrews,320,1,4/6/2011 6:17
16,East Andrews,420,1,4/6/2011 6:18
17,Gregorian Quad B,405C,1,4/6/2011 6:18
18,West Andrews,317,1,4/6/2011 6:18
19,No Show,,,4/6/2011 6:18
20,No Show,,,4/6/2011 6:18
21,Minden,205,1,4/6/2011 6:19
22,Miller,114,1,4/6/2011 6:19
23,Slater Hall,305,1,4/6/2011 6:19
24,No Show,,,4/6/2011 6:20
25,No Show,,,4/6/2011 6:20
26,East Andrews,220,1,4/6/2011 6:20
27,Metcalf,114,1,4/6/2011 6:21
28,East Andrews,260,1,4/6/2011 6:21
29,Gregorian Quad A,410E,1,4/6/2011 6:21
30,Gregorian Quad B,403F,1,4/6/2011 6:22
31,Plantations House,304,1,4/6/2011 6:22
32,East Andrews,422,1,4/6/2011 6:22
33,No Show,,,4/6/2011 6:23
34,No Show,,,4/6/2011 6:23
35,Plantations House,206,1,4/6/2011 6:23
36,Gregorian Quad B,401B,1,4/6/2011 6:23
37,Metcalf,216,1,4/6/2011 6:24
38,Gregorian Quad B,402A,1,4/6/2011 6:24
39,No Show,,,4/6/2011 6:24
40,Minden,715,3,4/6/2011 6:25
41,No Show,,,4/6/2011 6:25
42,Slater Hall,105,1,4/6/2011 6:25
43,Gregorian Quad A,409D,1,4/6/2011 6:25
44,Gregorian Quad A,410B,1,4/6/2011 6:26
45,Miller,417,1,4/6/2011 6:26
46,East Andrews,222,1,4/6/2011 6:26
47,Slater Hall,106,1,4/6/2011 6:27
48,No Show,,,4/6/2011 6:27
49,Minden,405,1,4/6/2011 6:28
50,Wayland House,218,1,4/6/2011 6:28
51,West Andrews,219,1,4/6/2011 6:28
52,Gregorian Quad B,401C,1,4/6/2011 6:28
53,No Show,,,4/6/2011 6:29
54,Gregorian Quad A,409E,1,4/6/2011 6:30
55,East Andrews,322,1,4/6/2011 6:32
