Number,Residence Hall,Room,Occupancy,Time
551,Barbour Hall Apartments,350,5,2006-03-22 06:06:00
552,Drop to 591,,,2006-03-22 06:06:31
553,Barbour Hall Apartments,150,5,2006-03-22 06:06:59
554,Marcy House,400B,6,2006-03-22 06:07:19
555,New Pembroke #3,318,1,2006-03-22 06:07:38
556,Plantations House,102,2,2006-03-22 06:08:04
556,Plantations House,203,2,2006-03-22 06:08:08
556,Plantations House,202,2,2006-03-22 06:08:14
558,Barbour Hall Apartments,250,5,2006-03-22 06:08:47
559,Grad Center D,530,4,2006-03-22 06:09:17
559,Grad Center C,240,5,2006-03-22 06:09:33
559,Caswell Hall,105,2,2006-03-22 06:09:44
560,Grad Center D,520,6,2006-03-22 06:10:16
561,Marcy House,400A,6,2006-03-22 06:10:36
562,Caswell Hall,107,2,2006-03-22 06:10:55
562,Caswell Hall,108,2,2006-03-22 06:10:57
562,Caswell Hall,109,2,2006-03-22 06:11:00
564,Caswell Hall,103,2,2006-03-22 06:11:18
564,Caswell Hall,106,2,2006-03-22 06:11:21
564,Diman House,400B,8,2006-03-22 06:12:18
565,Plantations House,301,3,2006-03-22 06:12:36
565,Plantations House,201,2,2006-03-22 06:12:40
566,Chapin House,400A,8,2006-03-22 06:12:59
566,Goddard House,308,2,2006-03-22 06:13:04
567,Diman House,400A,8,2006-03-22 06:13:49
568,Barbour Hall Apartments,390,4,2006-03-22 06:14:41
569,Grad Center C,340,5,2006-03-22 06:14:53
570,Caswell Hall,104,2,2006-03-22 06:15:16
570,Caswell Hall,112,2,2006-03-22 06:15:19
571,Grad Center C,320,5,2006-03-22 06:15:50
571,Diman House,207,2,2006-03-22 06:16:04
572,Slater Hall,301,4,2006-03-22 06:16:18
573,Grad Center B,240,5,2006-03-22 06:16:53
573,Harkness House,207,2,2006-03-22 06:16:59
574,Morris Hall,201,6,2006-03-22 06:17:21
575,Harkness House,113,2,2006-03-22 06:17:53
575,Harkness House,117,2,2006-03-22 06:17:57
575,Harkness House,201,2,2006-03-22 06:18:01
575,Harkness House,202,2,2006-03-22 06:18:05
575,Harkness House,204,2,2006-03-22 06:18:09
576,Harkness House,204,2,2006-03-22 06:18:15
577,Drop to 577,,,2006-03-22 06:18:22
577,Grad Center D,220,6,2006-03-22 06:18:45
577,Grad Center D,230,5,2006-03-22 06:19:00
578,Grad Center C,220,5,2006-03-22 06:19:49
579,Drop to 591,,,2006-03-22 06:20:03
580,Slater Hall,204,4,2006-03-22 06:20:26
581,Harkness House,328,2,2006-03-22 06:20:49
581,Harkness House,329,2,2006-03-22 06:20:52
581,Harkness House,330,2,2006-03-22 06:20:55
