,Caswell Hall,Harkness House,Goddard House,Young Orchard #4,Young Orchard #2,Hope College,New Pembroke #3,New Pembroke #2,New Pembroke #1,Grad Center B,Grad Center C,New Pembroke #4,Metcalf,Plantations House,Woolley,Slater Hall,Jameson House,Chapin House,Gregorian Quad A,Diman House,Grad Center A,Mead House,Bronson House,Champlin,Olney House,Emery,West Andrews,Poland House,Wayland House,Archibald House,Gregorian Quad B,Everett House,Grad Center D,Miller,Barbour Hall Apartments,Hegeman,Sears House,Young Orchard #10,East Andrews,Marcy House,Minden,Morris Hall
2,34,6,15,0,0,1,7,5,15,11,9,1,0,0,28,7,10,4,2,12,9,7,9,5,1,20,0,15,0,12,1,4,13,1,11,7,1,0,0,0,30,2
2,34,6,15,0,0,1,7,5,15,11,9,1,0,0,28,7,10,4,2,12,9,7,9,5,1,20,0,15,0,12,1,4,13,1,11,6,1,0,0,0,30,2
2,34,6,4,0,0,1,7,5,15,11,9,1,0,0,26,7,10,4,2,12,8,7,9,5,1,20,0,15,0,12,1,4,13,1,8,1,0,0,0,0,28,2
2,34,5,2,0,0,1,7,5,15,10,5,1,0,0,25,7,9,4,2,12,8,3,9,5,1,20,0,8,0,12,1,4,13,1,6,0,0,0,0,0,26,1
2,34,5,1,0,0,1,7,5,15,8,4,1,0,0,19,7,8,2,2,12,6,3,9,3,1,19,0,3,0,10,0,4,13,1,3,0,0,0,0,0,21,1
2,34,5,1,0,0,1,7,5,15,6,4,1,0,0,17,4,8,1,1,12,6,3,8,3,1,17,0,1,0,8,0,4,13,1,2,0,0,0,0,0,16,1
2,34,5,1,0,0,1,7,5,15,6,4,1,0,0,17,4,8,1,1,12,6,2,8,3,1,17,0,1,0,8,0,4,13,1,2,0,0,0,0,0,16,1
2,34,5,1,0,0,1,5,5,15,3,3,1,0,0,15,4,8,1,0,12,5,2,5,3,1,16,0,1,0,6,0,2,13,1,2,0,0,0,0,0,11,1
2,34,5,1,0,0,1,5,5,15,3,3,1,0,0,15,4,8,1,0,12,5,2,5,3,1,15,0,1,0,6,0,2,13,1,2,0,0,0,0,0,11,1
2,34,5,1,0,0,1,5,5,15,3,3,1,0,0,15,4,8,1,0,12,5,2,4,3,1,15,0,1,0,6,0,2,13,1,2,0,0,0,0,0,11,1
2,34,5,1,0,0,1,5,5,15,3,3,1,0,0,12,4,7,1,0,12,2,2,2,3,1,1,0,1,0,1,0,2,13,1,2,0,0,0,0,0,10,1
2,34,5,1,0,0,1,5,5,15,3,3,1,0,0,11,4,7,1,0,12,2,2,2,3,1,1,0,1,0,1,0,2,13,1,2,0,0,0,0,0,10,1
2,34,5,1,0,0,1,5,5,15,3,3,1,0,0,10,4,7,1,0,12,2,2,2,3,1,1,0,1,0,1,0,2,13,1,2,0,0,0,0,0,10,1
2,34,5,1,0,0,1,5,5,15,3,3,1,0,0,9,4,7,1,0,12,2,2,2,3,1,1,0,1,0,1,0,2,13,1,2,0,0,0,0,0,10,1
2,34,5,1,0,0,1,5,5,15,1,3,0,0,0,3,4,7,1,0,12,2,2,1,3,1,0,0,1,0,1,0,1,13,1,1,0,0,0,0,0,8,1
2,34,5,1,0,0,1,4,2,15,1,3,0,0,0,0,4,7,0,0,12,1,2,0,0,1,0,0,1,0,1,0,1,13,1,1,0,0,0,0,0,8,0
