Number,Residence Hall,Room,Occupancy,Time
316,Young Orchard #2,120,4,2006-03-21 06:01:59
317,Gregorian Quad B,404,4,2006-03-21 06:02:28
317,Metcalf,400,1,2006-03-21 06:02:35
318,Hegeman,B204,3,2006-03-21 06:03:05
318,Hegeman,B205,2,2006-03-21 06:03:11
318,Marcy House,306B,1,2006-03-21 06:03:24
318,Olney House,323,1,2006-03-21 06:03:30
319,Minden,312,3,2006-03-21 06:03:55
320,Hegeman,E112,3,2006-03-21 06:04:09
320,Hegeman,E215,3,2006-03-21 06:04:13
321,Grad Center C,610,6,2006-03-21 06:04:40
321,Grad Center C,640,5,2006-03-21 06:04:43
322,Barbour Hall Apartments,130,3,2006-03-21 06:04:59
323,Hegeman,D310,3,2006-03-21 06:05:15
324,Minden,208,2,2006-03-21 06:05:27
325,Barbour Hall Apartments,310,3,2006-03-21 06:05:48
325,Barbour Hall Apartments,330,3,2006-03-21 06:05:51
325,Goddard House,344A,1,2006-03-21 06:06:14
326,No Show,,,2006-03-21 06:06:26
327,Mead House,203,1,2006-03-21 06:06:42
327,Mead House,204,1,2006-03-21 06:06:45
328,Hegeman,C208,3,2006-03-21 06:06:59
329,Mead House,229,1,2006-03-21 06:07:12
330,Minden,606,2,2006-03-21 06:07:30
330,Minden,608,2,2006-03-21 06:07:33
331,Minden,809,2,2006-03-21 06:08:07
331,Minden,306,2,2006-03-21 06:08:10
332,Morris Hall,101,4,2006-03-21 06:08:30
333,Chapin House,312,1,2006-03-21 06:09:42
334,Grad Center C,430,5,2006-03-21 06:09:57
335,No Show,,,2006-03-21 06:10:12
336,Hegeman,D210,3,2006-03-21 06:10:25
336,Hegeman,D211,3,2006-03-21 06:10:29
337,Hegeman,B107,3,2006-03-21 06:10:45
338,Drop to 340,,,2006-03-21 06:11:44
339,Woolley,307,1,2006-03-21 06:11:57
340,Hegeman,D110,3,2006-03-21 06:12:59
340,Hegeman,D111,3,2006-03-21 06:13:00
340,Woolley,219,1,2006-03-21 06:13:14
340,Woolley,218,1,2006-03-21 06:13:22
340,Woolley,216,1,2006-03-21 06:13:27
341,Hegeman,C108,3,2006-03-21 06:13:51
341,Chapin House,310,1,2006-03-21 06:13:57
342,Emery,107,1,2006-03-21 06:14:41
342,Emery,207,1,2006-03-21 06:14:44
343,Hegeman,B305,2,2006-03-21 06:15:03
344,Minden,513,3,2006-03-21 06:15:56
344,Minden,506,2,2006-03-21 06:15:57
344,Minden,508,2,2006-03-21 06:15:59
345,Olney House,224,1,2006-03-21 06:16:40
345,Goddard House,115,1,2006-03-21 06:16:52
345,Hegeman,C109,3,2006-03-21 06:18:29
346,Hegeman,B104,3,2006-03-21 06:19:02
346,Hegeman,B105,2,2006-03-21 06:19:06
346,Hegeman,A103,3,2006-03-21 06:19:08
347,Goddard House,312,1,2006-03-21 06:19:36
347,Goddard House,313,1,2006-03-21 06:19:37
347,Goddard House,314,1,2006-03-21 06:19:38
347,Goddard House,315,1,2006-03-21 06:19:40
348,Minden,512,3,2006-03-21 06:20:39
349,Hegeman,C401,3,2006-03-21 06:20:51
350,Hegeman,B304,3,2006-03-21 06:21:24
350,Goddard House,310,1,2006-03-21 06:21:49
351,Barbour Hall Apartments,110,3,2006-03-21 06:22:06
351,Woolley,106,1,2006-03-21 06:22:13
351,Woolley,206,1,2006-03-21 06:22:15
352,Barbour Hall Apartments,80,4,2006-03-21 06:22:36
353,Minden,201,3,2006-03-21 06:23:00
354,Goddard House,344B,1,2006-03-21 06:23:18
354,Goddard House,316,1,2006-03-21 06:23:28
354,Goddard House,317,1,2006-03-21 06:23:29
354,Goddard House,318,1,2006-03-21 06:23:33
354,Goddard House,319,1,2006-03-21 06:23:35
355,Grad Center A,540,6,2006-03-21 06:23:57
356,No Show,,,2006-03-21 06:25:38
357,Sears House,114B,1,2006-03-21 06:25:42
358,Barbour Hall Apartments,370,4,2006-03-21 06:25:54
359,Drop to 365,,,2006-03-21 06:26:07
360,Goddard House,303,1,2006-03-21 06:26:17
361,Grad Center C,510,6,2006-03-21 06:26:57
361,Poland House,323,1,2006-03-21 06:27:05
361,Poland House,325,1,2006-03-21 06:27:08
361,Poland House,327,1,2006-03-21 06:27:10
362,Barbour Hall Apartments,260,5,2006-03-21 06:27:28
362,Goddard House,117,1,2006-03-21 06:27:41
363,Minden,507,3,2006-03-21 06:28:00
363,Minden,406,2,2006-03-21 06:28:04
364,Harkness House,400A,7,2006-03-21 06:28:26
365,Grad Center C,520,5,2006-03-21 06:28:45
365,Grad Center C,530,5,2006-03-21 06:28:47
366,Hegeman,C402,3,2006-03-21 06:29:03
366,Jameson House,319,1,2006-03-21 06:29:11
367,Morris Hall,401,6,2006-03-21 06:29:27
368,Mead House,216,1,2006-03-21 06:29:51
368,Mead House,218,1,2006-03-21 06:29:52
368,Mead House,225,1,2006-03-21 06:29:53
368,Mead House,227,1,2006-03-21 06:30:01
369,Poland House,201,1,2006-03-21 06:30:20
369,Poland House,202,1,2006-03-21 06:30:22
369,Poland House,203,1,2006-03-21 06:30:22
369,Poland House,204,1,2006-03-21 06:30:26
370,Drop to 383,,,2006-03-21 06:30:44
371,Goddard House,306A,1,2006-03-21 06:31:16
371,Grad Center C,620,5,2006-03-21 06:31:26
372,Grad Center B,440,5,2006-03-21 06:31:47
373,Barbour Hall Apartments,280,4,2006-03-21 06:32:16
374,No Show,,,2006-03-21 06:32:38
375,Woolley,406,1,2006-03-21 06:33:34
376,Woolley,315,1,2006-03-21 06:36:39
376,Woolley,316,1,2006-03-21 06:36:41
376,Woolley,318,1,2006-03-21 06:36:42
376,Woolley,319,1,2006-03-21 06:36:45
377,Woolley,306,1,2006-03-21 06:36:57
377,Woolley,323,1,2006-03-21 06:37:00
377,Barbour Hall Apartments,50,3,2006-03-21 06:37:19
377,Barbour Hall Apartments,60,6,2006-03-21 06:37:21
378,Grad Center B,420,5,2006-03-21 06:38:05
379,Grad Center A,610,5,2006-03-21 06:38:16
380,Champlin,305,1,2006-03-21 06:38:33
380,Champlin,306,1,2006-03-21 06:38:35
381,Gregorian Quad B,405,2,2006-03-21 06:38:57
382,Minden,706,2,2006-03-21 06:39:24
382,Minden,708,2,2006-03-21 06:39:28
383,Barbour Hall Apartments,360,5,2006-03-21 06:39:45
383,Grad Center A,520,5,2006-03-21 06:40:10
383,Emery,404,1,2006-03-21 06:40:24
384,Drop to 389.5,,,2006-03-21 06:40:55
385,Chapin House,400B,5,2006-03-21 06:41:11
386,Drop to 445,,,2006-03-21 06:41:28
387,Grad Center C,440,5,2006-03-21 06:41:53
387,Poland House,334,1,2006-03-21 06:42:06
387,Poland House,336,1,2006-03-21 06:42:08
387,Goddard House,306B,1,2006-03-21 06:42:43
387,Poland House,338,1,2006-03-21 06:42:52
388,Grad Center B,610,6,2006-03-21 06:43:17
388,Poland House,205,1,2006-03-21 06:43:28
389,Minden,215,3,2006-03-21 06:43:58
389,Minden,412,3,2006-03-21 06:44:00
389,Jameson House,325,1,2006-03-21 06:44:40
389,Poland House,321,1,2006-03-21 06:44:46
389,Archibald House,304,1,2006-03-21 06:44:53
389,Archibald House,302,1,2006-03-21 06:45:16
389,Chapin House,309,1,2006-03-21 06:45:24
390,Minden,308,2,2006-03-21 06:45:44
391,Emery,204,1,2006-03-21 06:46:11
391,Emery,220,1,2006-03-21 06:46:13
392,Minden,401,3,2006-03-21 06:46:37
392,Bronson House,306,1,2006-03-21 06:46:52
393,Archibald House,301,1,2006-03-21 06:47:11
393,Archibald House,303,1,2006-03-21 06:47:14
394,Woolley,129,1,2006-03-21 06:47:39
395,Minden,408,2,2006-03-21 06:47:58
396,Gregorian Quad A,408,2,2006-03-21 06:48:10
397,Barbour Hall Apartments,270,4,2006-03-21 06:48:30
398,Poland House,324,1,2006-03-21 06:48:40
399,Poland House,208,1,2006-03-21 06:48:52
400,Minden,701,3,2006-03-21 06:49:17
400,Minden,702,3,2006-03-21 06:49:18
400,Chapin House,311,1,2006-03-21 06:49:25
401,Grad Center B,630,6,2006-03-21 06:49:42
401,Woolley,429,1,2006-03-21 06:50:02
402,Slater Hall,404,3,2006-03-21 06:50:12
403,Slater Hall,104,3,2006-03-21 06:50:28
403,Slater Hall,302,2,2006-03-21 06:50:36
404,Minden,712,3,2006-03-21 06:50:47
405,Grad Center B,510,6,2006-03-21 06:51:02
405,Mead House,304,1,2006-03-21 06:51:10
406,Grad Center B,530,5,2006-03-21 06:51:28
406,Archibald House,217,1,2006-03-21 06:51:32
406,Minden,101,2,2006-03-21 06:51:37
407,Everett House,316,1,2006-03-21 06:52:05
407,Everett House,324,1,2006-03-21 06:52:09
408,Grad Center B,540,5,2006-03-21 06:52:14
409,Grad Center C,310,6,2006-03-21 06:52:27
410,Drop to 413,,,2006-03-21 06:52:40
412,Minden,601,3,2006-03-21 06:53:17
412,Minden,806,2,2006-03-21 06:53:22
413,Minden,206,2,2006-03-21 06:53:54
413,Minden,815,3,2006-03-21 06:53:55
413,Grad Center B,640,5,2006-03-21 06:54:08
413,Archibald House,418,1,2006-03-21 06:54:43
414,Woolley,407,1,2006-03-21 06:55:09
414,Woolley,423,1,2006-03-21 06:55:11
414,Bronson House,309,1,2006-03-21 06:55:19
415,Bronson House,304,1,2006-03-21 06:55:23
416,Gregorian Quad A,410,2,2006-03-21 06:55:54
417,New Pembroke #3,203,1,2006-03-21 06:56:15
417,New Pembroke #3,205,1,2006-03-21 06:56:18
418,Grad Center A,440,6,2006-03-21 06:56:38
419,Bronson House,206,1,2006-03-21 06:56:48
420,Emery,320,1,2006-03-21 06:57:03
420,Emery,420,1,2006-03-21 06:57:04
420,Bronson House,313,1,2006-03-21 06:57:23
421,Grad Center A,530,5,2006-03-21 06:57:41
422,Jameson House,318,1,2006-03-21 06:58:05
423,Archibald House,221,1,2006-03-21 06:58:15
424,Emery,401,1,2006-03-21 06:58:45
424,Emery,409,1,2006-03-21 06:58:48
424,Emery,411,1,2006-03-21 06:58:58
424,Emery,417,1,2006-03-21 06:59:01
425,Bronson House,214,1,2006-03-21 06:59:14
426,Woolley,207,1,2006-03-21 06:59:50
427,Emery,304,1,2006-03-21 07:00:11
427,Emery,301,1,2006-03-21 07:00:14
427,Emery,309,1,2006-03-21 07:00:25
427,Emery,311,1,2006-03-21 07:00:27
428,Grad Center A,430,5,2006-03-21 07:00:42
429,Emery,104,1,2006-03-21 07:01:24
429,Emery,120,1,2006-03-21 07:01:26
429,Emery,317,1,2006-03-21 07:01:29
430,Emery,101,1,2006-03-21 07:01:45
430,Emery,201,1,2006-03-21 07:01:47
431,Archibald House,218,1,2006-03-21 07:02:37
431,Archibald House,227,,2006-03-21 07:02:39
431,Emery,217,1,2006-03-21 07:02:43
432,Woolley,223,1,2006-03-21 07:02:54
433,Grad Center A,330,5,2006-03-21 07:04:07
433,Archibald House,127,1,2006-03-21 07:04:13
433,Archibald House,131,1,2006-03-21 07:04:16
434,Bronson House,204,1,2006-03-21 07:04:37
434,Minden,402,3,2006-03-21 07:04:55
435,Woolley,113,1,2006-03-21 07:05:26
435,Woolley,115,1,2006-03-21 07:05:27
435,Woolley,116,1,2006-03-21 07:05:28
435,Woolley,119,1,2006-03-21 07:05:30
436,Barbour Hall Apartments,290,4,2006-03-21 07:05:49
437,Everett House,216,1,2006-03-21 07:06:33
438,Woolley,418,1,2006-03-21 07:07:25
438,Woolley,419,1,2006-03-21 07:07:27
439,Woolley,107,1,2006-03-21 07:07:48
439,Woolley,118,1,2006-03-21 07:07:49
439,Woolley,123,1,2006-03-21 07:07:50
439,Minden,315,3,2006-03-21 07:08:00
440,Emery,117,1,2006-03-21 07:08:31
441,Woolley,215,1,2006-03-21 07:09:04
442,Minden,113,3,2006-03-21 07:09:35
443,No Show,,,2006-03-21 07:09:52
444,Drop to 446,,,2006-03-21 07:10:02
445,Grad Center B,520,5,2006-03-21 07:10:17
446,Grad Center B,320,5,2006-03-21 07:10:39
447,No Show,,,2006-03-21 07:10:56
448,Bronson House,403,1,2006-03-21 07:11:08
449,No Show,,,2006-03-21 07:11:23
450,New Pembroke #4,320,1,2006-03-21 07:11:55
451,Woolley,229,1,2006-03-21 07:12:05
452,No Show,,,2006-03-21 07:12:21
453,Grad Center A,420,6,2006-03-21 07:12:41
454,New Pembroke #2,203,1,2006-03-21 07:13:00
454,New Pembroke #2,205,1,2006-03-21 07:13:04
455,Woolley,329,1,2006-03-21 07:13:10
456,Woolley,415,1,2006-03-21 07:13:24
457,Champlin,323,2,2006-03-21 07:13:40
458,Champlin,206,1,2006-03-21 07:13:54
459,Champlin,406,1,2006-03-21 07:14:08
460,Bronson House,409,1,2006-03-21 07:14:28
461,Chapin House,217,2,2006-03-21 07:14:51
462,New Pembroke #2,104,1,2006-03-21 07:15:52
463,Morris Hall,301,6,2006-03-21 07:16:12
463,New Pembroke #3,212,1,2006-03-21 07:16:17
464,No Show,,,2006-03-21 07:16:34
465,No Show,,,2006-03-21 07:16:52
466,Jameson House,219,1,2006-03-21 07:17:07
<< Beginning of Semester Level 4 Groups >>,,,,
467,Diman House,332,1,2006-03-21 07:17:21
468,Diman House,224,1,2006-03-21 07:17:34
469,Hope College,120,2,2006-03-21 07:18:23
470,No Show,,,2006-03-21 07:18:39
471,No Show,,,2006-03-21 07:18:55
472,Harkness House,210,1,2006-03-21 07:19:09
473,New Pembroke #2,201,1,2006-03-21 07:19:23
474,New Pembroke #2,202,1,2006-03-21 07:19:39
475,Grad Center B,340,5,2006-03-21 07:19:51
476,Diman House,329A,1,2006-03-21 07:20:20
476,Diman House,329B,1,2006-03-21 07:20:21
476,Jameson House,225,1,2006-03-21 07:20:36
477,Grad Center A,310,5,2006-03-21 07:20:51
<< Beginning of Semester Level 3 Groups >>,,,,
478,Diman House,312,1,2006-03-21 07:21:56
479,Harkness House,209,1,2006-03-21 07:22:09
480,Drop to 526,,,2006-03-21 07:22:42
481,Diman House,206B,1,2006-03-21 07:22:50
482,Grad Center C,210,6,2006-03-21 07:25:25
483,Harkness House,206A,1,2006-03-21 07:25:31
484,Caswell Hall,411,2,2006-03-21 07:25:36
485,Caswell Hall,407,2,2006-03-21 07:25:37
486,Grad Center C,330,5,2006-03-21 07:25:49
487,Harkness House,206B,1,2006-03-21 07:26:14
488,No Show,,,2006-03-21 07:26:32
489,Drop to 490,,,2006-03-21 07:26:43
490,Grad Center C,420,5,2006-03-21 07:27:01
491,New Pembroke #1,304,1,2006-03-21 07:27:23
492,Archibald House,422,1,2006-03-21 07:27:45
493,Slater Hall,203,2,2006-03-21 07:28:01
494,Caswell Hall,210,2,2006-03-21 07:28:30
495,Caswell Hall,410,2,2006-03-21 07:28:43
496,Slater Hall,303,2,2006-03-21 07:28:49
497,New Pembroke #1,205,1,2006-03-21 07:29:03
498,New Pembroke #1,305,1,2006-03-21 07:29:31
498,New Pembroke #1,405,1,2006-03-21 07:29:32
498,New Pembroke #1,407,1,2006-03-21 07:29:35
499,Minden,501,3,2006-03-21 07:29:51
500,Caswell Hall,111,2,2006-03-21 07:30:07
500,Caswell Hall,302,2,2006-03-21 07:30:10
501,Miller,122,2,2006-03-21 07:30:25
502,Slater Hall,405,2,2006-03-21 07:31:02
503,Caswell Hall,401,2,2006-03-21 07:31:15
504,Caswell Hall,408,2,2006-03-21 07:31:37
505,Grad Center D,420,5,2006-03-21 07:31:48
506,Poland House,424,1,2006-03-21 07:32:03
507,Goddard House,400A,6,2006-03-21 07:32:21
508,Caswell Hall,306,2,2006-03-21 07:32:50
508,Minden,415,3,2006-03-21 07:32:58
509,Minden,615,3,2006-03-21 07:33:09
510,Caswell Hall,311,2,2006-03-21 07:33:48
511,Minden,612,3,2006-03-21 07:34:01
511,Grad Center D,140,4,2006-03-21 07:34:10
511,Jameson House,214,1,2006-03-21 07:34:15
511,Everett House,107,1,2006-03-21 07:34:20
512,Grad Center D,440,6,2006-03-21 07:34:36
513,Caswell Hall,402,2,2006-03-21 07:34:53
513,Caswell Hall,403,2,2006-03-21 07:34:57
514,Grad Center D,410,5,2006-03-21 07:35:09
514,Caswell Hall,406,2,2006-03-21 07:35:13
514,Minden,202,3,2006-03-21 07:35:16
514,New Pembroke #1,406,1,2006-03-21 07:35:42
514,New Pembroke #1,302,1,2006-03-21 07:36:07
515,Caswell Hall,412,2,2006-03-21 07:36:31
516,Grad Center D,640,6,2006-03-21 07:36:45
517,Caswell Hall,206,2,2006-03-21 07:37:03
517,Caswell Hall,307,2,2006-03-21 07:37:06
518,New Pembroke #1,306,1,2006-03-21 07:37:18
519,Minden,302,3,2006-03-21 07:37:41
519,Jameson House,114,1,2006-03-21 07:38:09
520,Minden,502,3,2006-03-21 07:38:23
521,Grad Center D,510,5,2006-03-21 07:38:38
522,Caswell Hall,405,2,2006-03-21 07:38:54
522,Caswell Hall,409,2,2006-03-21 07:38:57
523,Caswell Hall,303,2,2006-03-21 07:39:11
524,Jameson House,106,1,2006-03-21 07:39:29
524,Jameson House,125,1,2006-03-21 07:39:32
525,Diman House,208,2,2006-03-21 07:39:58
525,New Pembroke #1,202,1,2006-03-21 07:40:37
526,Grad Center D,430,5,2006-03-21 07:40:50
527,Minden,602,3,2006-03-21 07:40:59
528,Slater Hall,406,2,2006-03-21 07:41:20
