room,pick_2006,pick_2007,pick_2008,pick_2009,pick_2010,pick_2011,pick_2012,pick_2013
Diman House 215,635,652,583,591,642,646,593,731
Diman House 217,534,643,583,618,583,624,593,660
Gregorian Quad A 310,0,204,255,7,278,290,151,337
Gregorian Quad A 311,126,0,198,303,325,317,346,346
Gregorian Quad A 312,288,259,107,299,279,262,313,380
Gregorian Quad A 313,98,0,0,74,259,159,100,62
Sears House 304,625,674,628,642,617,0,0,0
Sears House 307,625,683,634,651,593,666,0,0
Sears House 114B,357,238,0,174,163,263,98,0
Sears House 301,587,674,634,642,630,0,0,0
Sears House 302,644,674,634,642,630,0,0,0
Sears House 114A,0,213,0,341,0,8,161,0
Goddard House 318,354,325,348,242,209,345,134,675
Goddard House 319,354,294,0,0,244,146,128,575
Goddard House 310,350,325,348,404,250,346,148,0
Goddard House 312,347,285,170,361,262,0,0,0
Goddard House 313,347,0,210,407,262,344,129,640
Goddard House 314,347,325,348,361,262,346,129,640
Goddard House 315,347,262,292,378,282,344,129,640
Goddard House 316,354,325,292,242,209,267,108,640
Goddard House 317,354,318,348,369,209,344,129,675
Emery 201,430,220,22,447,300,171,133,0
Emery 207,342,45,0,125,34,80,8,0
Emery 204,391,261,94,212,254,186,133,0
Young Orchard #2 340,79,113,75,84,53,93,107,58
Sears House 400A,287,500,125,517,0,537,273,649
Sears House 400B,0,0,0,0,0,527,398,587
Mead House 231,274,210,0,383,381,365,0,0
Woolley 406,375,329,337,373,329,314,141,0
Machado 326,0,0,0,666,0,0,0,0
Machado 321,0,0,0,273,0,0,0,0
Machado 320,0,0,0,288,0,0,0,0
Machado 322,0,0,0,288,0,0,0,0
Grad Center D 411,0,0,0,0,0,0,216,30
Grad Center D 410,514,546,535,552,548,512,0,0
Grad Center D 413,0,0,0,0,0,0,341,158
Grad Center D 412,0,0,0,0,0,0,345,299
Grad Center D 415,0,0,0,0,0,0,212,152
Grad Center D 414,0,0,0,0,0,0,367,152
Marcy House 400A,561,582,0,362,532,508,507,678
Marcy House 400B,554,587,446,277,512,516,499,680
Emery 117,440,249,342,272,232,171,101,0
Grad center A 132,0,0,0,0,0,0,0,277
Mead House 304,405,0,0,0,414,413,0,0
New Pembroke #4 323,592,444,449,364,362,319,175,651
New Pembroke #4 320,450,209,0,415,326,96,22,542
New Pembroke #4 321,592,444,416,0,0,319,177,651
New Pembroke #4 326,622,445,448,467,362,348,194,651
New Pembroke #4 327,592,445,419,467,362,348,177,642
New Pembroke #4 325,589,444,429,364,361,319,173,616
Archibald House 422,492,434,602,540,412,456,0,0
New Pembroke #4 217,597,405,402,326,330,122,38,616
New Pembroke #4 215,0,0,0,0,0,0,0,704
New Pembroke #4 213,0,0,0,0,0,0,0,736
New Pembroke #4 219,595,405,412,326,306,122,38,0
Metcalf 317,172,184,256,218,174,253,0,0
Metcalf 316,196,0,192,218,180,289,0,0
Metcalf 315,172,0,95,197,150,168,0,0
Metcalf 314,311,0,182,218,199,168,0,0
Metcalf 313,256,0,95,94,150,243,0,0
Metcalf 312,0,0,95,110,199,162,0,0
Metcalf 311,172,184,35,94,201,249,0,0
Metcalf 310,208,172,31,198,237,321,0,0
Hope College 420,0,0,0,0,0,0,545,567
Young Orchard #2 110,0,300,0,389,205,424,349,352
Metcalf 318,311,0,57,218,180,321,0,0
Harkness House 117,575,0,0,0,0,0,607,0
Barbour Hall Apartments 60,377,457,324,316,600,350,323,600
Harkness House 113,575,0,0,0,0,0,0,0
Poland House 319,221,318,204,105,242,296,0,0
Perkins Hall 119,0,0,0,0,0,0,0,757
Grad Center C 520,365,580,0,0,423,0,533,473
Grad Center A 610,379,410,377,0,0,0,396,0
Metcalf 222,183,93,0,0,0,300,0,0
Metcalf 220,78,13,0,0,0,103,0,0
Metcalf 225,231,0,0,0,0,275,0,0
Metcalf 224,0,0,0,0,0,103,0,0
Gregorian Quad A 307,89,206,82,95,216,144,151,325
New Pembroke #1 204,533,0,562,551,502,542,481,0
New Pembroke #1 205,497,483,463,498,490,483,477,0
New Pembroke #1 206,533,491,557,510,508,507,483,103
Gregorian Quad A 304,201,229,237,249,294,332,252,97
New Pembroke #1 201,661,677,586,659,619,587,606,429
New Pembroke #1 202,525,482,470,491,502,474,479,0
Perkins Hall 136,0,0,0,0,0,0,0,757
Perkins Hall 139,0,0,0,0,0,0,0,742
Perkins Hall 138,0,0,0,0,0,0,0,742
Gregorian Quad A 302,288,304,251,338,295,318,285,370
Gregorian Quad A 301,136,139,253,180,288,180,213,310
Young Orchard #2 240,65,0,73,113,77,128,82,120
New Pembroke #3 210,0,0,0,0,0,0,0,748
Barbour Hall 205,0,536,541,599,596,663,574,730
Caswell Hall 210,494,521,514,0,0,0,0,0
East Andrews 208,0,4,139,78,97,62,0,0
Poland House 224,654,0,0,0,0,0,0,0
East Andrews 206,103,42,139,63,97,62,0,0
East Andrews 204,2,59,206,0,146,125,0,0
Grad Center A 320,72,0,0,0,0,390,0,0
Grad center A 623,0,0,0,0,0,0,0,223
Grad center A 622,0,0,0,0,0,0,0,421
Grad center A 621,0,0,0,0,0,0,0,194
Grad center A 626,0,0,0,0,0,0,0,172
Grad center A 625,0,0,0,0,0,0,0,172
Grad center A 624,0,0,0,0,0,0,0,172
Grad Center B 440,372,332,591,541,590,387,470,395
Olney House 225,0,0,0,462,0,0,0,0
Grad Center B 110,611,612,645,613,609,341,414,450
Olney House 227,0,0,0,423,0,0,0,0
Olney House 221,0,0,214,366,0,0,0,621
Olney House 222,206,0,214,366,0,0,0,701
Olney House 223,302,0,214,366,0,0,0,0
Wayland House 337,215,0,0,0,0,246,0,0
Gregorian Quad B 310,145,120,288,350,243,245,308,114
Wayland House 230,137,156,211,192,149,87,0,0
Morris Hall 120,37,56,0,0,0,0,0,0
Barbour Hall Apartments 290,436,576,309,445,0,596,373,694
Miller 122,501,0,0,615,621,227,0,0
Miller 121,650,658,0,615,538,622,0,0
Miller 124,646,658,0,666,193,0,0,0
Littlefield Hall 209,0,0,0,0,0,0,581,606
Littlefield Hall 208,0,0,0,0,0,0,546,586
Littlefield Hall 207,0,0,0,0,0,0,546,634
Littlefield Hall 205,0,0,0,0,0,0,587,624
Wayland House 237,234,273,273,216,198,231,0,0
Littlefield Hall 202,0,0,0,0,0,0,587,624
Littlefield Hall 201,0,0,0,0,0,0,551,606
Gregorian Quad A 411,14,0,107,58,56,4,105,64
Gregorian Quad A 410,416,621,595,513,386,598,580,449
Young Orchard #4 240,100,95,142,224,124,380,227,0
Grad center A 135,0,0,0,0,0,0,0,432
Grad center A 134,0,0,0,0,0,0,0,379
Grad center A 133,0,0,0,0,0,0,0,379
Gregorian Quad B 207,49,125,228,107,264,148,291,312
Grad center A 131,0,0,0,0,0,0,0,277
Gregorian Quad B 201,306,247,238,374,332,298,276,365
Diman House 202,601,0,0,0,0,0,0,0
Gregorian Quad A 306,73,139,112,297,233,288,0,257
Gregorian Quad A 305,0,31,96,115,147,82,72,97
Diman House 201,601,0,0,0,0,0,0,0
Gregorian Quad A 303,191,235,244,310,274,328,348,370
Diman House 207,571,0,0,0,0,0,0,0
Diman House 204,601,0,0,0,0,0,0,0
Sears House 330,0,0,600,0,629,537,626,0
Diman House 208,525,0,0,0,0,0,0,0
Gregorian Quad A 309,75,311,106,303,325,339,347,380
Gregorian Quad A 308,89,253,240,0,0,180,252,0
Chapin House 220,0,0,341,0,0,0,0,0
Metcalf 320,0,0,35,116,170,61,0,0
Chapin House 229,0,0,0,0,0,676,612,0
Chapin House 228,0,0,0,0,0,0,639,0
Emery 217,431,224,0,0,326,294,49,0
Grad Center D 314,0,0,0,0,0,0,354,174
Grad Center D 315,0,0,0,0,0,0,221,135
Grad Center D 312,0,0,0,0,0,0,218,367
Grad Center D 313,0,0,0,0,0,0,0,232
Grad Center D 310,547,543,559,568,523,522,0,0
Grad Center D 311,0,0,0,0,0,0,152,168
Minden 412,389,563,544,637,584,584,624,648
Minden 415,508,298,398,426,372,311,456,124
Mead House 223,244,326,0,342,381,315,0,0
Grad center A 315,0,0,0,0,0,0,0,159
Grad center A 314,0,0,0,0,0,0,0,247
Mead House 227,368,375,453,500,386,378,0,0
Grad center A 312,0,0,0,0,0,0,0,394
Mead House 225,368,375,0,0,0,378,0,0
Mead House 229,329,375,453,395,386,378,0,0
Gregorian Quad A 201,125,232,276,361,319,338,310,384
Emery 101,430,208,0,0,0,0,166,0
Emery 104,429,241,342,436,232,0,133,0
Emery 107,342,96,0,0,0,105,7,0
Grad center A 313,0,0,0,0,0,0,0,198
Grad center A 311,0,0,0,0,0,0,0,343
Wayland House 212,0,225,219,189,188,192,0,0
Wayland House 213,185,225,242,207,191,212,0,0
Wayland House 218,195,247,0,0,0,50,0,0
Poland House 418,0,0,0,0,359,458,0,0
Metcalf 304,158,0,19,39,99,130,0,0
Metcalf 306,158,0,140,187,92,286,0,0
Metcalf 300,117,0,19,33,12,130,0,0
Metcalf 301,182,0,35,20,172,0,0,0
Metcalf 302,262,0,79,181,237,333,0,0
Metcalf 308,203,0,160,210,92,286,0,0
Metcalf 309,227,172,175,80,182,202,0,0
Grad Center C 510,361,609,408,381,339,651,576,481
Machado 239,0,0,0,0,0,0,616,0
Grad Center A 130,632,649,640,610,587,644,332,0
New Pembroke #2 305,0,0,513,486,0,0,0,95
Grad Center A 620,0,693,608,609,388,582,426,0
Perkins Hall 14,0,0,0,0,0,0,0,755
Grad Center B 610,388,698,392,554,0,0,0,0
Caswell Hall 208,544,532,537,584,555,530,548,608
Grad Center A 310,477,393,592,536,560,568,356,0
New Pembroke #1 305,498,489,546,533,516,463,490,0
New Pembroke #1 304,491,516,0,0,0,0,0,103
New Pembroke #1 307,535,498,655,553,534,495,492,79
New Pembroke #1 306,518,495,601,569,517,507,496,79
New Pembroke #1 301,661,677,643,0,619,599,519,533
Young Orchard #4 410,112,171,247,217,133,93,308,140
New Pembroke #1 302,514,492,519,0,504,481,480,41
Gregorian Quad A 509,0,0,0,0,0,0,500,396
Grad Center C 640,321,0,587,398,428,573,0,463
Caswell Hall 207,0,0,0,0,509,530,504,578
Olney House 213,0,681,624,653,636,627,0,714
Olney House 214,0,681,447,348,613,620,417,0
Olney House 217,0,661,624,653,636,0,0,704
Grad Center B 120,624,613,646,612,609,638,414,0
Hegeman D404,300,317,314,339,360,307,325,288
Hegeman D403,300,317,314,339,351,307,325,282
Barbour Hall Apartments 110,351,242,368,0,0,0,0,0
East Andrews 306,23,11,39,40,89,72,0,0
East Andrews 304,119,205,187,161,89,83,0,0
East Andrews 308,36,27,176,106,46,58,0,0
Barbour Hall Apartments 280,373,435,548,267,488,575,552,690
Young Orchard #10 430,252,239,162,118,184,405,331,180
Grad Center B 540,408,408,560,451,529,589,424,398
Grad center A 214,0,0,0,0,0,0,0,424
Grad Center C 240,559,586,345,594,567,608,570,515
Barbour Hall Apartments 350,551,549,655,516,519,603,531,752
Grad Center D 546,0,0,0,0,0,0,355,330
Grad Center D 545,0,0,0,0,0,0,355,357
Grad Center D 544,0,0,0,0,0,0,251,229
Grad Center D 543,0,0,0,0,0,0,355,169
Grad Center D 542,0,0,0,0,0,0,290,169
Grad Center D 541,0,0,0,0,0,0,268,182
Grad Center D 540,545,610,525,563,547,546,0,0
Littlefield Hall 307,0,0,0,0,0,0,587,0
Littlefield Hall 305,0,0,0,0,0,0,587,0
Littlefield Hall 302,0,0,0,0,0,0,587,0
Littlefield Hall 301,0,0,0,0,0,0,601,0
Littlefield Hall 308,0,0,0,0,0,0,591,0
Littlefield Hall 309,0,0,0,0,0,0,591,0
Sears House 327,0,0,0,0,151,238,91,0
Sears House 324,0,0,0,0,0,0,0,658
Sears House 323,0,0,0,0,0,636,0,658
Sears House 320,0,313,0,0,0,0,0,0
Sears House 321,0,313,0,0,0,0,0,579
Grad Center D 143,0,0,0,0,0,0,375,427
Grad Center D 142,0,0,0,0,0,0,300,427
Grad Center D 140,511,607,0,632,556,536,0,0
Sears House 328,0,0,639,0,629,656,626,0
Grad Center D 144,0,0,0,0,0,0,300,221
Chapin House 217,461,0,648,650,641,669,633,712
Chapin House 214,0,691,648,656,616,564,596,652
Chapin House 212,0,0,389,0,0,0,0,0
Chapin House 213,649,733,648,671,641,564,596,696
111 Brown Street 301,622,667,504,629,530,510,554,590
Minden 407,235,192,254,255,60,366,302,196
Minden 406,363,374,323,484,0,0,0,305
Grad Center D 321,0,0,0,0,0,0,255,155
Grad Center D 320,589,652,566,603,602,591,0,0
Minden 402,434,641,520,455,563,576,506,591
Grad Center D 325,0,0,0,0,0,0,336,274
Grad Center D 324,0,0,0,0,0,0,221,192
Sears House 223,639,691,594,651,0,0,0,677
Sears House 222,258,315,0,373,181,0,0,0
Sears House 221,111,245,103,305,0,0,0,0
Sears House 220,266,0,164,373,181,0,0,0
Minden 409,3,1,0,5,11,2,0,0
Sears House 224,588,679,594,0,0,0,0,0
Diman House 309,0,0,0,0,474,503,0,556
Diman House 308,0,548,521,601,578,524,0,0
Woolley 429,401,0,66,351,203,173,57,0
Diman House 302,0,602,574,601,0,0,0,0
Diman House 301,0,602,574,601,0,0,0,0
Diman House 307,0,548,521,601,580,524,0,0
Woolley 423,414,354,337,355,305,314,61,0
Diman House 304,0,608,517,0,0,0,0,0
Grad Center D 435,0,0,0,0,0,0,327,165
Grad Center D 434,0,0,0,0,0,0,359,68
Grad Center D 433,0,0,0,0,0,0,267,68
Grad Center D 432,0,0,0,0,0,0,344,68
Grad Center D 431,0,0,0,0,0,0,359,68
Grad Center D 430,526,578,559,555,0,533,0,0
Mead House 103,528,381,633,0,0,0,0,0
Mead House 109,583,381,439,489,0,372,0,0
Marcy House 241,0,0,0,0,0,0,602,0
Marcy House 242,0,0,0,0,0,0,602,0
Caswell Hall 110,530,570,477,602,524,503,521,597
Harkness House 326A,0,481,457,523,497,520,0,0
Harkness House 326B,0,480,474,526,497,521,0,0
Wayland House 223,0,0,0,9,0,0,0,0
Poland House 424,506,411,0,0,419,449,0,0
Slater Hall 406,528,605,564,527,414,337,408,402
Slater Hall 405,502,605,245,526,394,337,473,388
Slater Hall 404,402,438,513,345,248,356,400,388
Slater Hall 403,189,605,410,519,154,132,417,292
Slater Hall 402,285,320,491,515,154,132,412,302
Slater Hall 401,285,299,325,345,364,322,337,402
Poland House 338,387,349,346,490,372,0,0,0
Poland House 336,387,349,346,454,372,401,0,0
Poland House 334,387,228,346,454,372,362,0,0
Poland House 332,221,228,208,194,242,0,0,0
Chapin House 306B,0,403,0,0,0,0,0,0
Chapin House 306A,0,403,0,0,0,0,0,0
Metcalf 209,272,202,0,0,0,103,0,0
Metcalf 208,273,119,0,0,0,160,0,0
Metcalf 204,115,15,0,0,0,89,0,0
Metcalf 206,278,49,0,0,0,160,0,0
Metcalf 201,101,39,0,0,0,103,0,0
Metcalf 200,80,26,0,0,0,89,0,0
Metcalf 203,101,78,0,0,0,103,0,0
Metcalf 202,80,193,0,0,0,270,0,0
Chapin House 326A,0,385,400,0,335,389,199,0
Chapin House 326B,0,385,431,0,335,423,162,0
Poland House 202,369,335,495,478,370,375,0,0
East Andrews 220,26,52,223,136,36,26,0,0
East Andrews 222,42,50,89,67,36,46,0,0
Poland House 206,0,0,0,450,391,429,0,0
Poland House 207,0,340,49,349,358,0,0,0
Poland House 204,369,335,177,449,391,419,0,0
Poland House 205,388,377,391,449,0,419,0,0
Olney House 113,0,691,637,660,596,667,633,714
Poland House 208,399,377,434,466,391,429,0,0
Olney House 116,0,0,0,0,0,586,0,714
Olney House 117,0,691,637,657,610,673,643,714
Grad Center A 540,355,439,608,469,283,489,371,0
New Pembroke #1 315,535,745,643,659,619,590,519,407
Grad Center B 420,378,0,565,566,384,606,538,354
Barbour Hall Apartments 120,595,392,376,565,367,640,586,654
East Andrews 314,0,0,0,661,670,0,0,0
East Andrews 310,108,0,166,171,89,118,0,0
Jameson House 125,524,434,557,0,0,0,0,0
Diman House 228,0,0,0,0,0,595,0,0
Chapin House 117,636,706,648,657,646,676,633,713
Miller 108,167,0,0,100,186,175,0,0
Chapin House 113,636,733,656,672,646,0,0,716
Grad Center D 111,0,0,0,0,0,0,256,366
Miller 105,305,250,0,265,48,110,0,0
Miller 100,152,0,0,265,237,165,0,0
Miller 102,167,0,0,289,0,188,0,0
Barbour Hall Apartments 250,558,642,621,402,507,557,509,741
Barbour Hall Apartments 380,617,626,561,581,563,611,561,695
Grad center A 145,0,0,0,0,0,0,0,336
Goddard House 342,612,0,0,0,0,0,606,0
Goddard House 340,315,0,0,0,0,0,0,0
Goddard House 347,633,0,0,0,0,0,0,0
Goddard House 346,633,0,0,0,0,0,0,0
Goddard House 345,315,0,0,0,0,0,0,0
Sears House 313,609,678,0,639,0,619,629,702
Goddard House 348,633,0,0,0,0,0,0,0
Littlefield Hall 311,0,0,0,0,0,0,591,0
Littlefield Hall 312,0,0,0,0,0,0,562,0
Diman House 226,0,0,0,503,470,488,0,0
Diman House 227,0,652,0,558,498,0,0,0
Grad center A 345,0,0,0,0,0,0,0,258
Grad center A 346,0,0,0,0,0,0,0,258
Grad center A 341,0,0,0,0,0,0,0,177
Grad center A 342,0,0,0,0,0,0,0,394
Grad center A 343,0,0,0,0,0,0,0,354
Grad Center D 334,0,0,0,0,0,0,0,276
Grad Center D 335,0,0,0,0,0,0,0,262
Grad Center D 330,542,564,0,0,0,0,0,0
Grad Center D 331,0,0,0,0,0,0,0,248
Grad Center D 332,0,0,0,0,0,0,0,248
Grad Center D 333,0,0,0,0,0,0,0,110
Sears House 230,630,660,639,0,611,595,0,0
Diman House 310,0,0,437,507,0,492,0,546
Diman House 311,0,0,461,508,483,505,455,561
Diman House 312,478,0,465,512,485,525,487,0
Diman House 315,635,661,588,621,633,0,615,744
Diman House 317,541,589,574,620,585,624,558,704
Grad Center D 420,505,564,530,530,543,505,0,0
Grad Center D 421,0,0,0,0,0,0,334,141
Grad Center D 422,0,0,0,0,0,0,334,315
Grad Center D 423,0,0,0,0,0,0,334,211
Grad Center D 424,0,0,0,0,0,0,298,238
Grad Center D 425,0,0,0,0,0,0,334,380
Minden 508,344,308,339,440,359,440,369,376
Minden 506,344,344,339,490,359,498,350,305
Minden 507,363,344,328,319,371,145,131,562
Minden 405,7,0,0,0,0,49,0,0
Minden 505,0,0,0,0,0,65,9,0
Minden 502,520,620,518,463,585,597,524,619
Minden 501,499,333,482,431,401,407,377,252
Gregorian Quad B 403,0,416,375,617,441,352,556,394
Gregorian Quad B 402,0,636,375,270,441,464,556,465
Gregorian Quad B 401,0,684,494,617,488,601,566,481
Gregorian Quad B 405,381,279,613,646,0,601,575,0
Gregorian Quad B 404,317,310,289,393,346,359,0,0
Mead House 113,530,381,439,465,407,426,0,0
Wayland House 346,215,287,181,213,102,220,0,537
Wayland House 343,0,0,0,0,0,0,0,650
Wayland House 348,0,0,0,0,0,0,0,639
Minden 212,276,448,585,598,620,625,620,638
Archibald House 418,413,295,440,392,399,443,0,0
Minden 215,389,307,437,354,261,487,424,123
Hegeman B106,0,306,0,0,0,0,0,0
Hegeman B107,337,293,298,293,256,326,0,0
Hegeman B104,346,352,298,293,355,330,0,0
Hegeman B105,346,681,626,645,456,634,0,0
315 Thayer 440,0,0,0,0,0,0,94,0
West Andrews 257,171,108,118,1,132,76,0,0
West Andrews 255,139,114,0,153,72,76,0,0
West Andrews 253,0,179,137,160,158,108,0,0
Barbour Hall Apartments 30,635,657,362,551,569,658,594,645
Wayland House 232,137,215,0,0,176,87,0,0
West Andrews 259,192,167,0,186,157,76,0,0
Bronson House 409,460,379,537,0,0,0,0,0
315 Thayer 140,0,0,0,0,0,0,132,134
Grad center A 142,0,0,0,0,0,0,0,336
Metcalf 324,41,0,57,128,80,134,0,0
Metcalf 325,216,0,158,211,106,245,0,0
Metcalf 322,216,93,57,128,180,164,0,0
Metcalf 323,216,184,57,209,174,248,0,0
Bronson House 406,0,433,650,0,408,573,0,0
Perkins Hall 215,0,0,0,0,0,0,0,718
Perkins Hall 216,0,0,0,0,0,0,0,776
Grad center A 141,0,0,0,0,0,0,0,102
New Pembroke #2 304,0,0,661,486,0,0,0,95
Miller 118,29,0,0,263,193,227,0,0
Poland House 321,389,349,368,490,372,362,0,0
Poland House 323,361,349,444,483,357,362,0,0
Poland House 325,361,349,403,490,357,362,0,0
Poland House 324,398,349,445,0,0,0,0,0
Poland House 327,361,349,360,321,353,296,0,0
Metcalf 212,61,37,0,0,0,153,0,0
Metcalf 210,273,49,0,0,0,160,0,0
Metcalf 211,228,75,0,0,0,153,0,0
Metcalf 216,309,68,0,0,0,37,0,0
Metcalf 217,294,175,0,0,0,270,0,0
Metcalf 214,61,69,0,0,0,200,0,0
Metcalf 215,221,54,0,0,0,198,0,0
Metcalf 218,286,0,0,0,0,295,0,0
111 Brown Street 302,620,667,504,629,530,609,554,596
East Andrews 256,0,0,0,71,58,67,0,0
Poland House 216,654,0,0,714,0,0,0,0
Poland House 210,232,330,338,349,397,362,0,0
East Andrews 258,95,148,195,133,98,118,0,0
Grad Center B 630,401,667,266,545,403,643,557,440
Grad Center C 310,409,632,317,423,409,618,541,0
Hegeman E114,0,30,70,44,30,88,0,0
Hegeman E115,0,0,0,0,0,0,0,42
Hegeman E116,102,305,205,292,297,133,208,197
Hegeman E112,320,363,312,326,303,326,342,260
Hegeman E113,275,288,0,244,315,301,340,401
Hegeman A103,346,355,298,340,360,0,0,396
Hegeman A102,24,0,77,85,42,0,0,24
Hegeman A101,142,254,298,8,117,0,0,98
Barbour Hall Apartments 130,322,302,224,322,352,104,319,605
Grad center A 144,0,0,0,0,0,0,0,336
Miller 110,167,0,0,100,116,0,0,0
Miller 117,269,0,0,134,194,0,0,0
Grad center A 143,0,0,0,0,0,0,0,336
Miller 115,259,0,0,0,0,161,0,0
Miller 114,19,0,0,0,0,22,0,0
New Pembroke #2 306,0,0,660,664,0,0,0,0
New Pembroke #2 307,0,0,478,415,0,0,0,32
Miller 119,269,0,0,32,0,227,0,0
Young Orchard #10 410,248,150,260,159,142,398,0,302
New Pembroke #2 302,0,0,0,574,0,0,0,95
New Pembroke #2 303,0,0,395,468,0,0,0,90
New Pembroke #2 301,0,0,395,415,0,0,0,89
Olney House 309,0,0,0,0,0,225,0,0
Barbour Hall Apartments 240,68,0,80,120,10,167,88,585
Minden 408,395,306,323,544,607,225,584,288,379
Grad Center B 410,0,449,596,616,506,580,0,421
Grad Center B 140,621,623,650,608,613,638,579,0
Gregorian Quad B 405C,32,98,51,17,2,17,30,1
Gregorian Quad B 405B,62,74,51,45,32,10,33,2
Gregorian Quad B 405A,46,113,51,81,132,0,66,18
Gregorian Quad B 405F,62,120,62,55,114,100,64,0
Gregorian Quad B 405E,84,163,78,167,140,123,76,75
Gregorian Quad B 405D,84,163,74,163,140,121,80,75
Jameson House 225,476,416,493,382,419,587,0,0
Barbour Hall Apartments 390,568,436,401,421,0,0,0,695
Grad Center C 220,578,586,604,600,567,630,517,0
Gregorian Quad B 404B,0,0,0,0,0,0,0,44
Grad Center D 525,0,0,0,0,0,0,268,156
Grad Center D 524,0,0,0,0,0,0,112,266
Grad Center D 526,0,0,0,0,0,0,239,434
Grad Center D 521,0,0,0,0,0,0,146,181
Grad Center D 520,560,596,489,563,552,558,0,0
Grad Center D 523,0,0,0,0,0,0,268,434
Grad Center D 522,0,0,0,0,0,0,112,423
Gregorian Quad B 404C,0,0,0,0,0,0,0,85
Grad Center C 130,0,0,659,0,0,357,352,218
Grad Center D 631,0,0,0,0,0,0,338,339
Grad Center D 630,546,544,584,0,599,571,0,0
Grad Center D 633,0,0,0,0,0,0,338,190
Grad Center D 632,0,0,0,0,0,0,338,228
Grad Center D 635,0,0,0,0,0,0,338,190
Grad Center D 634,0,0,0,0,0,0,338,347
Morriss Hall 401,0,0,509,368,510,563,478,0
Diman House 325,0,0,446,495,0,0,0,0
Diman House 327,585,577,555,606,578,524,0,0
Diman House 326,0,0,0,0,478,486,0,0
Diman House 321,585,589,588,621,585,555,558,639
Diman House 323,0,0,460,509,0,0,0,0
Diman House 328,585,577,555,606,578,551,0,0
Chapin House 301,0,694,0,0,0,0,0,0
Chapin House 302,0,725,0,0,0,0,0,0
Chapin House 303,0,403,0,0,0,0,0,0
Chapin House 304,0,725,0,0,0,0,0,0
Chapin House 307,0,680,0,0,0,0,0,0
Chapin House 308,0,728,0,0,0,0,0,0
Chapin House 309,389,0,0,0,0,0,0,0
Littlefield Hall 105,0,0,0,0,0,0,600,624
Littlefield Hall 107,0,0,0,0,0,0,601,610
Littlefield Hall 101,0,0,0,0,0,0,528,610
Littlefield Hall 102,0,0,0,0,0,0,569,634
Gregorian Quad A 408A,0,0,0,625,431,0,0,0
Gregorian Quad A 408C,97,73,85,62,122,0,68,59
Gregorian Quad A 408B,35,90,45,43,83,0,68,38
Gregorian Quad A 408E,58,73,53,64,28,0,68,50
Gregorian Quad A 408D,0,73,20,0,0,0,0,37
Gregorian Quad A 408F,0,0,20,625,541,603,592,454
Minden 513,344,411,505,440,343,399,357,300
Minden 512,348,581,556,657,597,625,543,648
Grad center A 213,0,0,0,0,0,0,0,382
Sears House 113,644,685,0,653,635,666,634,693
Sears House 117,628,685,0,653,635,0,0,702
Grad center A 215,0,0,0,0,0,0,0,404
Minden 201,353,429,414,365,380,386,383,0
Minden 202,514,500,330,0,0,0,503,626
Minden 205,0,0,17,19,0,21,0,9
Minden 207,239,277,147,392,14,386,235,119
Minden 206,413,374,281,301,0,408,284,297
Minden 209,0,7,5,15,3,5,4,8
Minden 208,324,284,0,428,200,550,0,297
Hope College 416,0,0,0,0,0,0,459,560
Hope College 417,0,0,0,0,0,0,595,595
Hope College 414,218,162,358,293,210,209,458,560
Hope College 415,0,0,0,0,0,0,595,636
Hegeman B205,318,246,532,335,383,215,0,0
Hegeman B204,318,246,299,317,292,281,0,0
Hegeman B207,301,293,299,8,273,431,287,0
Hegeman B206,303,289,0,8,228,281,0,0
Gregorian Quad A 410D,28,112,62,98,39,59,50,51
Minden 608,330,367,357,573,199,539,322,0
Hegeman D210,336,0,302,252,221,170,311,266
Hegeman D211,336,336,316,0,317,307,109,280
Metcalf 125,123,91,114,111,99,89,0,0
Metcalf 120,646,447,0,0,0,647,0,0
Metcalf 121,99,29,0,16,73,89,0,0
Metcalf 123,123,132,167,226,204,206,0,0
Grad Center A 140,640,645,538,614,587,632,332,0
Woolley 407,414,329,337,373,320,314,141,0
Jameson House 106,524,445,345,0,419,587,0,0
Young Orchard #4 440,155,88,249,217,0,366,328,216
Young Orchard #10 240,51,111,180,87,71,376,309,291
111 Brown Street 202,620,634,506,629,576,609,554,596
111 Brown Street 203,620,634,506,0,617,609,554,596
111 Brown Street 201,584,634,504,0,617,609,561,596
Grad Center A 210,593,600,359,590,603,610,365,0
Harkness House 400A,364,537,499,550,535,497,488,620
Harkness House 400B,0,0,533,532,489,0,522,628
Machado 32,0,470,479,0,324,232,121,0
Machado 33,0,451,466,0,268,252,121,0
Machado 30,0,733,654,648,632,612,606,0
Machado 31,0,440,343,595,0,0,0,0
Machado 36,0,499,0,431,0,336,0,0
Olney House 319,151,0,236,410,230,0,0,0
Machado 34,0,459,456,479,259,0,121,0
Machado 35,0,496,0,431,0,260,150,0
Olney House 314,0,0,0,250,177,151,60,549
Olney House 316,0,0,0,229,0,197,89,587
Machado 39,0,0,674,673,0,612,617,0
Olney House 310,0,0,0,0,0,225,0,0
Barbour Hall Apartments 270,397,518,372,0,0,596,390,660
Olney House 312,0,0,0,0,0,284,0,589
Olney House 313,0,0,619,669,624,0,619,692
Gregorian Quad A 125,0,0,0,0,0,0,358,461
Jameson House 214,511,394,501,0,0,452,0,0
Grad Center C 230,608,603,345,438,608,648,402,459
Jameson House 218,0,394,472,531,414,410,0,0
New Pembroke #2 207,650,0,553,362,227,0,0,61
