score,room,rank,occupancy
9.5753392195637197,East Andrews 260,145,1
9.5759529900512774,East Andrews 408,146,1
9.5916630466254382,315 Thayer 120,147,2
9.619273782995478,Young Orchard #2 240,148,4
9.6612067635259926,Young Orchard #2 310,149,4
9.6768426841803201,Metcalf 203,150,1
9.6953597148326587,315 Thayer 440,151,4
9.704233522020953,Barbour Hall 204,152,1
9.7979589711327115,Grad center A 421,153,1
9.8333264738414314,Gregorian Quad A 409C,154,1
9.8504016748373466,Gregorian Quad A 205,155,3
9.8619909302729134,West Andrews 401,156,1
9.9248168075246266,West Andrews 357,157,1
9.9989055532156836,West Andrews 455,158,1
10.082696926703168,Gregorian Quad A 410C,159,1
10.086336387518559,Metcalf 214,160,1
10.087082015875366,Grad Center D 411,161,1
10.091244888253753,Morriss Hall 120,162,2
10.099504938362077,Grad center A 141,163,1
10.099504938362077,Grad center A 415,164,1
10.099504938362077,Machado 237,165,1
10.11122348098068,Plantations House 303,166,1
10.135532212894827,West Andrews 203,167,1
10.147470408829188,Emery 120,168,1
10.148891565092219,Grad center A 411,169,1
10.148891565092219,Metcalf 224,170,1
10.198680264881959,West Andrews 405,171,1
10.204419338097621,Metcalf 125,172,1
10.212302023671548,Minden 715,173,3
10.285089720507189,Gregorian Quad B 403D,174,1
10.295975764265958,Emery 107,175,1
10.321131342810054,Gregorian Quad B 402E,176,1
10.334640473249516,Young Orchard #2 410,177,4
10.344080432788601,Fake Building 1,178,1
10.364767534349623,Gregorian Quad A 410B,179,1
10.372396474267235,Plantations House 206,180,1
10.385465660443135,Gregorian Quad A 405,181,3
10.40786010255116,West Andrews 255,182,1
10.455399860554831,West Andrews 355,183,1
10.467306605075562,Gregorian Quad B 405D,184,1
10.488088481701515,Grad Center D 333,185,1
10.488088481701515,Machado 236,186,1
10.498456696487214,Gregorian Quad B 405E,187,1
10.509598437693015,Gregorian Quad B 401D,188,1
10.563389320727397,East Andrews 358,189,1
10.590433639991643,Plantations House 304,190,1
10.599760586241615,East Andrews 458,191,1
10.635789870926828,Metcalf 216,192,1
10.671576566631902,Young Orchard #2 320,193,4
10.677078252031311,Grad center A 614,194,1
10.677078252031311,Grad center A 615,195,1
10.68225225735544,Gregorian Quad B 403E,196,1
10.772219902456298,Metcalf 411,197,1
10.781483373183109,Grad Center D 233,198,1
10.846470871669281,Gregorian Quad A 313,199,4
10.868668999855881,Minden 814,200,2
10.894563027302652,West Andrews 205,201,1
10.931491669350633,Hegeman E214,202,2
11.006636251793706,Wayland House 327,203,1
11.045361017187261,Machado 238,204,1
11.062779669338322,Minden 812,205,2
11.086810258807571,East Andrews 210,206,1
11.092114274626617,Young Orchard #4 330,207,4
11.095681139742666,Barbour Hall Apartments 340,208,4
11.113952102766969,Barbour Hall Apartments 240,209,4
11.13984879198488,East Andrews 362,210,1
11.231059199196364,Miller 110,211,1
11.232762485974433,Slater Hall 102,212,2
11.236813168923502,Young Orchard #2 440,213,4
11.240950543851422,315 Thayer 240,214,6
11.319617934869211,Young Orchard #2 430,215,4
11.329972405203446,East Andrews 310,216,1
11.361899578609505,East Andrews 258,217,1
11.382418508897553,Barbour Hall Apartments 140,218,4
11.404150378147438,West Andrews 301,219,1
11.443500854617353,Hegeman A101,220,3
11.517469824134087,West Andrews 459,221,1
11.518887031698156,Emery 220,222,1
11.532481097933141,315 Thayer 140,223,6
11.532562594670797,Grad center A 643,224,1
11.54832097522004,Gregorian Quad B 401E,225,1
11.557572728760697,West Andrews 353,226,1
11.563488925010022,Miller 405,227,1
11.563488925010022,Miller 419,228,1
11.571131415301997,Metcalf 322,229,1
11.627967496032536,Young Orchard #4 310,230,4
11.652423037864958,Metcalf 402,231,1
11.665459828182241,Gregorian Quad A 213,232,4
11.689053293456638,East Andrews 304,233,1
11.711613207497651,West Andrews 307,234,1
11.718357477448345,West Andrews 207,235,1
11.760964440809898,Young Orchard #4 230,236,4
11.767385216883554,Metcalf 312,237,1
11.838737223470625,Metcalf 107,238,1
11.886167892462806,Young Orchard #4 320,239,4
11.886361194319766,Hope College 206,240,1
11.896438784933055,Metcalf 104,241,1
11.930640587307638,West Andrews 407,242,1
11.93944801929112,East Andrews 462,243,1
11.958260743101398,Fake Building 160,244,1
11.975697406753316,Young Orchard #4 420,245,4
12.0,Miller 409,246,1
12.041359538267358,Metcalf 311,247,1
12.043079928412956,Metcalf 211,248,1
12.057274094177274,Metcalf 210,249,1
12.095261751712776,Metcalf 215,250,1
12.096315306425199,Gregorian Quad A 612,251,2
12.107480880402195,Metcalf 206,252,1
12.125777276616144,Grad Center D 342,253,1
12.139001729408518,West Andrews 253,254,1
12.144427374285382,Sears House 114A,255,1
12.150970883381913,Young Orchard #10 210,256,4
12.165525060596439,Grad Center D 442,257,1
12.204956314034769,Young Orchard #4 340,258,4
12.240364105961305,Wayland House 232,259,1
12.250513833712043,Wayland House 218,260,1
12.277051056275287,Hope College 208,261,1
12.293172944801757,Grad Center D 433,262,1
12.301803648474182,Metcalf 416,263,1
12.333039622815994,West Andrews 259,264,1
12.349981561574495,Young Orchard #4 210,265,4
12.35181268053732,Wayland House 230,266,1
12.369316876852981,Grad center A 441,267,1
12.374864296556156,Miller 119,268,1
12.418282120718493,Sears House 327,269,1
12.421254070352553,Metcalf 315,270,1
12.447446558907224,Miller 108,271,1
12.450220158859228,Gregorian Quad A 307,272,5
12.570858313297656,Minden 607,273,2
12.609520212918492,Grad center A 315,274,1
12.620917025173036,West Andrews 359,275,1
12.640350677532632,Miller 118,276,1
12.645154701376836,Grad Center D 311,277,1
12.654627274509725,Young Orchard #10 310,278,4
12.655612008335481,Metcalf 313,279,1
12.689220063977622,East Andrews 456,280,1
12.713064791241148,West Andrews 453,281,1
12.721011641063885,Metcalf 110,282,1
12.727922061357855,Fake Building 10,283,1
12.747439482342571,Emery 320,284,1
12.763850444987629,Champlin 423,285,1
12.767145334803704,Grad center A 444,286,1
12.767145334803704,Grad center A 445,287,1
12.768335010334141,Grad Center D 521,288,1
12.791214570625343,East Andrews 356,289,1
12.84418225333061,Metcalf 109,290,1
12.859357030350468,Young Orchard #10 240,291,4
12.875299415392019,Wayland House 322,292,1
12.893130464342825,Young Orchard #4 220,293,4
12.915991311853261,Metcalf 306,294,1
12.922710787129366,East Andrews 410,295,1
12.922847983320086,Grad center A 432,296,1
12.922847983320086,Grad center A 433,297,1
12.947661112559507,Young Orchard #4 110,298,4
13.009638775671569,Metcalf 309,299,1
13.083144659960695,Young Orchard #4 410,300,4
13.088376906661683,Gregorian Quad B 306,301,4
13.089464208201315,Metcalf 202,302,1
13.114877048604001,Goddard House 233,303,1
