room,occupancy,ratty_dist,main_green_dist,nelson_dist,score
Gregorian Quad B 405A,1,0.002313592,0.004546342,0.007093942,7.999446563
Metcalf 204,1,0.00528862,0.004033401,0.004736,8.010256591
Gregorian Quad A 410E,1,0.002219058,0.004508411,0.006818289,8.05121168
East Andrews 208,1,0.00541031,0.004249048,0.004532952,8.068890533
East Andrews 256,1,0.00541031,0.004249048,0.004532952,8.07575855
East Andrews 460,1,0.00541031,0.004249048,0.004532952,8.081114002
East Andrews 360,1,0.00541031,0.004249048,0.004532952,8.086322405
West Andrews 219,1,0.00541031,0.004249048,0.004532952,8.192064276
East Andrews 308,1,0.00541031,0.004249048,0.004532952,8.192730802
Miller 401,1,0.005212861,0.004169464,0.004259293,8.206287471
East Andrews 220,1,0.00541031,0.004249048,0.004532952,8.334038315
Barbour Hall 304,1,0.003332574,0.005684611,0.006333645,8.3463109
Gregorian Quad A 409F,1,0.002219058,0.004508411,0.006818289,8.374162766
Miller 418,1,0.005212861,0.004169464,0.004259293,8.388530516
Gregorian Quad A 410F,1,0.002219058,0.004508411,0.006818289,8.501181193
Minden 301,3,0.003007532,0.004380877,0.003093356,8.513821301
West Andrews 417,1,0.00541031,0.004249048,0.004532952,8.607200616
Machado 235,1,0.006216642,0.004264504,0.006829095,8.660254038
Gregorian Quad B 405A,2,0.002313592,0.004546342,0.007093942,8.706237898
West Andrews 303,1,0.00541031,0.004249048,0.004532952,8.715306854
Young Orchard #10 220,4,0.005475101,0.007769158,0.00646132,8.723987083
Grad Center D 211,1,0.001636932,0.003782765,0.006953485,8.746427842
Metcalf 212,1,0.00528862,0.004033401,0.004736,8.754109694
Young Orchard #2 330,4,0.004438724,0.006759134,0.006240018,8.796928592
Metcalf 201,1,0.00528862,0.004033401,0.004736,8.814588395
East Andrews 322,1,0.00541031,0.004249048,0.004532952,8.85712428
West Andrews 305,1,0.00541031,0.004249048,0.004532952,8.90224198
Metcalf 304,1,0.00528862,0.004033401,0.004736,8.905066131
West Andrews 403,1,0.00541031,0.004249048,0.004532952,8.919334702
Gregorian Quad A 408C,1,0.002219058,0.004508411,0.006818289,8.922733128
East Andrews 422,1,0.00541031,0.004249048,0.004532952,8.931170195
Gregorian Quad B 405F,1,0.002313592,0.004546342,0.007093942,8.97082052
Gregorian Quad B 401A,1,0.002313592,0.004546342,0.007093942,8.98448441
Emery 207,1,0.004294951,0.003511129,0.0038919,8.997572793
East Andrews 206,1,0.00541031,0.004249048,0.004532952,9.013262999
West Andrews 457,1,0.00541031,0.004249048,0.004532952,9.020492
Young Orchard #2 340,4,0.004438724,0.006759134,0.006240018,9.028419981
Young Orchard #2 230,4,0.004438724,0.006759134,0.006240018,9.032836189
Young Orchard #2 210,4,0.004438724,0.006759134,0.006240018,9.049269106
Gregorian Quad B 401F,1,0.002313592,0.004546342,0.007093942,9.059946271
Metcalf 324,1,0.00528862,0.004033401,0.004736,9.157355197
Gregorian Quad B 404C,1,0.002313592,0.004546342,0.007093942,9.219544457
Metcalf 301,1,0.00528862,0.004033401,0.004736,9.248457587
West Andrews 257,1,0.00541031,0.004249048,0.004532952,9.256450891
Young Orchard #2 220,4,0.004438724,0.006759134,0.006240018,9.285708923
Miller 403,1,0.005212861,0.004169464,0.004259293,9.290289645
Miller 410,1,0.005212861,0.004169464,0.004259293,9.307166093
Gregorian Quad B 402D,1,0.002313592,0.004546342,0.007093942,9.323127551
East Andrews 204,1,0.00541031,0.004249048,0.004532952,9.342289053
Gregorian Quad A 305,3,0.002219058,0.004508411,0.006818289,9.371915514
Gregorian Quad A 409B,1,0.002219058,0.004508411,0.006818289,9.382733345
Metcalf 320,1,0.00528862,0.004033401,0.004736,9.383765971
Young Orchard #2 420,4,0.004438724,0.006759134,0.006240018,9.444604213
Metcalf 116,1,0.00528862,0.004033401,0.004736,9.460091333
East Andrews 260,1,0.00541031,0.004249048,0.004532952,9.57533922
East Andrews 408,1,0.00541031,0.004249048,0.004532952,9.57595299
315 Thayer 120,2,0.005500862,0.00509805,0.002791982,9.591663047
Young Orchard #2 240,4,0.004438724,0.006759134,0.006240018,9.619273783
Young Orchard #2 310,4,0.004438724,0.006759134,0.006240018,9.661206764
Metcalf 203,1,0.00528862,0.004033401,0.004736,9.676842684
315 Thayer 440,4,0.005500862,0.00509805,0.002791982,9.695359715
Barbour Hall 204,1,0.003332574,0.005684611,0.006333645,9.704233522
Grad center A 421,1,0.002033301,0.003816952,0.007674111,9.797958971
Gregorian Quad A 409C,1,0.002219058,0.004508411,0.006818289,9.833326474
Gregorian Quad A 205,3,0.002219058,0.004508411,0.006818289,9.850401675
West Andrews 401,1,0.00541031,0.004249048,0.004532952,9.86199093
West Andrews 357,1,0.00541031,0.004249048,0.004532952,9.924816808
West Andrews 455,1,0.00541031,0.004249048,0.004532952,9.998905553
Gregorian Quad A 410C,1,0.002219058,0.004508411,0.006818289,10.08269693
Metcalf 214,1,0.00528862,0.004033401,0.004736,10.08633639
Grad Center D 411,1,0.001636932,0.003782765,0.006953485,10.08708202
Morriss Hall 120,2,0.004877948,0.004103928,0.003714228,10.09124489
Grad center A 141,1,0.002033301,0.003816952,0.007674111,10.09950494
Grad center A 415,1,0.002033301,0.003816952,0.007674111,10.09950494
Machado 237,1,0.006216642,0.004264504,0.006829095,10.09950494
Plantations House 303,1,0.005500362,0.004662943,0.003795809,10.11122348
West Andrews 203,1,0.00541031,0.004249048,0.004532952,10.13553221
Emery 120,1,0.004294951,0.003511129,0.0038919,10.14747041
Grad center A 411,1,0.002033301,0.003816952,0.007674111,10.14889157
Metcalf 224,1,0.00528862,0.004033401,0.004736,10.14889157
West Andrews 405,1,0.00541031,0.004249048,0.004532952,10.19868026
Metcalf 125,1,0.00528862,0.004033401,0.004736,10.20441934
Minden 715,3,0.003007532,0.004380877,0.003093356,10.21230202
Gregorian Quad B 403D,1,0.002313592,0.004546342,0.007093942,10.28508972
Emery 107,1,0.004294951,0.003511129,0.0038919,10.29597576
Gregorian Quad B 402E,1,0.002313592,0.004546342,0.007093942,10.32113134
Young Orchard #2 410,4,0.004438724,0.006759134,0.006240018,10.33464047
Fake Building 1,1,0.004866504,0.007174255,0.00629313,10.34408043
Gregorian Quad A 410B,1,0.002219058,0.004508411,0.006818289,10.36476753
Plantations House 206,1,0.005500362,0.004662943,0.003795809,10.37239647
Gregorian Quad A 405,3,0.002219058,0.004508411,0.006818289,10.38546566
West Andrews 255,1,0.00541031,0.004249048,0.004532952,10.4078601
West Andrews 355,1,0.00541031,0.004249048,0.004532952,10.45539986
Gregorian Quad B 405D,1,0.002313592,0.004546342,0.007093942,10.46730661
Grad Center D 333,1,0.001636932,0.003782765,0.006953485,10.48808848
Machado 236,1,0.006216642,0.004264504,0.006829095,10.48808848
Gregorian Quad B 405E,1,0.002313592,0.004546342,0.007093942,10.4984567
Gregorian Quad B 401D,1,0.002313592,0.004546342,0.007093942,10.50959844
East Andrews 358,1,0.00541031,0.004249048,0.004532952,10.56338932
Plantations House 304,1,0.005500362,0.004662943,0.003795809,10.59043364
East Andrews 458,1,0.00541031,0.004249048,0.004532952,10.59976059
Metcalf 216,1,0.00528862,0.004033401,0.004736,10.63578987
Young Orchard #2 320,4,0.004438724,0.006759134,0.006240018,10.67157657
Grad center A 614,1,0.002033301,0.003816952,0.007674111,10.67707825
Grad center A 615,1,0.002033301,0.003816952,0.007674111,10.67707825
Gregorian Quad B 403E,1,0.002313592,0.004546342,0.007093942,10.68225226
Metcalf 411,1,0.00528862,0.004033401,0.004736,10.7722199
Grad Center D 233,1,0.001636932,0.003782765,0.006953485,10.78148337
Gregorian Quad A 313,4,0.002219058,0.004508411,0.006818289,10.84647087
Minden 814,2,0.003007532,0.004380877,0.003093356,10.868669
West Andrews 205,1,0.00541031,0.004249048,0.004532952,10.89456303
Hegeman E214,2,0.000737564,0.002443331,0.005211221,10.93149167
Wayland House 327,1,0.001267304,0.001463704,0.006804493,11.00663625
Machado 238,1,0.006216642,0.004264504,0.006829095,11.04536102
Minden 812,2,0.003007532,0.004380877,0.003093356,11.06277967
East Andrews 210,1,0.00541031,0.004249048,0.004532952,11.08681026
Young Orchard #4 330,4,0.004866504,0.007174255,0.00629313,11.09211427
Barbour Hall Apartments 340,4,0.003332574,0.005684611,0.006333645,11.09568114
Barbour Hall Apartments 240,4,0.003332574,0.005684611,0.006333645,11.1139521
East Andrews 362,1,0.00541031,0.004249048,0.004532952,11.13984879
Miller 110,1,0.005212861,0.004169464,0.004259293,11.2310592
Slater Hall 102,2,0.002806514,0.000743744,0.0073448,11.23276249
Young Orchard #2 440,4,0.004438724,0.006759134,0.006240018,11.23681317
315 Thayer 240,6,0.005500862,0.00509805,0.002791982,11.24095054
Young Orchard #2 430,4,0.004438724,0.006759134,0.006240018,11.31961793
East Andrews 310,1,0.00541031,0.004249048,0.004532952,11.32997241
East Andrews 258,1,0.00541031,0.004249048,0.004532952,11.36189958
Barbour Hall Apartments 140,4,0.003332574,0.005684611,0.006333645,11.38241851
West Andrews 301,1,0.00541031,0.004249048,0.004532952,11.40415038
Hegeman A101,3,0.000737564,0.002443331,0.005211221,11.44350085
West Andrews 459,1,0.00541031,0.004249048,0.004532952,11.51746982
Emery 220,1,0.004294951,0.003511129,0.0038919,11.51888703
315 Thayer 140,6,0.005500862,0.00509805,0.002791982,11.5324811
Grad center A 643,1,0.002033301,0.003816952,0.007674111,11.53256259
Gregorian Quad B 401E,1,0.002313592,0.004546342,0.007093942,11.54832098
West Andrews 353,1,0.00541031,0.004249048,0.004532952,11.55757273
Miller 405,1,0.005212861,0.004169464,0.004259293,11.56348893
Miller 419,1,0.005212861,0.004169464,0.004259293,11.56348893
Metcalf 322,1,0.00528862,0.004033401,0.004736,11.57113142
Young Orchard #4 310,4,0.004866504,0.007174255,0.00629313,11.6279675
Metcalf 402,1,0.00528862,0.004033401,0.004736,11.65242304
Gregorian Quad A 213,4,0.002219058,0.004508411,0.006818289,11.66545983
East Andrews 304,1,0.00541031,0.004249048,0.004532952,11.68905329
West Andrews 307,1,0.00541031,0.004249048,0.004532952,11.71161321
West Andrews 207,1,0.00541031,0.004249048,0.004532952,11.71835748
Young Orchard #4 230,4,0.004866504,0.007174255,0.00629313,11.76096444
Metcalf 312,1,0.00528862,0.004033401,0.004736,11.76738522
Metcalf 107,1,0.00528862,0.004033401,0.004736,11.83873722
Young Orchard #4 320,4,0.004866504,0.007174255,0.00629313,11.88616789
Hope College 206,1,0.003188155,0.000856981,0.006815006,11.88636119
Metcalf 104,1,0.00528862,0.004033401,0.004736,11.89643878
West Andrews 407,1,0.00541031,0.004249048,0.004532952,11.93064059
East Andrews 462,1,0.00541031,0.004249048,0.004532952,11.93944802
Fake Building 160,1,0.004866504,0.007174255,0.00629313,11.95826074
Young Orchard #4 420,4,0.004866504,0.007174255,0.00629313,11.97569741
Miller 409,1,0.005212861,0.004169464,0.004259293,12
Metcalf 311,1,0.00528862,0.004033401,0.004736,12.04135954
Metcalf 211,1,0.00528862,0.004033401,0.004736,12.04307993
Metcalf 210,1,0.00528862,0.004033401,0.004736,12.05727409
Metcalf 215,1,0.00528862,0.004033401,0.004736,12.09526175
Gregorian Quad A 612,2,0.002219058,0.004508411,0.006818289,12.09631531
Metcalf 206,1,0.00528862,0.004033401,0.004736,12.10748088
Grad Center D 342,1,0.001636932,0.003782765,0.006953485,12.12577728
West Andrews 253,1,0.00541031,0.004249048,0.004532952,12.13900173
Sears House 114A,1,0.000618306,0.001760093,0.006174125,12.14442737
Young Orchard #10 210,4,0.005475101,0.007769158,0.00646132,12.15097088
Grad Center D 442,1,0.001636932,0.003782765,0.006953485,12.16552506
Young Orchard #4 340,4,0.004866504,0.007174255,0.00629313,12.20495631
Wayland House 232,1,0.001267304,0.001463704,0.006804493,12.24036411
Wayland House 218,1,0.001267304,0.001463704,0.006804493,12.25051383
Hope College 208,1,0.003188155,0.000856981,0.006815006,12.27705106
Grad Center D 433,1,0.001636932,0.003782765,0.006953485,12.29317294
Metcalf 416,1,0.00528862,0.004033401,0.004736,12.30180365
West Andrews 259,1,0.00541031,0.004249048,0.004532952,12.33303962
Young Orchard #4 210,4,0.004866504,0.007174255,0.00629313,12.34998156
