res_hall,remaining,total,num_picks
Caswell Hall,42,42,1
Bronson House,10,10,1
Harkness House,18,18,1
East Andrews,28,30,1
Goddard House,29,29,1
New Pembroke #3,10,10,1
Young Orchard #4,13,13,1
Young Orchard #2,12,12,1
Hope College,10,10,1
Drop to 229,1,1,1
Champlin,5,5,1
No Show,53,54,1
Grad Center B,20,20,1
Grad Center C,18,18,1
New Pembroke #4,23,23,1
Metcalf,33,38,1
Drop to 113,1,1,1
Plantations House,10,10,1
Woolley,30,30,1
Drop to 405,1,1,1
Miller,3,3,1
Slater Hall,17,18,1
Sears House,33,33,1
Jameson House,11,11,1
Chapin House,30,30,1
Gregorian Quad A,52,52,1
Drop to 581,1,1,1
Grad Center A,18,18,1
Barbour Hall,16,16,1
111 Brown Street,6,6,1
Mead House,13,13,1
Minden,51,56,1
Olney House,6,6,1
Young Orchard #10,13,13,1
Machado,12,12,1
Pass,63,64,1
Emery,21,21,1
Drop to 579,1,1,1
West Andrews,29,29,1
Poland House,19,19,1
New Pembroke #1,18,18,1
Wayland House,19,19,1
Archibald House,14,14,1
Drop to 522,1,1,1
Gregorian Quad B,50,50,1
Everett House,5,5,1
Drop to 106,1,1,1
Drop to 584,1,1,1
Drop to 698,1,1,1
Drop to 417,1,1,1
Barbour Hall Apartments,29,29,1
Hegeman,38,39,1
Drop to 564,1,1,1
Grad Center D,19,19,1
Diman House,25,25,1
Drop to 457,1,1,1
Marcy House,11,11,1
Drop to 471,1,1,1
Drop to 730,1,1,1
Morris Hall,4,4,1
Caswell Hall,42,42,2
Bronson House,10,10,2
Harkness House,18,18,2
East Andrews,27,30,2
Goddard House,29,29,2
New Pembroke #3,10,10,2
Young Orchard #4,13,13,2
Young Orchard #2,12,12,2
Hope College,9,10,2
Drop to 229,1,1,2
Champlin,5,5,2
No Show,51,54,2
Grad Center B,20,20,2
Grad Center C,18,18,2
New Pembroke #4,23,23,2
Metcalf,31,38,2
Drop to 113,1,1,2
Plantations House,10,10,2
Woolley,30,30,2
