res_hall,remaining,total,num_picks
Caswell Hall,42,42,1
Olney House,9,9,1
Harkness House,19,19,1
Drop to 490,1,1,1
Marcy House,19,19,1
Goddard House,36,36,1
Young Orchard #4,13,13,1
Young Orchard #2,12,12,1
Hope College,14,14,1
New Pembroke #3,10,10,1
New Pembroke #2,11,11,1
Drop to 340,1,1,1
No Show,97,98,1
Woolley,32,32,1
Grad Center C,20,20,1
New Pembroke #4,23,23,1
Metcalf,65,65,1
Drop to 687,1,1,1
Drop to 365,1,1,1
Plantations House,9,9,1
Grad Center B,19,19,1
Drop to 383,1,1,1
Slater Hall,17,20,1
Drop to 700,1,1,1
Drop to 284,1,1,1
Drop to 212,1,1,1
Jameson House,12,12,1
Chapin House,13,13,1
Gregorian Quad A,49,51,1
Young Orchard #10,14,14,1
Drop to 446,1,1,1
111 Brown Street,6,6,1
Mead House,14,14,1
Drop to 288,1,1,1
Bronson House,9,9,1
Drop to 389.5,1,1,1
Archibald House,16,16,1
King House,2,2,1
Emery,22,22,1
Drop to 445,1,1,1
Sears House,30,30,1
Drop to 577,1,1,1
Drop to 526,1,1,1
West Andrews,26,26,1
Poland House,20,20,1
New Pembroke #1,19,19,1
Wayland House,19,19,1
Grad Center A,18,18,1
Gregorian Quad B,32,32,1
Everett House,5,5,1
Drop to 255,1,1,1
Champlin,5,5,1
Miller,13,13,1
Barbour Hall Apartments,29,29,1
Hegeman,40,41,1
Drop to 413,1,1,1
Grad Center D,21,21,1
Diman House,27,27,1
East Andrews,27,30,1
Pass,61,61,1
Drop to 591,2,2,1
Minden,49,54,1
Drop to 711,1,1,1
Morris Hall,5,5,1
Drop to 617,1,1,1
Caswell Hall,42,42,2
Olney House,9,9,2
Harkness House,19,19,2
Drop to 490,1,1,2
Marcy House,19,19,2
Goddard House,36,36,2
Young Orchard #4,13,13,2
Young Orchard #2,12,12,2
Hope College,14,14,2
New Pembroke #3,10,10,2
New Pembroke #2,11,11,2
Drop to 340,1,1,2
No Show,95,98,2
Woolley,32,32,2
Grad Center C,20,20,2
New Pembroke #4,23,23,2
Metcalf,63,65,2
Drop to 687,1,1,2
Drop to 365,1,1,2
Plantations House,9,9,2
Grad Center B,19,19,2
Drop to 383,1,1,2
Slater Hall,16,20,2
Drop to 700,1,1,2
Drop to 284,1,1,2
Drop to 212,1,1,2
Jameson House,12,12,2
Chapin House,13,13,2
Gregorian Quad A,47,51,2
Young Orchard #10,14,14,2
Drop to 446,1,1,2
111 Brown Street,6,6,2
Mead House,14,14,2
Drop to 288,1,1,2
Bronson House,9,9,2
Drop to 389.5,1,1,2
Archibald House,16,16,2
King House,2,2,2
Emery,22,22,2
Drop to 445,1,1,2
Sears House,30,30,2
Drop to 577,1,1,2
Drop to 526,1,1,2
West Andrews,24,26,2
Poland House,20,20,2
New Pembroke #1,19,19,2
Wayland House,19,19,2
Grad Center A,18,18,2
Gregorian Quad B,32,32,2
Everett House,5,5,2
Drop to 255,1,1,2
Champlin,5,5,2
Miller,11,13,2
Barbour Hall Apartments,29,29,2
Hegeman,39,41,2
Drop to 413,1,1,2
Grad Center D,21,21,2
Diman House,27,27,2
East Andrews,24,30,2
Pass,61,61,2
Drop to 591,2,2,2
Minden,49,54,2
Drop to 711,1,1,2
Morris Hall,5,5,2
Drop to 617,1,1,2
Caswell Hall,42,42,2
Olney House,9,9,2
Harkness House,19,19,2
Drop to 490,1,1,2
Marcy House,19,19,2
Goddard House,36,36,2
Young Orchard #4,13,13,2
Young Orchard #2,12,12,2
Hope College,14,14,2
New Pembroke #3,10,10,2
New Pembroke #2,11,11,2
Drop to 340,1,1,2
No Show,95,98,2
Woolley,32,32,2
Grad Center C,20,20,2
New Pembroke #4,23,23,2
Metcalf,63,65,2
Drop to 687,1,1,2
Drop to 365,1,1,2
Plantations House,9,9,2
Grad Center B,19,19,2
Drop to 383,1,1,2
Slater Hall,16,20,2
Drop to 700,1,1,2
Drop to 284,1,1,2
Drop to 212,1,1,2
Jameson House,12,12,2
Chapin House,13,13,2
Gregorian Quad A,47,51,2
Young Orchard #10,14,14,2
Drop to 446,1,1,2
111 Brown Street,6,6,2
Mead House,14,14,2
Drop to 288,1,1,2
Bronson House,9,9,2
Drop to 389.5,1,1,2
Archibald House,16,16,2
King House,2,2,2
Emery,22,22,2
Drop to 445,1,1,2
Sears House,30,30,2
Drop to 577,1,1,2
Drop to 526,1,1,2
West Andrews,24,26,2
Poland House,20,20,2
