res_hall,remaining,total,num_picks
Caswell Hall,43,43,1
Olney House,9,9,1
Harkness House,17,17,1
Marcy House,11,11,1
Hegeman,41,42,1
Goddard House,30,30,1
Morriss Hall,3,3,1
Young Orchard #4,12,12,1
Drop to 529,1,1,1
Young Orchard #2,13,13,1
Hope College,11,11,1
Drop to 523,1,1,1
New Pembroke #3,10,10,1
New Pembroke #2,11,11,1
Champlin,4,4,1
No Show,59,59,1
Woolley,30,30,1
Grad Center C,19,19,1
Drop to 508,1,1,1
New Pembroke #4,21,21,1
Drop to 159,1,1,1
Metcalf,32,33,1
Drop to 463,3,3,1
Plantations House,10,10,1
Grad Center B,19,19,1
Drop to 171,1,1,1
Slater Hall,19,23,1
Sears House,24,24,1
Jameson House,8,8,1
Chapin House,20,20,1
Drop to 603,1,1,1
Young Orchard #10,13,13,1
Grad Center A,17,17,1
Barbour Hall,14,16,1
111 Brown Street,6,6,1
Drop to 649,1,1,1
Minden,44,49,1
Bronson House,7,7,1
Mead House,10,10,1
Archibald House,12,12,1
Drop to 280,1,1,1
Emery,17,17,1
Gregorian Quad A,51,52,1
Drop to 494,1,1,1
Drop to 536,1,1,1
Drop to 351,1,1,1
West Andrews,28,28,1
Poland House,19,19,1
New Pembroke #1,18,18,1
Wayland House,18,18,1
Drop to 162,1,1,1
Drop to 354,1,1,1
Gregorian Quad B,52,53,1
Everett House,5,5,1
Miller,20,20,1
Barbour Hall Apartments,24,25,1
Drop to 276,2,2,1
Drop to 108,1,1,1
Drop to 670,1,1,1
Drop to 396,1,1,1
Drop to 633,1,1,1
Grad Center D,18,18,1
Diman House,29,29,1
East Andrews,28,29,1
Pass,83,83,1
Machado,5,5,1
Drop to 591,1,1,1
Drop to 459,1,1,1
Caswell Hall,43,43,2
Olney House,9,9,2
Harkness House,17,17,2
Marcy House,11,11,2
Hegeman,38,42,2
Goddard House,30,30,2
Morriss Hall,3,3,2
Young Orchard #4,12,12,2
Drop to 529,1,1,2
Young Orchard #2,13,13,2
Hope College,11,11,2
Drop to 523,1,1,2
New Pembroke #3,10,10,2
New Pembroke #2,11,11,2
Champlin,4,4,2
No Show,59,59,2
Woolley,29,30,2
Grad Center C,19,19,2
Drop to 508,1,1,2
New Pembroke #4,21,21,2
Drop to 159,1,1,2
Metcalf,31,33,2
Drop to 463,3,3,2
Plantations House,10,10,2
Grad Center B,19,19,2
Drop to 171,1,1,2
Slater Hall,16,23,2
Sears House,24,24,2
Jameson House,8,8,2
Chapin House,20,20,2
Drop to 603,1,1,2
Young Orchard #10,13,13,2
Grad Center A,17,17,2
Barbour Hall,14,16,2
111 Brown Street,6,6,2
Drop to 649,1,1,2
Minden,44,49,2
Bronson House,7,7,2
Mead House,10,10,2
Archibald House,12,12,2
Drop to 280,1,1,2
Emery,17,17,2
Gregorian Quad A,50,52,2
Drop to 494,1,1,2
Drop to 536,1,1,2
Drop to 351,1,1,2
West Andrews,26,28,2
Poland House,19,19,2
New Pembroke #1,18,18,2
Wayland House,18,18,2
Drop to 162,1,1,2
Drop to 354,1,1,2
Gregorian Quad B,51,53,2
Everett House,5,5,2
Miller,19,20,2
Barbour Hall Apartments,24,25,2
Drop to 276,2,2,2
Drop to 108,1,1,2
Drop to 670,1,1,2
Drop to 396,1,1,2
Drop to 633,1,1,2
Grad Center D,18,18,2
Diman House,29,29,2
East Andrews,26,29,2
Pass,83,83,2
Machado,5,5,2
Drop to 591,1,1,2
Drop to 459,1,1,2
Caswell Hall,43,43,3
Olney House,9,9,3
Harkness House,17,17,3
Marcy House,11,11,3
Hegeman,37,42,3
Goddard House,29,30,3
Morriss Hall,3,3,3
Young Orchard #4,12,12,3
Drop to 529,1,1,3
Young Orchard #2,13,13,3
Hope College,9,11,3
Drop to 523,1,1,3
New Pembroke #3,10,10,3
New Pembroke #2,11,11,3
Champlin,4,4,3
No Show,58,59,3
Woolley,29,30,3
Grad Center C,19,19,3
Drop to 508,1,1,3
New Pembroke #4,21,21,3
Drop to 159,1,1,3
Metcalf,31,33,3
Drop to 463,3,3,3
Plantations House,10,10,3
Grad Center B,19,19,3
Drop to 171,1,1,3
Slater Hall,16,23,3
Sears House,24,24,3
Jameson House,8,8,3
Chapin House,20,20,3
Drop to 603,1,1,3
Young Orchard #10,13,13,3
Grad Center A,17,17,3
Barbour Hall,14,16,3
111 Brown Street,6,6,3
Drop to 649,1,1,3
Minden,44,49,3
Bronson House,7,7,3
Mead House,10,10,3
Archibald House,12,12,3
Drop to 280,1,1,3
Emery,16,17,3
Gregorian Quad A,47,52,3
Drop to 494,1,1,3
Drop to 536,1,1,3
Drop to 351,1,1,3
West Andrews,25,28,3
Poland House,19,19,3
New Pembroke #1,18,18,3
Wayland House,18,18,3
Drop to 162,1,1,3
Drop to 354,1,1,3
Gregorian Quad B,48,53,3
Everett House,5,5,3
Miller,18,20,3
Barbour Hall Apartments,24,25,3
Drop to 276,2,2,3
Drop to 108,1,1,3
Drop to 670,1,1,3
Drop to 396,1,1,3
Drop to 633,1,1,3
Grad Center D,18,18,3
Diman House,29,29,3
East Andrews,23,29,3
Pass,83,83,3
Machado,5,5,3
Drop to 591,1,1,3
Drop to 459,1,1,3
Caswell Hall,43,43,4
Olney House,9,9,4
Harkness House,17,17,4
Marcy House,11,11,4
Hegeman,37,42,4
Goddard House,29,30,4
Morriss Hall,3,3,4
Young Orchard #4,12,12,4
Drop to 529,1,1,4
Young Orchard #2,12,13,4
Hope College,8,11,4
Drop to 523,1,1,4
New Pembroke #3,10,10,4
New Pembroke #2,11,11,4
Champlin,4,4,4
No Show,57,59,4
Woolley,29,30,4
Grad Center C,19,19,4
Drop to 508,1,1,4
New Pembroke #4,21,21,4
Drop to 159,1,1,4
Metcalf,31,33,4
Drop to 463,3,3,4
Plantations House,10,10,4
Grad Center B,19,19,4
Drop to 171,1,1,4
Slater Hall,16,23,4
Sears House,24,24,4
Jameson House,8,8,4
Chapin House,20,20,4
Drop to 603,1,1,4
Young Orchard #10,13,13,4
Grad Center A,17,17,4
Barbour Hall,14,16,4
111 Brown Street,6,6,4
Drop to 649,1,1,4
Minden,42,49,4
Bronson House,7,7,4
Mead House,10,10,4
Archibald House,12,12,4
Drop to 280,1,1,4
Emery,15,17,4
Gregorian Quad A,45,52,4
Drop to 494,1,1,4
Drop to 536,1,1,4
Drop to 351,1,1,4
West Andrews,21,28,4
Poland House,19,19,4
New Pembroke #1,18,18,4
Wayland House,17,18,4
Drop to 162,1,1,4
Drop to 354,1,1,4
Gregorian Quad B,47,53,4
Everett House,5,5,4
Miller,16,20,4
Barbour Hall Apartments,24,25,4
Drop to 276,2,2,4
Drop to 108,1,1,4
Drop to 670,1,1,4
Drop to 396,1,1,4
Drop to 633,1,1,4
Grad Center D,18,18,4
Diman House,29,29,4
East Andrews,19,29,4
Pass,83,83,4
Machado,5,5,4
Drop to 591,1,1,4
Drop to 459,1,1,4
Caswell Hall,43,43,5
Olney House,9,9,5
Harkness House,17,17,5
Marcy House,11,11,5
Hegeman,37,42,5
Goddard House,29,30,5
Morriss Hall,3,3,5
Young Orchard #4,12,12,5
Drop to 529,1,1,5
Young Orchard #2,9,13,5
Hope College,7,11,5
Drop to 523,1,1,5
New Pembroke #3,10,10,5
New Pembroke #2,11,11,5
Champlin,4,4,5
No Show,57,59,5
Woolley,29,30,5
Grad Center C,19,19,5
Drop to 508,1,1,5
New Pembroke #4,21,21,5
Drop to 159,1,1,5
Metcalf,29,33,5
Drop to 463,3,3,5
Plantations House,9,10,5
Grad Center B,19,19,5
Drop to 171,1,1,5
Slater Hall,16,23,5
Sears House,24,24,5
Jameson House,8,8,5
Chapin House,20,20,5
Drop to 603,1,1,5
Young Orchard #10,11,13,5
Grad Center A,17,17,5
Barbour Hall,14,16,5
111 Brown Street,6,6,5
Drop to 649,1,1,5
Minden,42,49,5
Bronson House,7,7,5
Mead House,10,10,5
Archibald House,12,12,5
Drop to 280,1,1,5
Emery,15,17,5
Gregorian Quad A,42,52,5
Drop to 494,1,1,5
Drop to 536,1,1,5
Drop to 351,1,1,5
West Andrews,17,28,5
Poland House,19,19,5
New Pembroke #1,18,18,5
Wayland House,17,18,5
Drop to 162,1,1,5
Drop to 354,1,1,5
Gregorian Quad B,44,53,5
Everett House,5,5,5
Miller,13,20,5
Barbour Hall Apartments,23,25,5
Drop to 276,2,2,5
Drop to 108,1,1,5
Drop to 670,1,1,5
Drop to 396,1,1,5
Drop to 633,1,1,5
Grad Center D,18,18,5
Diman House,29,29,5
East Andrews,19,29,5
Pass,83,83,5
Machado,5,5,5
Drop to 591,1,1,5
Drop to 459,1,1,5
Caswell Hall,43,43,6
Olney House,9,9,6
Harkness House,17,17,6
Marcy House,11,11,6
Hegeman,37,42,6
Goddard House,29,30,6
Morriss Hall,3,3,6
Young Orchard #4,10,12,6
Drop to 529,1,1,6
Young Orchard #2,1,13,6
Hope College,7,11,6
Drop to 523,1,1,6
New Pembroke #3,10,10,6
New Pembroke #2,11,11,6
Champlin,4,4,6
No Show,56,59,6
Woolley,29,30,6
Grad Center C,19,19,6
Drop to 508,1,1,6
New Pembroke #4,21,21,6
Drop to 159,1,1,6
Metcalf,28,33,6
Drop to 463,3,3,6
Plantations House,8,10,6
Grad Center B,19,19,6
Drop to 171,1,1,6
Slater Hall,16,23,6
Sears House,24,24,6
Jameson House,8,8,6
Chapin House,20,20,6
Drop to 603,1,1,6
Young Orchard #10,11,13,6
Grad Center A,17,17,6
Barbour Hall,14,16,6
111 Brown Street,6,6,6
Drop to 649,1,1,6
Minden,41,49,6
Bronson House,7,7,6
Mead House,10,10,6
Archibald House,12,12,6
Drop to 280,1,1,6
Emery,15,17,6
Gregorian Quad A,40,52,6
Drop to 494,1,1,6
Drop to 536,1,1,6
Drop to 351,1,1,6
West Andrews,15,28,6
Poland House,19,19,6
New Pembroke #1,18,18,6
Wayland House,17,18,6
Drop to 162,1,1,6
Drop to 354,1,1,6
Gregorian Quad B,42,53,6
Everett House,5,5,6
Miller,13,20,6
Barbour Hall Apartments,23,25,6
Drop to 276,2,2,6
Drop to 108,1,1,6
Drop to 670,1,1,6
Drop to 396,1,1,6
Drop to 633,1,1,6
Grad Center D,18,18,6
Diman House,29,29,6
East Andrews,16,29,6
Pass,83,83,6
Machado,5,5,6
Drop to 591,1,1,6
Drop to 459,1,1,6
Caswell Hall,43,43,7
Olney House,9,9,7
Harkness House,17,17,7
Marcy House,11,11,7
Hegeman,36,42,7
Goddard House,29,30,7
Morriss Hall,3,3,7
Young Orchard #4,9,12,7
Drop to 529,1,1,7
Young Orchard #2,1,13,7
Hope College,7,11,7
Drop to 523,1,1,7
New Pembroke #3,10,10,7
New Pembroke #2,11,11,7
Champlin,4,4,7
