res_hall,remaining,total,num_picks
Drop to 312,1,1,4
Drop to 493,1,1,4
Drop to 491,1,1,4
Drop to 217,1,1,4
New Pembroke #1,13,14,4
Wayland House,19,19,4
Drop to 162,1,1,4
Drop to 741,1,1,4
Drop to 459,2,2,4
Drop to 164,1,1,4
Drop to 515,1,1,4
Drop to 257,1,1,4
Barbour Hall Apartments,29,29,4
Minden,49,57,4
Grad Center C,15,15,4
Drop to 483,1,1,4
Plantations House,9,9,4
315 Thayer,4,13,4
Sears House,14,14,4
Diman House,13,13,4
Drop to 533,1,1,4
Drop to 454,1,1,4
Marcy House,18,18,4
Drop to 473,1,1,4
Hope College,38,38,4
Caswell Hall,46,46,5
Harkness House,14,14,5
Drop to 22,0,1,5
Hegeman,27,31,5
Drop to 316,1,1,5
Perkins Hall,67,67,5
Goddard House,22,22,5
Young Orchard #4,12,12,5
Young Orchard #2,7,11,5
Drop to 329,1,1,5
New Pembroke #3,36,36,5
New Pembroke #2,14,16,5
Grad Center D,102,108,5
No Show,93,95,5
Grad Center B,18,18,5
Drop to 134,1,1,5
New Pembroke #4,49,49,5
Drop to 97,0,1,5
Drop to 178,1,1,5
Drop to 295,1,1,5
Drop to 508,1,1,5
Drop to 509,1,1,5
Drop to 157,1,1,5
Drop to 121,1,1,5
Slater Hall,17,21,5
Drop to 702,1,1,5
Drop to 421,1,1,5
Chapin House,6,6,5
Gregorian Quad A,57,76,5
Drop to 462,1,1,5
Gregorian Quad B,33,53,5
Barbour Hall,16,16,5
111 Brown Street,6,6,5
Grad center A,82,83,5
Olney House,16,16,5
Young Orchard #10,12,12,5
Fake Building,19,19,5
Littlefield Hall,16,16,5
Machado House,11,11,5
Pass,49,49,5
Drop to 370,1,1,5
Drop to 720,1,1,5
Drop to 312,1,1,5
Drop to 493,1,1,5
Drop to 491,1,1,5
Drop to 217,1,1,5
New Pembroke #1,12,14,5
Wayland House,19,19,5
Drop to 162,1,1,5
Drop to 741,1,1,5
Drop to 459,2,2,5
Drop to 164,1,1,5
Drop to 515,1,1,5
Drop to 257,1,1,5
Barbour Hall Apartments,29,29,5
Minden,49,57,5
Grad Center C,15,15,5
Drop to 483,1,1,5
Plantations House,9,9,5
315 Thayer,3,13,5
Sears House,14,14,5
Diman House,13,13,5
Drop to 533,1,1,5
Drop to 454,1,1,5
Marcy House,18,18,5
Drop to 473,1,1,5
Hope College,38,38,5
Caswell Hall,46,46,5
Harkness House,14,14,5
Drop to 22,0,1,5
Hegeman,27,31,5
Drop to 316,1,1,5
Perkins Hall,67,67,5
Goddard House,22,22,5
Young Orchard #4,12,12,5
Young Orchard #2,7,11,5
Drop to 329,1,1,5
New Pembroke #3,36,36,5
New Pembroke #2,14,16,5
Grad Center D,102,108,5
No Show,93,95,5
Grad Center B,18,18,5
Drop to 134,1,1,5
New Pembroke #4,49,49,5
Drop to 97,0,1,5
Drop to 178,1,1,5
Drop to 295,1,1,5
Drop to 508,1,1,5
Drop to 509,1,1,5
Drop to 157,1,1,5
Drop to 121,1,1,5
Slater Hall,17,21,5
Drop to 702,1,1,5
Drop to 421,1,1,5
Chapin House,6,6,5
Gregorian Quad A,57,76,5
Drop to 462,1,1,5
Gregorian Quad B,32,53,5
Barbour Hall,16,16,5
111 Brown Street,6,6,5
Grad center A,82,83,5
Olney House,16,16,5
Young Orchard #10,12,12,5
Fake Building,19,19,5
Littlefield Hall,16,16,5
Machado House,11,11,5
Pass,49,49,5
Drop to 370,1,1,5
Drop to 720,1,1,5
Drop to 312,1,1,5
Drop to 493,1,1,5
Drop to 491,1,1,5
Drop to 217,1,1,5
New Pembroke #1,12,14,5
Wayland House,19,19,5
Drop to 162,1,1,5
Drop to 741,1,1,5
Drop to 459,2,2,5
Drop to 164,1,1,5
Drop to 515,1,1,5
Drop to 257,1,1,5
Barbour Hall Apartments,29,29,5
Minden,49,57,5
Grad Center C,15,15,5
Drop to 483,1,1,5
Plantations House,9,9,5
315 Thayer,3,13,5
Sears House,14,14,5
Diman House,13,13,5
Drop to 533,1,1,5
Drop to 454,1,1,5
Marcy House,18,18,5
Drop to 473,1,1,5
Hope College,38,38,5
Caswell Hall,46,46,5
Harkness House,14,14,5
Drop to 22,0,1,5
Hegeman,27,31,5
Drop to 316,1,1,5
Perkins Hall,67,67,5
Goddard House,22,22,5
Young Orchard #4,12,12,5
Young Orchard #2,7,11,5
Drop to 329,1,1,5
New Pembroke #3,36,36,5
New Pembroke #2,14,16,5
Grad Center D,102,108,5
No Show,93,95,5
Grad Center B,18,18,5
Drop to 134,1,1,5
New Pembroke #4,49,49,5
Drop to 97,0,1,5
Drop to 178,1,1,5
Drop to 295,1,1,5
Drop to 508,1,1,5
Drop to 509,1,1,5
Drop to 157,1,1,5
Drop to 121,1,1,5
Slater Hall,17,21,5
Drop to 702,1,1,5
Drop to 421,1,1,5
Chapin House,6,6,5
Gregorian Quad A,57,76,5
Drop to 462,1,1,5
Gregorian Quad B,31,53,5
Barbour Hall,16,16,5
111 Brown Street,6,6,5
Grad center A,82,83,5
Olney House,16,16,5
Young Orchard #10,12,12,5
Fake Building,19,19,5
Littlefield Hall,16,16,5
Machado House,11,11,5
Pass,49,49,5
Drop to 370,1,1,5
Drop to 720,1,1,5
Drop to 312,1,1,5
Drop to 493,1,1,5
Drop to 491,1,1,5
Drop to 217,1,1,5
New Pembroke #1,12,14,5
Wayland House,19,19,5
Drop to 162,1,1,5
Drop to 741,1,1,5
Drop to 459,2,2,5
Drop to 164,1,1,5
Drop to 515,1,1,5
Drop to 257,1,1,5
Barbour Hall Apartments,29,29,5
Minden,49,57,5
Grad Center C,15,15,5
Drop to 483,1,1,5
Plantations House,9,9,5
315 Thayer,3,13,5
Sears House,14,14,5
Diman House,13,13,5
Drop to 533,1,1,5
Drop to 454,1,1,5
Marcy House,18,18,5
Drop to 473,1,1,5
Hope College,38,38,5
Caswell Hall,46,46,5
Harkness House,14,14,5
Drop to 22,0,1,5
Hegeman,27,31,5
Drop to 316,1,1,5
Perkins Hall,67,67,5
Goddard House,22,22,5
Young Orchard #4,12,12,5
Young Orchard #2,7,11,5
Drop to 329,1,1,5
New Pembroke #3,36,36,5
New Pembroke #2,14,16,5
Grad Center D,102,108,5
No Show,93,95,5
Grad Center B,18,18,5
Drop to 134,1,1,5
New Pembroke #4,49,49,5
Drop to 97,0,1,5
Drop to 178,1,1,5
Drop to 295,1,1,5
Drop to 508,1,1,5
Drop to 509,1,1,5
Drop to 157,1,1,5
Drop to 121,1,1,5
Slater Hall,17,21,5
Drop to 702,1,1,5
Drop to 421,1,1,5
Chapin House,6,6,5
Gregorian Quad A,57,76,5
Drop to 462,1,1,5
Gregorian Quad B,30,53,5
Barbour Hall,16,16,5
111 Brown Street,6,6,5
Grad center A,82,83,5
Olney House,16,16,5
Young Orchard #10,12,12,5
Fake Building,19,19,5
Littlefield Hall,16,16,5
Machado House,11,11,5
Pass,49,49,5
Drop to 370,1,1,5
Drop to 720,1,1,5
Drop to 312,1,1,5
Drop to 493,1,1,5
Drop to 491,1,1,5
Drop to 217,1,1,5
New Pembroke #1,12,14,5
Wayland House,19,19,5
Drop to 162,1,1,5
Drop to 741,1,1,5
Drop to 459,2,2,5
Drop to 164,1,1,5
Drop to 515,1,1,5
Drop to 257,1,1,5
Barbour Hall Apartments,29,29,5
Minden,49,57,5
Grad Center C,15,15,5
Drop to 483,1,1,5
Plantations House,9,9,5
315 Thayer,3,13,5
Sears House,14,14,5
Diman House,13,13,5
Drop to 533,1,1,5
Drop to 454,1,1,5
Marcy House,18,18,5
Drop to 473,1,1,5
Hope College,38,38,5
Caswell Hall,46,46,6
Harkness House,14,14,6
Drop to 22,0,1,6
Hegeman,25,31,6
Drop to 316,1,1,6
Perkins Hall,67,67,6
Goddard House,22,22,6
