Number,Residence Hall,Room,Occupancy,Time
461,Harkness House,221,1,4/12/2011 6:09
462,Everett House,107,1,4/12/2011 6:09
463,New Pembroke #1,305,1,4/12/2011 6:09
464,Gregorian Quad B,402,2,4/12/2011 6:10
465,Everett House,214,1,4/12/2011 6:10
466,Mead House,3,1,4/12/2011 6:11
467,Harkness House,220,1,4/12/2011 6:12
468,No Show,,,4/12/2011 6:12
469,Harkness House,327,1,4/12/2011 6:13
470,No Show,,,4/12/2011 6:13
471,No Show,,,4/12/2011 6:13
472,Diman House,126,1,4/12/2011 6:14
473,Diman House,224,1,4/12/2011 6:14
474,New Pembroke #1,202,1,4/12/2011 6:14
475,Harkness House,222,1,4/12/2011 6:14
476,No Show,,,4/12/2011 6:14
477,Harkness House,219,1,4/12/2011 6:15
478,Drop to 550,,,4/12/2011 6:15
479,Barbour Hall Apartments,160,5,4/12/2011 6:15
480,New Pembroke #1,404,1,4/12/2011 6:16
480,New Pembroke #1,405,1,4/12/2011 6:16
481,New Pembroke #1,302,1,4/12/2011 6:16
482,Diman House,125,1,4/12/2011 6:16
483,New Pembroke #1,402,1,4/12/2011 6:16
483,New Pembroke #1,205,1,4/12/2011 6:17
484,Diman House,124,1,4/12/2011 6:17
485,Harkness House,226A,1,4/12/2011 6:17
486,Diman House,326,1,4/12/2011 6:17
487,Minden,215,3,4/12/2011 6:18
488,Diman House,226,1,4/12/2011 6:18
489,Grad Center A,540,6,4/12/2011 6:18
490,Caswell Hall,411,2,4/12/2011 6:18
491,Drop to 497,,,4/12/2011 6:19
492,Diman House,310,1,4/12/2011 6:19
493,No Show,,,4/12/2011 6:19
494,Caswell Hall,206,2,4/12/2011 6:20
494,Caswell Hall,302,2,4/12/2011 6:20
495,New Pembroke #1,307,1,4/12/2011 6:20
496,Grad Center A,420,6,4/12/2011 6:20
497,Harkness House,400A,7,4/12/2011 6:21
498,Minden,506,2,4/12/2011 6:21
499,Caswell Hall,102,2,4/12/2011 6:21
500,Drop to 514,,,4/12/2011 6:21
501,Drop to 527,,,4/12/2011 6:22
502,Minden,401,3,4/12/2011 6:22
502,Minden,708,2,4/12/2011 6:22
503,Caswell Hall,110,2,4/12/2011 6:22
503,Caswell Hall,111,2,4/12/2011 6:22
503,Diman House,309,1,4/12/2011 6:22
504,Minden,113,3,4/12/2011 6:23
505,Grad Center D,420,5,4/12/2011 6:23
505,Diman House,311,1,4/12/2011 6:24
506,Morriss Hall,201,6,4/12/2011 6:24
507,New Pembroke #1,406,1,4/12/2011 6:24
507,New Pembroke #1,306,1,4/12/2011 6:24
507,New Pembroke #1,206,1,4/12/2011 6:24
508,Marcy House,400A,6,4/12/2011 6:25
509,No Show,,,4/12/2011 6:25
510,111 Brown Street,301,2,4/12/2011 6:25
511,Barbour Hall,201,2,4/12/2011 6:26
512,Grad Center D,410,5,4/12/2011 6:27
513,Grad Center A,440,6,4/12/2011 6:27
513,Caswell Hall,211,2,4/12/2011 6:27
513,Caswell Hall,212,2,4/12/2011 6:27
514,Barbour Hall Apartments,80,4,4/12/2011 6:27
515,Diman House,329A,1,4/12/2011 6:28
515,Diman House,329B,1,4/12/2011 6:28
516,Marcy House,400B,6,4/12/2011 6:28
516,Caswell Hall,410,2,4/12/2011 6:28
517,Diman House,400A,8,4/12/2011 6:28
518,Chapin House,400B,5,4/12/2011 6:29
519,Caswell Hall,201,2,4/12/2011 6:29
520,Harkness House,326A,1,4/12/2011 6:29
521,Harkness House,326B,1,4/12/2011 6:30
522,Grad Center D,310,5,4/12/2011 6:30
523,Goddard House,400A,6,4/12/2011 6:30
524,Diman House,307,2,4/12/2011 6:31
524,Diman House,308,2,4/12/2011 6:31
524,Diman House,327,2,4/12/2011 6:31
525,Diman House,312,1,4/12/2011 6:31
