Number,Residence Hall,Room,Occupancy,Time
456,Machado,34,1,2008-04-09 06:39:07
457,Harkness House,326A,1,2008-04-09 06:39:36
458,No Show,,,2008-04-09 06:40:07
459,No Show,,,2008-04-09 06:40:24
460,Diman House,323,1,2008-04-09 06:40:34
461,Diman House,311,1,2008-04-09 06:40:46
462,New Pembroke #2,201,1,2008-04-09 06:41:15
463,New Pembroke #1,205,1,2008-04-09 06:41:22
464,Grad Center C,540,5,2008-04-09 06:41:40
465,Diman House,312,1,2008-04-09 06:42:00
466,Machado,33,1,2008-04-09 06:42:25
467,Caswell Hall,102,2,2008-04-09 06:42:35
468,Harkness House,226B,1,2008-04-09 06:42:45
469,Diman House,329A,1,2008-04-09 06:43:00
470,New Pembroke #1,202,1,2008-04-09 06:43:12
471,Diman House,329B,1,2008-04-09 06:43:24
472,Goddard House,308,2,2008-04-09 06:44:30
472,Jameson House,218,1,2008-04-09 06:44:37
473,Caswell Hall,410,2,2008-04-09 06:44:54
473,Caswell Hall,411,2,2008-04-09 06:44:58
474,Harkness House,326B,1,2008-04-09 06:45:08
475,Caswell Hall,111,2,2008-04-09 06:45:20
476,Caswell Hall,311,2,2008-04-09 06:45:27
477,Caswell Hall,110,2,2008-04-09 06:45:35
478,New Pembroke #2,307,1,2008-04-09 06:45:48
479,Machado,32,1,2008-04-09 06:45:56
480,Drop to 482,,,2008-04-09 06:46:09
481,Caswell Hall,406,2,2008-04-09 06:46:21
482,Minden,501,3,2008-04-09 06:46:32
483,Caswell Hall,412,2,2008-04-09 06:46:54
484,Minden,406,2,2008-04-09 06:47:09
485,Barbour Hall Apartments,260,5,2008-04-09 06:47:20
486,Mead House,216,1,2008-04-09 06:47:48
486,Mead House,218,1,2008-04-09 06:47:50
486,Minden,815,3,2008-04-09 06:48:00
487,Barbour Hall,201,2,2008-04-09 06:48:11
488,Grad Center D,230,5,2008-04-09 06:48:20
489,Grad Center D,520,6,2008-04-09 06:48:29
490,Caswell Hall,405,2,2008-04-09 06:48:38
491,Grad Center D,210,4,2008-04-09 06:48:53
491,Slater Hall,402,2,2008-04-09 06:48:49
492,Grad Center A,440,6,2008-04-09 06:49:09
493,Jameson House,225,1,2008-04-09 06:49:18
494,Gregorian Quad B,401,2,2008-04-09 06:49:27
495,Poland House,202,1,2008-04-09 06:49:40
496,Jameson House,219,1,2008-04-09 06:49:43
497,Slater Hall,203,2,2008-04-09 06:49:53
498,No Show,,,2008-04-09 06:50:08
499,Archibald House,127,1,2008-04-09 06:50:31
499,Harkness House,400A,7,2008-04-09 06:50:22
500,Barbour Hall Apartments,80,4,2008-04-09 06:50:40
501,Jameson House,214,1,2008-04-09 06:50:58
502,Poland House,203,1,2008-04-09 06:51:07
